age,n_complete,mu,sigma,mu_global,sigma_global,n_global
6,17,-0.1472962746865603,0.4928698899210151,-0.04606704507660424,0.7280485460266835,655
6.25,11,0.004387204289003741,0.8318408145710857,-0.04606704507660424,0.7280485460266835,655
6.5,12,-0.10720987802905312,0.7129772997503007,-0.04606704507660424,0.7280485460266835,655
6.75,13,-0.07755786714450932,0.7709939203493215,-0.04606704507660424,0.7280485460266835,655
7,9,-0.1945317636820808,0.7406090008950532,-0.04606704507660424,0.7280485460266835,655
7.25,22,0.012090914204805209,0.7202253320830044,-0.04606704507660424,0.7280485460266835,655
7.5,30,-0.0020141403329757344,0.5808980982493975,-0.04606704507660424,0.7280485460266835,655
7.75,32,-0.16059529724492433,0.6974398140618607,-0.04606704507660424,0.7280485460266835,655
8,32,0.2847394017055781,0.5442124688043345,-0.04606704507660424,0.7280485460266835,655
8.25,36,0.0023703772110811273,0.5922552686610838,-0.04606704507660424,0.7280485460266835,655
8.5,51,0.03639793770073691,0.6553873385092698,-0.04606704507660424,0.7280485460266835,655
8.75,57,-0.04926458652829464,0.6525550670030411,-0.04606704507660424,0.7280485460266835,655
9,53,0.17918682671909306,0.6171124540043288,-0.04606704507660424,0.7280485460266835,655
9.25,59,0.11748754096233326,0.6149099229741811,-0.04606704507660424,0.7280485460266835,655
9.5,36,0.001014536999799684,0.6426931405188041,-0.04606704507660424,0.7280485460266835,655
9.75,37,-0.2603327319868562,0.7894091088797287,-0.04606704507660424,0.7280485460266835,655
10,30,0.07165440794190261,0.5422942093983665,-0.04606704507660424,0.7280485460266835,655
10.25,26,-0.22772007225096444,0.6286492230890293,-0.04606704507660424,0.7280485460266835,655
10.5,10,-0.12170617869589177,0.6300975484178309,-0.04606704507660424,0.7280485460266835,655
10.75,27,0.1317626471115013,0.5047062287778351,-0.04606704507660424,0.7280485460266835,655
11,22,-0.09713172580147594,0.4995881004470494,-0.04606704507660424,0.7280485460266835,655
11.25,16,0.06372608536335322,0.7355654482382608,-0.04606704507660424,0.7280485460266835,655
11.5,3,-0.3619481129276194,0.8657937439885046,-0.04606704507660424,0.7280485460266835,655
11.75,1,0.004997506447854565,0.7280485460266835,-0.04606704507660424,0.7280485460266835,655
12,13,-2.2893078690917448,1.0815613303528264,-0.04606704507660424,0.7280485460266835,655
