measure,age,p,raw,z_aligned,ss_1_19
AverageDevAbs_TR,6,0.00135,6.6346694857383985,2.999976992703393,19
AverageDevAbs_TR,6,0.00383,8.06126255626021,2.6667000630340683,18
AverageDevAbs_TR,6,0.00982,9.851059557119484,2.3331552225672434,17
AverageDevAbs_TR,6,0.02275,12.10677450654843,2.000002443899604,16
AverageDevAbs_TR,6,0.04779,14.974317730663676,1.6666702079210545,15
AverageDevAbs_TR,6,0.09121,18.644958519488114,1.3333407702662026,14
AverageDevAbs_TR,6,0.15866,23.38133438119159,0.9999803859660789,13
AverageDevAbs_TR,6,0.25249,29.542796818854256,0.6666746102242979,12
AverageDevAbs_TR,6,0.36944,37.63244169700074,0.33333688458431254,11
AverageDevAbs_TR,6,0.5,48.355330124536074,-0,10
AverageDevAbs_TR,6,0.63056,62.71601857814597,-0.33333688458431254,9
AverageDevAbs_TR,6,0.74751,82.16339809576455,-0.6666746102242979,8
AverageDevAbs_TR,6,0.84134,108.81355362034253,-0.9999803859660789,7
AverageDevAbs_TR,6,0.90879,145.82088314453577,-1.3333407702662026,6
AverageDevAbs_TR,6,0.95221,197.92634838573036,-1.6666702079210545,5
AverageDevAbs_TR,6,0.97725,272.43057683087693,-2.0000024438996027,4
AverageDevAbs_TR,6,0.99018,380.6946162078247,-2.3331552225672416,3
AverageDevAbs_TR,6,0.99617,541.2424061624672,-2.6667000630340683,2
AverageDevAbs_TR,6,0.99865,783.7521336328217,-2.999976992703401,1
AverageDevAbs_TR,6.25,0.00135,6.148198157786014,2.999976992703393,19
AverageDevAbs_TR,6.25,0.00383,7.464737037531388,2.6667000630340683,18
AverageDevAbs_TR,6.25,0.00982,9.115040171620569,2.3331552225672434,17
AverageDevAbs_TR,6.25,0.02275,11.19305471968269,2.000002443899604,16
AverageDevAbs_TR,6.25,0.04779,13.832148348053343,1.6666702079210545,15
AverageDevAbs_TR,6.25,0.09121,17.20689164350947,1.3333407702662026,14
AverageDevAbs_TR,6.25,0.15866,21.5567001196642,0.9999803859660789,13
AverageDevAbs_TR,6.25,0.25249,27.208686795197487,0.6666746102242979,12
AverageDevAbs_TR,6.25,0.36944,34.62016851159718,0.33333688458431254,11
AverageDevAbs_TR,6.25,0.5,44.43102056856914,-0,10
AverageDevAbs_TR,6.25,0.63056,57.55139795380499,-0.33333688458431254,9
AverageDevAbs_TR,6.25,0.74751,75.29166008750151,-0.6666746102242979,8
AverageDevAbs_TR,6.25,0.84134,99.5618139221908,-0.9999803859660789,7
AverageDevAbs_TR,6.25,0.90879,133.2031662453633,-1.3333407702662026,6
AverageDevAbs_TR,6.25,0.95221,180.4761467967084,-1.6666702079210545,5
AverageDevAbs_TR,6.25,0.97725,247.92526978478273,-2.0000024438996027,4
AverageDevAbs_TR,6.25,0.99018,345.70660440007725,-2.3331552225672416,3
AverageDevAbs_TR,6.25,0.99617,490.3333856930882,-2.6667000630340683,2
AverageDevAbs_TR,6.25,0.99865,708.167761767111,-2.999976992703401,1
AverageDevAbs_TR,6.5,0.00135,5.706919717591632,2.999976992703393,19
AverageDevAbs_TR,6.5,0.00383,6.92392084063144,2.6667000630340683,18
AverageDevAbs_TR,6.5,0.00982,8.448143312085898,2.3331552225672434,17
AverageDevAbs_TR,6.5,0.02275,10.365658259580362,2.000002443899604,16
AverageDevAbs_TR,6.5,0.04779,12.798572046797116,1.6666702079210545,15
AverageDevAbs_TR,6.5,0.09121,15.9064802042753,1.3333407702662026,14
AverageDevAbs_TR,6.5,0.15866,19.90799465349381,0.9999803859660789,13
AverageDevAbs_TR,6.5,0.25249,25.101381702234832,0.6666746102242979,12
AverageDevAbs_TR,6.5,0.36944,31.903044873913508,0.33333688458431254,11
AverageDevAbs_TR,6.5,0.5,40.89468195725816,-0,10
AverageDevAbs_TR,6.5,0.63056,52.90231798270891,-0.33333688458431254,9
AverageDevAbs_TR,6.5,0.74751,69.1130490259327,-0.6666746102242979,8
