thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,sound_1.stopped,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.11269819969311357,0.16231219982728362,0.16231219982728362,6.6635428997687995,space,6.49656829982996,None,,,,,,,,,,,,,,,,,,,,,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,9.477785499766469,9.62693199981004,9.526614383328706,11.409893800038844,11.409782239701599,12.676254199817777,12.676254199817777,13.159392099827528,13.159392099827528,13.65930479997769,13.80926559958607,13.875893699936569,15.011676399968565,w,1,1338.2823998108506,None,3.738,1.246,3,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,15.866686099674553,16.00888259988278,15.90883756102994,17.291861800011247,17.29195213969797,21.124396999832243,21.124396999832243,21.591033299919218,21.591033299919218,22.09093099972233,17.708468899596483,17.791798199992627,22.09487759973854,p,1,1.071699894964695,None,1.2696666666666667,3.809,3,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,22.910675199702382,23.040787699632347,22.957305080723017,26.390003299806267,26.390040639787912,27.506794799584895,27.506794799584895,27.989682799670845,27.989682799670845,28.489621399901807,26.78995949961245,26.839908399619162,31.025768799707294,w,1,2530.039799865335,None,3.295,1.0983333333333334,3,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,31.054236199706793,31.072770499624312,31.072770499624312,123.33845519972965,space,92.24925940018147,None,,,,,,,,,,,,,,,,,,,,,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,124.38407839974388,124.53633299982175,124.436311441008,125.78603009972721,125.78605493996292,130.15181219996884,130.15181219996884,130.63500899961218,130.63500899961218,131.1349176997319,126.4026162000373,126.48591999989003,131.75334279984236,p,1,616.359000094235,None,1.4463248586681554,4.345,3.0041660239464334,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,132.6947186999023,132.80137759959325,132.73458696110174,134.51751809986308,134.51755603961647,138.0668805995956,138.0668805995956,138.5500735999085,138.5500735999085,139.04993409989402,135.01742299972102,135.06748239975423,139.80165789974853,p,1,744.8604996316135,None,1.7644009078984608,3.532,2.0018126176362534,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,140.73013809975237,140.94962419988587,140.76611872110516,149.48116589989513,149.48115303972736,155.09660499962047,155.09660499962047,155.5632251999341,155.5632251999341,156.063122399617,149.9643756998703,150.1309353997931,156.6317397998646,w,1,558.9972003363073,None,8.668,5.594143215424316,1.5494776708791378,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,157.69811049988493,157.81275549996644,157.74593738093972,160.52889179997146,160.52882813988253,164.361433299724,164.361433299724,164.8279434000142,164.8279434000142,165.32787149958313,161.17872129986063,161.21204959973693,165.87916969973594,w,0,540.8383002504706,None,2.8879126361553955,3.807,1.3182531743994035,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,166.74770809989423,166.86083479970694,166.79405740089715,170.3434890997596,170.3435379397124,172.5930257998407,172.5930257998407,173.0762923997827,173.0762923997827,173.57614629995078,170.77685009967536,170.82671909965575,174.66088079987094,w,1,1079.2608000338078,None,3.459,2.2323651802206634,1.5494776708791378,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
,,,,,,,,,175.54771479964256,175.6591069996357,175.59226634074003,178.9417026997544,178.9416832397692,184.0406892998144,184.0406892998144,184.50722629996017,184.50722629996017,185.0071103000082,179.40829189959913,179.44162860000506,185.3920078999363,p,1,378.13010020181537,None,3.2720703855792896,5.07,1.5494776708791378,,,,,SPA1216,001,2025-03-20_14h18.27.128,Time estimation,2023.2.3,60.022532532460346,2025-03-20 14h19.01.811079 +0100,
