thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item2.started,sound_2.started,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.007228100032079965,0.011510699987411499,0.011510699987411499,1.2895717000355944,space,1.2690129000111483,None,,,,,,,,,,,,,,,,,,,,,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,1.7675890999962576,1.799988900020253,1.7858521001180634,9.522302800032776,9.522302800032776,9.521347690036055,9.5385166000342,11.937773099984042,11.937773099984042,12.439865400025155,12.439865400025155,12.938286799995694,13.389576699992176,w,1,443.0316000361927,None,7.226999999999999,2.409,3,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,13.646365599997807,13.669692700030282,13.670079530065415,18.754327600006945,18.97179949999554,18.97080578999594,18.754327600006945,20.51700880000135,20.51700880000135,21.005834500014316,21.005834500014316,21.50461850001011,21.855973099998664,w,1,345.57239996502176,None,4.5809999999999995,1.527,3,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,22.081382300006226,22.10345719999168,22.10334855009569,29.176164200005587,29.420586100022774,29.420148590009195,29.176164200005587,31.607193000032566,31.607193000032566,32.10519309999654,32.10519309999654,32.58741179999197,32.72224209998967,w,1,122.20189999789,None,6.5489999999999995,2.183,3,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,32.73028830002295,32.73678189999191,32.73678189999191,35.270830199995544,space,2.5257349999737926,None,,,,,,,,,,,,,,,,,,,,,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,35.5015772000188,35.52151099999901,35.51868625008501,37.523511399980634,37.753626900026575,37.753293589991515,37.523511399980634,42.16954319999786,42.16954319999786,42.671336800034624,42.671336800034624,43.16993420000654,44.58808620000491,p,1,1415.4474000097252,None,1.469625834527021,4.415,3.0041660239464334,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,44.83272140001645,44.85364709998248,44.85208204005612,52.736965899995994,52.96921760000987,52.96892819001805,52.736965899995994,56.66880240000319,56.66880240000319,57.170478100015316,57.170478100015316,57.65295710001374,64.45332860003691,w,1,6797.085000027437,None,7.379,3.6861592014107423,2.0018126176362534,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,64.69100849999813,64.71455279999645,64.71732244007289,66.55697320000036,66.78534370003035,66.78476438998477,66.53520919999573,67.65749670000514,67.65749670000514,68.13672310003312,68.13672310003312,68.63537959998939,71.27002410002751,w,1,2631.857400003355,None,1.3201549755890254,0.852,1.5494776708791378,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,71.538791900035,71.56062830000883,71.56713972005527,78.05671650002478,78.25128010002663,78.25115959004033,78.05671650002478,86.13730639999267,86.13730639999267,86.6357788000023,86.6357788000023,87.13444220001111,87.33555489999708,p,1,184.31829998735338,None,5.979883191702911,7.883,1.3182531743994035,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
,,,,,,,,,87.57193400000688,87.59345729998313,87.59988744005095,90.4374656000291,90.66728019999573,90.66700639000628,90.41701099998318,92.63370240002405,92.61730849999003,93.11869430000661,93.11869430000661,93.61768750002375,93.8853157000267,w,1,253.3472000504844,None,2.3225838927834546,1.951,1.190458171595825,,,,,AST415,001,2025-03-25_12h08.09.681,Time estimation,2023.2.3,60.0131668912648,2025-03-25 12h08.19.295219 +0100,
