thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.002776697278022766,0.028147399425506592,0.028147399425506592,99.7170092985034,space,99.68504239991307,None,,,,,,,,,,,,,,,,,,,,,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,100.77715849876404,100.90547699853778,100.82495564110576,101.77777490019798,101.755527388677,102.4236401990056,102.43011689931154,104.88407099992037,104.88983749970794,105.3770972006023,105.3770972006023,105.86285759881139,116.60291060060263,p,1,10736.888900399208,None,1.0356666666666667,3.107,3,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,116.94904289767146,116.99042529985309,116.9808911729604,118.82671700045466,118.82600319050252,118.74629030004144,118.7519326992333,122.52417580038309,122.52417580038309,123.00079900026321,123.00079900026321,123.49805709719658,125.64271989837289,p,1,2129.5461989939213,None,1.2233333333333334,3.67,3,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,125.94999169930816,125.98342959955335,125.97198450192809,129.33372139930725,129.33070498742163,129.18060379847884,129.18623869866133,137.44161869958043,137.44161869958043,137.8819710984826,137.8819710984826,138.37410259991884,138.70934350043535,p,1,318.5153976082802,None,2.683,8.049,3,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,138.74367669969797,138.75097100064158,138.75097100064158,145.25662430003285,space,6.492651600390673,None,,,,,,,,,,,,,,,,,,,,,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,145.82507099956274,145.8772497996688,145.85165114551782,150.24171029776335,150.24096028916537,150.36068470031023,150.3680504001677,151.62512309849262,151.62512309849262,152.07435980066657,152.07435980066657,152.5687812976539,153.684973500669,w,1,1099.1436019539833,None,3.978,1.3241611709509604,3.0041660239464334,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,154.2142045982182,154.26653099805117,154.2466463647783,163.072216399014,163.07208129055797,163.14033949747682,163.15445790067315,167.27735690027475,167.27735690027475,167.76838839799166,167.76838839799166,168.25921100005507,169.40860329940915,w,1,1136.5623027086258,None,8.381,4.186705551839468,2.0018126176362534,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,169.80529119819403,169.8386841006577,169.8209886532277,173.67708810046315,173.67636708952486,173.6290020979941,173.63459089770913,175.8003838993609,175.8003838993609,176.29231249913573,176.29231249913573,176.78599569946527,180.6438748985529,w,1,3843.213699758053,None,3.267,2.1084524555596724,1.5494776708791378,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,181.20421469956636,181.23252229765058,181.2229591552168,190.59825529903173,190.5975336883217,190.6990478001535,190.6990478001535,197.40766669809818,197.40766669809818,197.88649909943342,197.88649909943342,198.37697809934616,199.37583550065756,w,1,986.9985990226269,None,8.946,6.786253334133483,1.3182531743994035,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
,,,,,,,,,199.83453669771552,199.86371209844947,199.85545291341842,203.6617721989751,203.67073008827865,203.65413339808583,203.6617721989751,206.43849710002542,206.43849710002542,206.94844250008464,206.94844250008464,207.43568379804492,208.95031509920955,p,0,1496.9880990684032,None,3.29,2.763641830094468,1.190458171595825,,,,LBE815,001,2025-03-25_11h50.26.927,Time estimation,2023.2.3,60.1579740538237,2025-03-25 11h51.03.139268 +0100,
