thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,image_L.started,image_R.started,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.1102592998649925,0.15843619988299906,0.15843619988299906,1.293947899946943,space,1.1279790000990033,None,,,,,,,,,,,,,,,,,,,,,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,3.7527653998695314,3.873949399916455,3.8098675018409267,3.873949399916455,3.8098675018409267,5.357141199987382,5.390277299797162,6.873502699891105,6.873502699891105,6.873502699891105,6.923338499851525,7.356517399894074,9.292249999940395,p,1,1933.5390001069754,None,1.0153333333333332,3.046,3,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,9.970049999887124,10.07364989980124,10.007135700550862,14.805380299920216,14.804817599826492,15.038591800024733,15.088406199822202,16.33829729980789,16.804676899919286,16.804676899919286,16.33829729980789,17.30486709997058,18.30655759992078,w,1,994.7095999959856,None,4.503,1.5010000000000001,3,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,19.166287599829957,19.288313899887726,19.205426200525835,21.57044729986228,21.57043479999993,21.986458499915898,22.05393769987859,28.36933090002276,28.818781999871135,28.818781999871135,28.36933090002276,29.319023699965328,30.304149399977177,p,1,979.7845999710262,None,2.252,6.755999999999999,3,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,30.32674859999679,30.334692899836227,30.334692899836227,33.137205799808726,space,2.79820269998163,None,,,,,,,,,,,,,,,,,,,,,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,34.03193810000084,34.151942799799144,34.06900520063937,35.30094089987688,35.30091510002967,35.751133899902925,35.81754899979569,38.800550599815324,39.283189999870956,39.283189999870956,38.800550599815324,39.783515400020406,42.08529679989442,p,1,2290.1790998876095,None,1.1573927580182224,3.477,3.0041660239464334,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,42.90496539999731,43.033435499994084,42.95047900057398,45.46573899989016,45.46584489999805,45.848995599895716,45.91539179999381,50.24798879981972,50.73157189995982,50.73157189995982,50.24798879981972,51.23104709992185,51.78248559986241,p,1,534.5650999806821,None,2.3778449381644036,4.76,2.0018126176362534,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,52.647594099864364,52.76486329990439,52.681776800658554,55.19700279994868,55.197109699831344,55.61347779980861,55.68052059994079,58.94645719998516,59.42931729997508,59.42931729997508,58.94645719998516,59.929467499954626,60.26581329992041,p,1,324.8264999128878,None,2.4066174492751817,3.729,1.5494776708791378,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,61.08864919980988,61.213305099867284,61.13109520054422,63.99502699985169,63.99508979998063,64.3782756999135,64.42878720001318,66.07800329988822,66.54490159987472,66.54490159987472,66.07800329988822,67.04496959992684,67.863031799905,w,1,808.0758999567479,None,2.7156015392627713,2.06,1.3182531743994035,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,68.67368559981696,68.79521269979887,68.71212230052333,73.94344799988903,73.94361970003229,74.31016139988787,74.37652209983207,80.00894769979641,80.49182489980012,80.49182489980012,80.00894769979641,80.99198929988779,82.52709629992023,p,1,1525.2707998733968,None,5.075356819887774,6.042,1.190458171595825,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,83.39085289998911,83.50882839993574,83.42581880069338,83.89120989991352,83.89135339984205,84.30772359995171,84.37484559998848,84.24136899993755,84.72475199983455,84.72475199983455,84.24136899993755,85.22430959995836,87.62702859984711,w,1,2399.951099883765,None,0.36390665096959207,0.326,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,88.61638139979914,88.74129699985497,88.65848060068674,90.72324469988234,90.72329619980883,91.28975420002826,91.34044940001331,92.98944409983233,93.45588969998062,93.45588969998062,92.98944409983233,93.95590049983002,94.65792729984969,w,0,699.4109000079334,None,2.085,2.234850114925522,1.0718705587172768,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,95.43784109991975,95.5567924999632,95.47343530051876,98.08859309996478,98.08865109982435,98.42192019987851,98.48844220000319,100.28781859995797,100.77133199991658,100.77133199991658,100.28781859995797,101.27143249986693,103.15594119997695,w,1,1872.6284999866039,None,2.429021081318504,2.176,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,104.01537949987687,104.13827949995175,104.05519860051572,110.15250559989363,110.15256349986885,110.55246039992198,110.61935699987225,116.8516118999105,117.31800809991546,117.31800809991546,116.8516118999105,117.81815840001218,119.10243729990907,p,1,1268.2704001199454,None,5.981484521374918,6.677,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,120.0144220998045,120.1348492000252,120.06836750055663,121.03417619992979,121.03420909994747,121.53367339982651,121.56695959996432,121.91697539994493,122.38388689979911,122.38388689979911,121.91697539994493,122.88335199980065,126.46811799984425,w,1,3578.87229998596,None,0.9253244311748163,0.856,1.0809864850173088,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,127.16657709982246,127.28326279995963,127.20005290047266,129.53238929994404,129.53239479998592,129.78237639996223,129.84881929983385,131.78170889988542,132.265178399859,132.265178399859,131.78170889988542,132.76464319997467,134.0163708999753,p,1,1235.9536001458764,None,2.061,2.2279131456206733,1.0809864850173088,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,134.85022679995745,134.9643725999631,134.88215430057608,142.2129697999917,142.2130615998758,142.61281049996614,142.66267180000432,149.82807259983383,150.3116762000136,150.3116762000136,149.82807259983383,150.81104239984415,151.06419850001112,p,1,250.3786999732256,None,7.19045505032702,7.598,1.056678603345757,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,151.88122739992104,151.9954124998767,151.91298030049074,157.85938369994983,157.85593720001634,158.19275449984707,158.25948609993793,163.3251021998003,163.77509599993937,163.77509599993937,163.3251021998003,164.2749455999583,164.99396709981374,p,0,712.2438999358565,None,5.756,5.447257076820523,1.056678603345757,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,165.84190099989064,165.9742289998103,165.87562340067234,168.00759029993787,168.00750049983617,168.40702209994197,168.4906587000005,170.20690739993006,170.67364719999023,170.67364719999023,170.20690739993006,171.17338499985635,171.80930089997128,w,0,626.3027000240982,None,2.008,2.170620861914756,1.0809864850173088,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
,,,,,,,,,172.4892951999791,172.60667090001516,172.52411430038046,176.77244769991376,176.77251419995446,177.00564879993908,177.07238959986717,180.33837859984487,180.82154339994304,180.82154339994304,180.33837859984487,181.32162870001048,182.92297439998947,w,1,1596.9567999709398,None,3.959,3.5466073416389556,1.1162780704588713,,,,,NRO1015,001,2025-01-13_16h26.07.575,Time estimation,2023.2.3,59.993904600816165,2025-01-13 16h26.26.601975 +0100,
