thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.043862199992872775,0.052571099950000644,0.052571099950000644,7.958253200049512,space,7.900075100013055,None,,,,,,,,,,,,,,,,,,,,,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,10.81271079997532,10.860880300053395,10.850138060562312,15.334387399954721,15.334784390009009,17.47030479996465,17.47030479996465,17.72958839999046,17.749484800035134,17.951855899998918,17.951855899998918,18.451853599981405,20.388163700001314,w,1,1921.4100999524817,None,6.366,2.122,3,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,21.305227900040336,21.36815450002905,21.34983242021408,22.417550400015898,22.418017290020362,25.528563400032,25.528563400032,22.892231500009075,22.901760900043882,26.01672359998338,26.01672359998338,26.5166492999997,27.18760049995035,p,1,663.8306999811903,None,1.0293333333333334,3.088,3,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,27.988931600004435,28.054213600000367,28.032963990187273,33.0482508999994,33.04837838998064,34.698564899968915,34.698564899968915,33.411012599943206,33.432048300048336,35.16468909999821,35.16468909999821,35.66477609996218,36.349760000011884,w,1,667.6642999518663,None,4.857,1.619,3,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,36.38076530001126,36.38911710004322,36.38911710004322,37.884087300044484,space,1.489685499924235,None,,,,,,,,,,,,,,,,,,,,,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,38.7650883999886,38.81145999999717,38.79701675020624,43.581775499973446,43.58223489003721,45.16080650000367,45.16080650000367,44.01453239994589,44.03172089997679,45.650505500030704,45.650505500030704,46.147796600009315,47.33769830001984,w,1,1185.12339994777,None,4.692,1.5618311247113892,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,48.267461200011894,48.37136939994525,48.36356888015288,50.51346179994289,50.51404789004009,54.86613710003439,54.86613710003439,51.04363179998472,51.0643662000075,55.342345500015654,55.342345500015654,55.84289460000582,56.82943529996555,p,1,981.1036000028253,None,2.163,4.3299206919472155,2.0018126176362534,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,57.7307262000395,57.79067869996652,57.77595083022024,59.22872679994907,59.22875729000661,61.40883159998339,61.40883159998339,59.67782310000621,59.691130699939094,61.894231499987654,61.894231499987654,62.3934776999522,62.91490740003064,w,0,512.9734000656754,None,1.398,2.1661697838890346,1.5494776708791378,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,63.78873240004759,63.8509232000215,63.84385724011808,66.49186029995326,66.49190509000327,71.65911450004205,71.65911450004205,66.9283358999528,66.9283358999528,72.14284159999806,72.14284159999806,72.6430591000244,80.23069819994271,p,1,7575.020299991593,None,2.572,5.148662052560444,2.0018126176362534,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,81.30663899995852,81.3522343999939,81.3423468302004,85.54162979999091,85.54208489002194,94.18910449999385,94.18910449999385,86.17262880003545,86.17262880003545,94.6721129999496,94.6721129999496,95.17206659994554,95.4414950000355,w,0,259.90509998518974,None,4.306596893259522,8.621,2.0018126176362534,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,96.11180279997643,96.15494319994468,96.13775088011752,102.03953609999735,102.03926178994588,103.91208279994316,103.91208279994316,102.25402370002121,102.27264089998789,104.39192560000811,104.39192560000811,104.88891410001088,108.40783100004774,p,0,3499.015499954112,None,5.586,1.8594178735374722,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,109.6673922999762,109.71213330002502,109.7021379202837,112.20200629997998,112.20202299004886,120.5769685000414,120.5769685000414,112.99048399995081,113.00196919997688,121.05103259999305,121.05103259999305,121.5507766000228,121.75313830003142,w,0,186.6124999942258,None,2.7828022597159445,8.36,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,123.11787810001988,123.16515240003355,123.14851066020783,129.6333201000234,129.63366349001882,131.93761809996795,131.93761809996795,130.5422564999899,130.5649689999409,132.4355288000079,132.4355288000079,132.93386999994982,134.20318780001253,p,0,1255.6756000267342,None,6.876536028813386,2.289,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,135.7224613999715,135.78481099999044,135.78111855033785,142.99854609998874,142.99857149000746,145.60040190001018,145.60040190001018,144.08347630000208,144.0980856999522,146.08295269997325,146.08295269997325,146.58094440004788,147.43579480005428,w,1,849.6888999361545,None,7.783794168045209,2.591,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,148.46260950004216,148.526857299963,148.51291345024947,149.51162570004817,149.51172459004448,152.75723310001194,152.75723310001194,150.09923219995108,150.11156859993935,153.24596470000688,153.24596470000688,153.746072000009,154.8498178999871,w,0,1098.7669000169262,None,1.0735092449263064,3.225,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,155.68457990000024,155.73634189995937,155.72843657012564,160.2793269000249,160.2795595899923,161.76829010003712,161.76829010003712,160.6739654999692,160.69625899998937,162.2609148999909,162.2609148999909,162.76097659999505,166.48068829998374,p,0,3714.3801000202075,None,4.429,1.4742860296987943,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
,,,,,,,,,167.36765739996918,167.4264317000052,167.40899224015885,171.04243349994067,171.04254589003978,172.23868469998706,172.23868469998706,171.4904789000284,171.50864310003817,172.72570179996546,172.72570179996546,173.22504050005227,175.7959012000356,p,0,2564.1634000930935,None,3.556,1.1836895736303708,3.0041660239464334,,,,,SGO815,001,2025-04-03_10h02.42.620,Time estimation,2023.2.3,60.287995787135415,2025-04-03 10h02.59.661034 +0200,
