thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.10315320012159646,0.1329552000388503,0.1329552000388503,3.034337100107223,space,2.8876585999969393,None,,,,,,,,,,,,,,,,,,,,,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,5.15715999994427,5.2818531999364495,5.200928098987788,7.896966699976474,7.897545600053855,9.197293600067496,9.197293600067496,9.580483600031585,9.647688700119033,9.681066300021484,9.681066300021484,10.180338500067592,12.631827000062913,w,1,2433.916099835187,None,3.85,1.2833333333333334,3,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,13.480933099985123,13.579718800028786,13.514081299700775,16.679573300061747,16.6795934000751,17.711836999980733,17.711836999980733,17.07944480003789,17.12934929993935,18.196023300057277,18.196023300057277,18.695417399983853,20.5635854001157,w,1,1854.431200074032,None,3.048,1.016,3,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,21.543049599975348,21.645805000094697,21.57951159959193,23.011418200097978,23.01148420011159,27.36060050013475,27.36060050013475,23.5440056999214,23.59468169999309,27.84352480014786,27.84352480014786,28.343581800116226,29.184803100069985,p,1,824.9737999867648,None,1.4416666666666667,4.325,3,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,29.205124200088903,29.226496499963105,29.226496499963105,33.644400499993935,space,4.40641720010899,None,,,,,,,,,,,,,,,,,,,,,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,34.52653000014834,34.64312100014649,34.56015999952797,42.224210100015625,42.224340900056994,44.773466899991035,44.773466899991035,42.6572271999903,42.72447260003537,45.24041430000216,45.24041430000216,45.73992340010591,47.643255200004205,w,1,1898.7475000321865,None,7.572,2.5204998457618584,3.0041660239464334,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,48.54603870003484,48.65705509996042,48.59189109953586,51.43924340000376,51.43883229999337,52.8553204999771,52.8553204999771,51.90547630004585,51.95602179993875,53.32172270002775,53.32172270002775,53.821863800054416,56.15640170010738,p,0,2320.5595000181347,None,2.7865231637496644,1.392,2.0018126176362534,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,57.09239719994366,57.205195100046694,57.13894239955116,58.65402669995092,58.65403920013923,63.153285100124776,63.153285100124776,59.171328000025824,59.203919500112534,63.63680630014278,63.63680630014278,64.13621330005117,65.45479859993793,w,0,1313.164799939841,None,1.4912624549673965,4.48,3.0041660239464334,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,66.32510349992663,66.41940300003625,66.37013119959738,71.33486760011874,71.33487250001636,72.98457790003158,72.98457790003158,71.76844940008596,71.80182839999907,73.45200660009868,73.45200660009868,73.95120210014284,75.12082730000839,w,1,1159.6250000875443,None,4.866748958793222,1.62,3.0041660239464334,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
,,,,,,,,,76.01033940003254,76.11759519996122,76.05189189952799,78.79996290011331,78.79998559991364,86.86529169999994,86.86529169999994,79.25023959996179,79.30007440014742,87.33162180008367,87.33162180008367,87.83172530005686,89.21601580013521,p,1,1370.585200143978,None,2.674286286430371,8.034,3.0041660239464334,,,,,TBI1116,001,2025-01-10_14h30.09.523,Time estimation,2023.2.3,59.964153477212164,2025-01-10 14h30.36.585429 +0100,
