thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.00458860001526773,0.0089457998983562,0.0089457998983562,16.56188779999502,space,16.53841340006329,None,,,,,,,,,,,,,,,,,,,,,dely,001,2024-04-29_07h23.45.218,Time estimation,2023.2.3,59.97609350070195,2024-04-29 07h23.59.589426 +0200,
,,,,,,,,,17.795851199887693,17.869322400074452,17.82607121951878,18.829151399899274,18.82700501999352,19.585014499956742,19.62691990006715,22.599302700022236,22.599302700022236,23.084165999898687,23.084165999898687,23.577714999904856,23.830381399951875,p,1,250.2474000211805,None,1.2516666666666667,3.755,3,dely,001,2024-04-29_07h23.45.218,Time estimation,2023.2.3,59.97609350070195,2024-04-29 07h23.59.589426 +0200,
,,,,,,,,,24.27359630004503,24.331125000026077,24.29417335987091,30.292020699940622,30.291885020094924,30.261327899992466,30.292020699940622,32.13394859991968,32.13394859991968,32.6127778000664,32.6127778000664,33.109623400028795,37.079273799899966,w,1,3965.424200054258,None,5.457,1.819,3,dely,001,2024-04-29_07h23.45.218,Time estimation,2023.2.3,59.97609350070195,2024-04-29 07h23.59.589426 +0200,
,,,,,,,,,37.58607459999621,37.625789100071415,37.60925283981487,,,,,,,,,,,,,,,,,,,,,,,,,
