thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,image_L.started,image_R.started,sound_2.stopped,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.014463398605585098,0.02569279819726944,0.02569279819726944,31.99093809723854,space,31.957880899310112,None,,,,,,,,,,,,,,,,,,,,,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,32.721595000475645,32.85640949755907,32.759549154341215,36.388023398816586,36.388023398816586,36.388023398816586,36.348629019409415,44.6584138981998,44.6584138981998,44.76130709797144,44.770770497620106,45.15453049913049,48.56476889923215,p,1,3393.9490988850594,None,2.788,8.363999999999999,3,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,48.87691419944167,48.91448450088501,48.88981460407376,51.751503597944975,51.747464299201965,51.86914449930191,51.868269118666646,59.235778000205755,59.235778000205755,58.753470700234175,58.753470700234175,59.73146370053291,71.51726849749684,p,1,11779.763702303171,None,2.288,6.863999999999999,3,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,71.82068049907684,71.8480479978025,71.84364840388298,73.99800489842892,73.99800489842892,74.10960209742188,74.10776011943817,79.406270198524,79.406270198524,78.90610059723258,78.90610059723258,79.89339569956064,87.34083940088749,p,1,7436.066299676895,None,1.5913333333333333,4.774,3,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,87.36452589929104,87.36974459886551,87.36974459886551,94.95329909771681,space,7.580637399107218,None,,,,,,,,,,,,,,,,,,,,,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,95.27233359962702,95.29899659752846,95.29518882483244,104.32531839981675,104.32531839981675,104.4753853008151,104.47482851818204,107.81885319948196,107.81885319948196,107.31711189821362,107.31711189821362,108.31532599776983,124.27369830012321,p,0,15942.76249781251,None,8.518,2.8353958909402417,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,124.58706429973245,124.61358289793134,124.59976520389318,126.54570869728923,126.54570869728923,126.68173109740019,126.68092071935534,131.39171409979463,131.39171409979463,130.8865540996194,130.90272549912333,131.88446789979935,141.9421974979341,w,0,10050.328098237514,None,1.4,4.205832433525006,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,142.23130840063095,142.25872400030494,142.2516579858959,151.49396669864655,151.49095229804516,151.62993820011616,151.62922001928092,155.02318749949336,155.02318749949336,154.56357719749212,154.56357719749212,155.51986759901047,168.7912384979427,p,0,13260.514602065086,None,8.677,2.888322393248236,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,169.22126320004463,169.26437849923968,169.25959478765728,175.02178609743714,175.01843789964914,175.02178609743714,175.03482521995903,177.24607739970088,177.24607739970088,176.82464100047946,176.76099889725447,177.74267129972577,186.5201172977686,w,1,8768.470201641321,None,5.2062197194991695,1.733,3.0041660239464334,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
,,,,,,,,,186.84114469960332,186.87285799905658,186.86275072693826,194.13287179917097,194.12885789945722,194.28040519729257,194.27979141771795,198.13899260014296,198.13899260014296,197.67182689905167,197.67182689905167,198.63564030081034,210.17377189919353,p,0,11531.271900981665,None,6.745,3.3694462411594333,2.0018126176362534,,,,MMI1115,001,2025-04-02_12h05.51.535,Time estimation,2023.2.3,60.19621508657412,2025-04-02 12h06.13.476138 +0200,
