thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.004831800004467368,0.018380299996351823,0.018380299996351823,1.256496200003312,space,1.2113661999901524,None,,,,,,,,,,,,,,,,,,,,,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,1.6757284000050277,1.7025932999968063,1.68735126000538,3.37314840000181,3.388852999996743,3.455855199994403,3.455872110002383,7.034362299993518,7.034362299993518,7.5066864999971585,7.5066864999971585,8.00571850000415,8.724359799991362,p,1,713.6807999922894,None,1.1843333333333332,3.553,3,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,8.922779899992747,8.940082000000984,8.938971830003721,11.41145269999106,11.41145269999106,11.689134000000195,11.689222710001923,17.602897699995083,17.602897699995083,18.090016999994987,18.090016999994987,18.589512099992135,18.65783609999926,p,1,56.82939999678638,None,1.964,5.8919999999999995,3,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,18.857692299992777,18.876719299994875,18.872552730007737,20.511649499996565,20.511649499996565,20.789411299992935,20.788953409994427,24.18124789999274,24.18124789999274,24.656855900000664,24.656855900000664,25.156259900002624,27.80876869999338,p,1,2642.0521999971243,None,1.1233333333333333,3.37,3,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,27.82142359999125,27.82454639999196,27.82454639999196,33.289806200002204,space,5.463867099999334,None,,,,,,,,,,,,,,,,,,,,,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,33.49568039999576,33.51300750000519,33.52208784000832,36.58106119999138,36.58106119999138,36.842641600000206,36.842601609996926,44.5215171000018,44.5215171000018,44.99457320000511,44.99457320000511,45.4942360999994,46.44368009999744,p,1,936.3298999960534,None,2.548128145708799,7.655,3.0041660239464334,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,46.66345779999392,46.67960350000067,46.67655014000193,50.9495969999989,50.9495969999989,51.20988789999683,51.20952310999419,53.10073959999136,53.10073959999136,53.59414230000402,53.59414230000402,54.09459349999088,54.62924799999746,w,1,525.0809999997728,None,3.763407721156156,1.88,2.0018126176362534,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,54.82634759999928,54.84316459999536,54.84413023000088,58.87799239999731,58.87799239999731,59.160716900005355,59.160348809992136,61.44352020000224,61.44352020000224,61.928343299994594,61.928343299994594,62.42680570000084,64.8273474000016,w,1,2392.957700008992,None,3.516,2.269151770354395,1.5494776708791378,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,65.04328420000093,65.05984269999317,65.06017593999569,66.53111579999677,66.53111579999677,66.79047910000372,66.79045360999444,67.53111559999525,67.53111559999525,68.00817610000377,68.00817610000377,68.50757879999583,72.37474820000352,w,1,3854.342299993732,None,0.9504605387419699,0.721,1.3182531743994035,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
,,,,,,,,,72.57964419999917,72.5964937999961,72.59091283000744,78.5815561000054,78.59281099999498,78.87664809999114,78.87619990999374,85.41431369999191,85.41431369999191,85.89485630000127,85.89485630000127,86.39402100000007,86.61348119999457,p,1,215.60409999801777,None,5.48612303718753,6.531,1.190458171595825,,,,,ARO214,001,2025-03-12_15h01.14.898,Time estimation,2023.2.3,59.77904469492174,2025-03-12 15h01.30.410130 +0100,
