thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,image_L.started,image_R.started,sound_2.stopped,item2.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07961379998596385,0.11256859998684376,0.11256859998684376,6.847177099989494,space,6.719109599973308,None,,,,,,,,,,,,,,,,,,,,,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,9.355306299985386,9.460321499995189,9.410156199987977,9.460321499995189,9.410156199987977,10.9768752999953,10.993453199975193,12.426569699979154,12.426569699979154,12.493007099983515,12.526668599981349,12.926576199999545,14.111469799972838,p,1,1169.894699996803,None,1.0196666666666667,3.059,3,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,14.871806499984814,14.976023199997144,14.908924899972044,16.209016199980397,16.209100549994037,16.52563979997649,16.57564049999928,19.99155599999358,19.99155599999358,19.508313299971633,19.508313299971633,20.491485899983672,31.591773599997396,p,1,11094.21109998948,None,1.093,3.279,3,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,32.552139699982945,32.65583389997482,32.6053076499782,37.43798089999473,37.4383836499881,37.97134069999447,38.00479219999397,39.55454539999482,39.55454539999482,39.071216499985894,39.071216499985894,40.05430289998185,45.67223629998625,w,1,5603.66829999839,None,4.836,1.612,3,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,45.695165399985854,45.71992489998229,45.71992489998229,49.688242499978514,space,3.96469709998928,None,,,,,,,,,,,,,,,,,,,,,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,50.59847999998601,50.70239199997741,50.65258619998931,52.80162399998517,52.80176814998849,53.285292299988214,53.31852989998879,59.650414299976546,59.650414299976546,59.16715569997905,59.16715569997905,60.15041740000015,60.71990199998254,p,1,564.4264000002295,None,2.113,6.347802808598813,3.0041660239464334,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,61.70591499999864,61.816732899984345,61.75005899997777,64.71606289999909,64.7160730499716,65.24928299998282,65.29925959999673,71.18141179997474,71.18141179997474,70.71491589999641,70.71491589999641,71.68136029999005,77.54898029999458,w,0,5857.11439998704,None,2.982,5.969405225791308,2.0018126176362534,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,78.53313169998,78.63006199998199,78.57962079997523,87.17821009998443,87.17830734997987,87.74489079997875,87.76146369997878,90.5442012999847,90.5442012999847,90.09443139997893,90.09443139997893,91.04411589997471,92.87990309999441,w,1,1830.853699997533,None,8.621956488726264,2.87,3.0041660239464334,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,93.83604939997895,93.94379769999068,93.87676019998617,97.04293619998498,97.0430534499872,97.54276069998741,97.59283009998035,98.59264399998938,98.59264399998938,98.10943369998131,98.10943369998131,99.09260499998345,100.1943256999948,w,1,1087.2220000019297,None,3.149,1.0482110425652524,3.0041660239464334,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,100.9797204999777,101.09218409997993,101.02551959999255,105.64119119997486,105.64126294997986,106.00793159997556,106.04119899999932,108.19075299997348,108.19075299997348,107.70760209998116,107.70760209998116,108.69067749998067,109.64239559997804,w,1,934.0806000109296,None,4.443,2.039265025112043,2.178726131860124,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,110.5919934999838,110.69022909997148,110.63977629996953,113.38968489997205,113.38966594998492,113.90619999999763,113.93962289998308,119.85503309997148,119.85503309997148,119.37182979998761,119.37182979998761,120.35516479998478,122.02326039999025,p,1,1655.4425999929663,None,2.7373793854981376,5.964,2.178726131860124,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,122.98529149999376,123.08780999999726,123.03742034999304,127.68693579998217,127.68712944998406,128.2034478999849,128.2368214999733,130.85306139997556,130.85306139997556,130.38649769997573,130.38649769997573,131.35290769999847,132.03827989997808,w,1,669.8814000119455,None,4.649452857174748,2.679,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,132.98405249998905,133.08661989998654,133.03564329998335,135.35194059999776,135.3520482499851,135.86865709998528,135.9018870999862,139.85103759999038,139.85103759999038,139.36815729999216,139.36815729999216,140.35085649997927,140.87034269998549,p,1,508.76789999892935,None,2.3036349284565816,3.998,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,141.81391449997318,141.91748119998374,141.8673957999854,143.93370589998085,143.9339211499726,144.4503071999934,144.48355419997824,147.4830282999901,147.4830282999901,146.99965209999937,146.99965209999937,147.98285199998645,155.51752419999684,p,1,7528.075399983209,None,2.0630612216265294,3.048,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,156.4694720999978,156.5811745999963,156.51429609998013,159.83055179999792,159.83047944998253,160.34707729998627,160.39708599998266,162.5632510999858,162.5632510999858,162.0966969000001,162.0966969000001,163.06330919999164,163.86587999999756,w,1,794.5482000068296,None,3.303502546873891,2.236,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,164.87618249998195,164.97941089997767,164.92933879998165,168.9120852999913,168.91209824998515,169.49514279997675,169.52862709999317,174.74436989999958,174.74436989999958,174.26093009999022,174.26093009999022,175.24407459999202,177.41228649998084,p,1,2160.163599997759,None,4.041712247290766,5.328,1.3182531743994037,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,178.35015289997682,178.44349999999395,178.3930851499783,179.70977549999952,179.70989814998467,180.20976709999377,180.2431082999974,181.19297159998678,181.19297159998678,180.70966849999968,180.70966849999968,181.6928418999887,183.6944291999971,p,0,1994.9784000054933,None,1.2945246172602145,0.982,1.3182531743994037,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,184.4788255999738,184.57552829998895,184.52520629999344,192.62389589997474,192.62404494998628,192.97388799997861,193.00721239999984,198.47310559998732,198.47310559998732,198.00625399997807,198.00625399997807,198.97269359999336,199.35811069997726,w,1,377.6219999999739,None,7.919,5.360033403563151,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,200.2556145999988,200.4058685999771,200.30535664999627,204.37160849999054,204.37177394998145,204.85502119999728,204.92157259999658,207.58769029998803,207.58769029998803,207.10450609997497,207.10450609997497,208.0875415999908,208.57338189997245,p,0,479.7339000215288,None,4.011,2.714874855624675,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,209.59039009999833,209.6872254999762,209.63675199997962,212.63673589998507,212.63664674998728,213.2033200999722,213.2366600999958,218.4188056999992,218.4188056999992,217.95234099999652,217.95234099999652,218.9186649999756,221.12056339997798,p,1,2199.008399999002,None,3.0498098239921676,5.293,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,222.09464859997388,222.2015081999998,222.13437824997237,229.08333039999707,229.0835697499977,229.616653199977,229.66668929997832,233.59917839997797,233.59917839997797,233.11611189998803,233.11611189998803,234.09910619998118,235.167346799979,w,1,1055.6940999813378,None,6.956,4.008025153162577,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,236.13395979997586,236.26539879999473,236.18155634998112,238.3818256999948,238.38156084999792,238.91477379997377,238.9813747999724,242.1306536999764,242.1306536999764,241.66423109997413,241.66423109997413,242.63080559999798,243.84932649999973,w,0,1211.7223000095692,None,2.205,3.2577026457320795,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,244.81317619999754,244.93047669998487,244.86318854997518,249.77917489997344,249.77933714999818,250.31239349997486,250.36246899998514,253.12856079998892,253.12856079998892,252.64545419998467,252.64545419998467,253.62852839997504,254.29767639999045,w,1,658.9326000248548,None,4.926,2.838345587187874,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,255.25151859998005,255.36169509997126,255.29457689999253,259.27747969998745,259.2774298499979,259.77726679999614,259.82729879999533,266.6592436999781,266.6592436999781,266.1928271999932,266.1928271999932,267.159104499995,270.39406409999356,p,1,3227.0244999963325,None,3.966538981364459,6.884,1.7355180504571663,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,271.35231319998275,271.4585312999843,271.39122739998857,273.10794619997614,273.1079387499893,273.624662599992,273.67454670000006,276.140842599998,276.140842599998,275.6575329999905,275.6575329999905,276.6406891999941,276.97598389998893,p,1,327.96709999092855,None,1.711,2.5278590597948245,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,277.76617049999186,277.85783489997266,277.8066643999773,282.10611669998616,282.10614404997324,282.4561518999981,282.4895391999744,285.38890979997814,285.38890979997814,284.9222713999916,284.9222713999916,285.88886029997957,287.12386529997457,w,1,1224.8086999752559,None,4.121,2.7893291648041103,1.4774161658648886,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
,,,,,,,,,288.08563339998364,288.18834509997396,288.1380073499866,288.85487849998754,288.85485214997317,289.3881411999755,289.42141359997913,290.3044696999714,290.3044696999714,289.82117519999156,289.82117519999156,290.80436629999895,291.3404688999872,p,1,530.4481000057422,None,0.72,0.9491422855675706,1.3182531743994037,,,,,NGU118,001,2024-12-19_15h43.57.747,Time estimation,2023.2.3,60.02217218804249,2024-12-19 15h44.22.419425 +0100,
