thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07560019986703992,0.10847159987315536,0.10847159987315536,4.62583819986321,space,4.502359900157899,None,,,,,,,,,,,,,,,,,,,,,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,6.787963100010529,6.890261600026861,6.840580569347367,9.906145599903539,9.906178589910269,11.355766199994832,11.355766199994832,11.639222099911422,11.672493499936536,11.839091799920425,11.839091799920425,12.339046999812126,12.957105399807915,w,1,610.7592000626028,None,4.281000000000001,1.427,3,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,13.468132899841294,13.55552289984189,13.50554256979376,14.971752899931744,14.971896789968014,18.021290199831128,18.021290199831128,15.038422599900514,15.071767099900171,18.50441259983927,18.50441259983927,19.004326099995524,20.1226051999256,p,1,1111.407200107351,None,1.011,3.033,3,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,20.640334999887273,20.72095929994248,20.670759569853544,22.253655100008473,22.25357018993236,25.669732099864632,25.669732099864632,22.320170799968764,22.353613500017673,26.15281919995323,26.15281919995323,26.652605599956587,26.820929399924353,p,1,155.91959981247783,None,1.1316666666666666,3.395,3,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,26.84546500002034,26.869367299834266,26.869367299834266,30.80348509992473,space,3.919931699987501,None,,,,,,,,,,,,,,,,,,,,,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,31.49309809994884,31.568773299921304,31.518467769725248,33.7512256000191,33.751275789923966,39.616629999829456,39.616629999829456,34.00126709998585,34.01785459998064,40.099927600007504,40.099927600007504,40.59983089985326,41.134637099923566,p,1,529.8680001869798,None,1.9433013866293882,5.838,3.0041660239464334,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,41.71856199996546,41.7828703999985,41.74969242978841,44.532359399832785,44.53242018981837,49.347952199866995,49.347952199866995,44.66564160003327,44.682265299838036,49.83129299990833,49.83129299990833,50.33113990002312,50.566194999963045,p,1,230.53820012137294,None,2.3928313558419103,4.79,2.0018126176362534,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,51.26819179998711,51.34777919994667,51.297784759663045,59.39598819985986,59.39594759000465,64.46155529981479,64.46155529981479,59.64583499985747,59.679229100001976,64.94485390000045,64.94485390000045,65.44470259989612,66.17958759982139,w,1,719.6572998072952,None,7.824,5.049443529935377,1.5494776708791378,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,66.86153019987978,66.944736499805,66.8946373697836,73.6600728998892,73.65990168997087,78.59204369992949,78.59204369992949,73.9273531998042,73.943997599883,79.07520339987241,79.07520339987241,79.57627429999411,80.17680849996395,w,1,595.2842999249697,None,6.473,4.9102859190527655,1.3182531743994035,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
,,,,,,,,,80.79254829999991,80.89198899990879,80.82527390983887,88.9899869998917,88.98988868994638,95.57179449987598,95.57179449987598,89.1397338998504,89.18986019981094,96.03838159982115,96.03838159982115,96.5382866000291,96.80650279996917,p,0,255.5256001651287,None,7.798,6.55041914622391,1.190458171595825,,,,,RTU116,001,2025-03-11_11h33.28.520,Time estimation,2023.2.3,60.003696199948024,2025-03-11 11h33.45.780300 +0100,
