thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.002051900024525821,0.0065833000699058175,0.0065833000699058175,1.0050352000398561,space,0.9945061999605969,None,,,,,,,,,,,,,,,,,,,,,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,1.480854400084354,1.5068353000096977,1.5043499001767486,6.021307700080797,6.021307700080797,6.021307700080797,6.004068960028235,7.3471139000030234,7.35379159997683,7.838403600035235,7.838403600035235,8.337565100053325,9.388557499973103,w,1,1039.5449000643566,None,3.998,1.3326666666666667,3,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,9.588346900069155,9.605355000006966,9.604400880110916,11.525760999997146,11.525760999997146,11.804613700020127,11.803982760000508,16.025667499983683,16.025667499983683,16.50535930006299,16.50535930006299,17.004234299995005,17.27215099998284,p,1,263.0320000462234,None,1.4023333333333332,4.207,3,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,17.471429600031115,17.494058300042525,17.48786348005524,21.866837200010195,21.866837200010195,22.137786700041033,22.13743326003896,23.43729480006732,23.43729480006732,23.922043700003996,23.922043700003996,24.42106970003806,25.47245220001787,w,1,1045.862099970691,None,3.8549999999999995,1.285,3,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,25.484619399998337,25.488385600037873,25.488385600037873,30.189005200052634,space,4.697652800008655,None,,,,,,,,,,,,,,,,,,,,,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,30.39745250006672,30.415424600010738,30.42126034013927,31.675985499983653,31.675985499983653,31.937839100020938,31.937644560064655,34.19630439998582,34.19630439998582,34.68884680001065,34.68884680001065,35.188268000027165,35.22288250003476,p,1,23.91930005978793,None,0.745,2.238103687840093,3.0041660239464334,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,35.411404600017704,35.42822730005719,35.421735320123844,37.28776950004976,37.27667880000081,37.571169000002556,37.57122525997693,40.27592090005055,40.27592090005055,40.77239840000402,40.77239840000402,41.27124799997546,41.889167300076224,p,1,614.9367999751121,None,1.348,2.6984434085736697,2.0018126176362534,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,42.09053569997195,42.108540200046264,42.10496108006919,45.246038699988276,45.246038699988276,45.52129669999704,45.52127006003866,49.61657529999502,49.61657529999502,50.106309800059535,50.106309800059535,50.60537200002,50.6564878000645,p,1,48.75359998550266,None,2.63,4.075126274412132,1.5494776708791378,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,50.85762839997187,50.87482290004846,50.87223398016067,57.916335500078276,57.916335500078276,58.18879649997689,58.188698560057674,63.16588580003008,63.16588580003008,63.63997580006253,63.63997580006253,64.1385107000824,66.24026190000586,w,1,2092.375300009735,None,6.527,4.951249218856388,1.3182531743994035,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,66.44961910007987,66.46623420005199,66.47263844008557,69.86662470002193,69.86662470002193,70.1223936000606,70.12203696003417,72.54677000001539,72.55531289998908,73.04022460000124,73.04022460000124,73.53908790007699,74.34039580007084,w,1,785.7614000095055,None,2.8785278589187047,2.418,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,74.55140720005147,74.56891370005906,74.57258594012819,77.80612690001726,77.80612690001726,78.07258879998699,78.07236396003282,81.12609510007314,81.12609510007314,81.62331739999354,81.62331739999354,82.12304810003843,82.65728100005072,w,0,531.4595999661833,None,2.731,3.048555410423177,1.1162780704588713,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,82.85761499998625,82.88174460001756,82.88956124009565,84.4891974000493,84.50696140003856,84.77252660004888,84.77190326008713,85.71631789999083,85.71631789999083,86.19019840005785,86.19019840005785,86.6893608000828,88.95732709998265,w,1,2256.5958000486717,None,1.1035547250693298,0.927,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,89.16383680002764,89.18067999999039,89.18969724013004,98.4755971999839,98.4755971999839,98.73892310005613,98.73872276005568,106.12581050000153,106.12581050000153,106.62344380002469,106.62344380002469,107.12315390002914,107.3073190000141,w,1,183.0993000185117,None,8.782,7.376991657109307,1.190458171595825,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
,,,,,,,,,107.5227308999747,107.53978830005508,107.53965624014381,113.2069195000222,113.2069195000222,113.47265450004488,113.4726301599876,119.31632720003836,119.31632720003836,119.80740739998873,119.80740739998873,120.30631130002439,122.24052099999972,p,1,1922.8828001068905,None,5.155733610393121,5.833,1.1313617887940566,,,,,TBI117,001,2025-05-07_11h39.44.464,Time estimation,2023.2.3,60.028369399773894,2025-05-07 11h40.01.159688 +0200,
