thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,key_resp.started,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0805363999970723,0.11304489999747602,0.11304489999747602,1.465074799998547,space,1.3458510000018578,None,,,,,,,,,,,,,,,,,,,,,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,4.127045699999144,4.22855619999973,4.169663869982832,6.1614848999997776,6.161585289996947,7.411337499997899,7.411337499997899,7.877703699999984,7.877703699999984,8.39443989999927,8.411168899998302,8.427662199999759,11.813387499998498,w,1,3395.42259999871,None,3.685,1.2283333333333333,3,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,12.800533499997982,12.910227000000305,12.8401557799938,16.40956979999828,16.409768489998168,17.625849799998832,17.625849799998832,18.092628700000205,18.092628700000205,16.94265059999816,18.59256479999749,16.99267989999862,19.82737780000025,w,1,1222.3503999994136,None,3.581,1.1936666666666667,3,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,20.772162299999763,20.87533309999708,20.822187799993117,21.84178669999892,21.841737489999286,24.891990399999486,24.891990399999486,25.357637999997678,25.357637999997678,22.37508650000018,25.857779899997695,22.391513899998245,27.16040459999931,p,1,1290.9994999972696,None,1.006,3.018,3,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,27.187035499999183,27.207653999998,27.207653999998,28.777098999998998,space,1.551220099998318,None,,,,,,,,,,,,,,,,,,,,,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,29.7942781999991,29.906967499999155,29.83681235999102,36.33893460000036,36.33886808999996,38.53832119999788,38.53832119999788,39.02162119999775,39.02162119999775,36.9219740999979,39.52181429999837,36.972044899997854,39.7911924,w,1,266.7569999975967,None,6.559,2.1833014379757034,3.0041660239464334,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,40.851966499998525,40.97117319999961,40.91757361999189,42.52091399999699,42.52096778999949,46.003498399997625,46.003498399997625,46.47008089999872,46.47008089999872,43.170738599998,46.97004089999973,43.20421109999734,47.67159460000039,p,1,694.1851000010502,None,1.7249366746810264,3.453,2.0018126176362534,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,48.538727899998776,48.63632460000008,48.583364349991825,50.219303999998374,50.21932418999968,51.23598159999892,51.23598159999892,51.71920169999794,51.71920169999794,50.65257509999719,52.20233089999965,50.68598689999999,52.85388959999909,w,1,647.5755999999819,None,1.538631327182984,0.993,1.5494776708791378,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,53.603632799997285,53.702353499997116,53.6493183199942,55.53502589999698,55.53492918999946,57.76762339999914,57.76762339999914,58.234439399999246,58.234439399999246,55.85149929999898,58.73426180000024,55.884871099999145,59.30272459999833,p,1,551.719499999308,None,1.672,2.2041193075958025,1.3182531743994035,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,60.06962989999738,60.167347299997346,60.114755009994774,67.98241699999926,67.98232508999827,74.44795159999921,74.44795159999921,74.93111409999983,74.93111409999983,68.31591409999965,75.43104200000016,68.34903929999928,75.95001929999853,w,1,511.94939999913913,None,7.672,6.444577544220292,1.190458171595825,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,76.885801299999,76.98213639999813,76.92755100999311,84.97908019999886,84.97894098999787,93.96065520000047,93.96065520000047,94.44368249999752,94.44368249999752,85.47898119999809,94.94363399999929,85.51216129999739,95.89552980000008,w,0,949.6677999995882,None,8.023090515715706,8.956,1.1162780704588713,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,96.83170729999983,96.92652379999709,96.87341360999089,104.94174289999864,104.94180218999936,111.7237129999994,111.7237129999994,112.20686059999935,112.20686059999935,105.44179499999882,112.70682589999706,105.47491040000023,113.62501169999814,w,1,905.9367000008933,None,8.042,6.75538224851663,1.190458171595825,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,114.54151780000029,114.63982159999796,114.58659821999173,120.98841229999744,120.98832229,128.5870651999976,128.5870651999976,129.07012589999795,129.07012589999795,121.47174889999951,129.5700692999999,121.50514259999909,130.82167059999847,p,1,1243.276599998353,None,6.3614162855031635,7.573,1.190458171595825,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,131.81094119999761,131.90296139999919,131.84953997999253,133.48593609999807,133.4858669899997,135.38558699999703,135.38558699999703,135.8688117999991,135.8688117999991,134.03576389999944,136.36871070000052,134.06917880000037,137.57114359999832,w,0,1197.4923000016133,None,1.663,1.8814546547645161,1.1313617887940566,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,138.37723379999807,138.48521749999782,138.41554198999182,145.30049059999874,145.30045738999723,153.31532589999915,153.31532589999915,153.78188889999728,153.78188889999728,145.66701599999942,154.28168159999768,145.7003184999994,155.26663439999902,p,1,972.6928999989468,None,6.715061638229537,7.994,1.190458171595825,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,156.24196019999727,156.34805810000034,156.27803548999253,159.6474810999971,159.64763078999857,162.49667000000045,162.49667000000045,162.98028390000036,162.98028390000036,160.16421089999858,163.4798658999971,160.2305944999971,167.5645642999989,w,1,4076.6179999991436,None,3.37,2.8308428472396225,1.190458171595825,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
,,,,,,,,,168.51691039999787,168.61213750000024,168.55900939999265,171.54499339999893,171.5449937899986,174.92735840000023,174.92735840000023,175.4110612000004,175.4110612000004,172.0616246999998,175.91064600000027,172.09488330000022,176.41272389999722,w,0,499.1131000024325,None,2.974,3.3646699598735244,1.1313617887940566,,,,,GLE1113,001,2024-09-09_15h41.27.648,Time estimation,2023.2.3,60.14147680998324,2024-09-09 15h41.46.973457 +0200,
