thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.004952300107106566,0.011344700120389462,0.011344700120389462,9.015150499995798,space,8.982580600073561,None,,,,,,,,,,,,,,,,,,,,,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,9.45361450011842,9.480424500070512,9.465794719639234,11.319539200048894,11.324767500162125,11.358574599958956,11.357824860024266,15.367997599998489,15.367997599998489,15.84201529994607,15.84201529994607,16.341473000124097,17.744773200014606,p,1,1397.922300035134,None,1.331,3.993,3,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,18.002129400148988,18.0255283000879,18.026692019659095,19.79700050014071,19.79700050014071,20.007820000173524,20.00839746010024,23.79853929998353,23.79853929998353,24.292609700001776,24.292609700001776,24.792083899956197,26.7440955999773,p,1,1941.0117000807077,None,1.2590000000000001,3.777,3,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,27.023602799978107,27.04126810003072,27.04285877966322,31.937387000070885,31.937387000070885,32.12551390007138,32.124622759991325,33.59854999999516,33.59854999999516,34.09314969996922,34.09314969996922,34.592256100149825,35.31278869998641,w,1,717.6473001018167,None,4.381,1.4603333333333335,3,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,35.330575600033626,35.33426619996317,35.33426619996317,37.325896200025454,space,1.9813612999860197,None,,,,,,,,,,,,,,,,,,,,,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,37.57716290000826,37.59399720001966,37.59210385987535,41.517085700063035,41.517085700063035,41.742759000044316,41.741692360141315,42.89726120000705,42.89726120000705,43.39327390003018,43.39327390003018,43.8923762999475,45.177947600139305,w,1,1280.8284999337047,None,3.416,1.1370876219126396,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,45.428585400106385,45.44524949998595,45.443354659713805,46.738598900148645,46.738598900148645,46.95885089994408,46.959235660149716,48.53641279996373,48.53641279996373,49.026810799958184,49.026810799958184,49.53027079999447,51.56098620011471,p,1,2013.8459999579936,None,0.781,1.563415654373914,2.0018126176362534,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,51.81542610004544,51.8390922001563,51.84303421981167,54.41720620007254,54.41720620007254,54.62587620015256,54.626034060143866,55.958422699943185,55.958422699943185,56.45980309997685,56.45980309997685,56.95941759995185,57.36085920012556,w,1,385.27169986627996,None,2.057706346927495,1.328,1.5494776708791378,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,57.650527300080284,57.66928429994732,57.67666493973229,66.7977824001573,66.7977824001573,66.97615080000833,66.97591406002175,73.52577390009537,73.51888900017366,74.01063830009662,74.01063830009662,74.50947890011594,75.27928979997523,w,1,766.1532999482006,None,8.614,6.534404898303804,1.3182531743994035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,75.5163660000544,75.5395681001246,75.54345955979079,82.92981250002049,82.92981250002049,83.15961139998399,83.15928716014605,88.95729080005549,88.95729080005549,89.44390589999966,89.44390589999966,89.92616789997555,91.84593580011278,p,0,1917.1492999885231,None,6.874,5.774247398197378,1.190458171595825,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,92.13418429996818,92.15936980000697,92.16064683964942,100.29738530004397,100.29738530004397,100.4765395000577,100.47647575999144,106.26785419997759,106.26785419997759,106.7613413000945,106.7613413000945,107.25987590011209,109.66177779994905,w,1,2389.436800032854,None,7.62,5.78037675006675,1.3182531743994035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,109.97148990002461,109.98890560003929,109.99429749976844,114.99760150001384,114.99760150001384,115.16063589998521,115.16013865999412,121.10656360001303,121.10656360001303,121.57781630009413,121.57781630009413,122.07711219997145,122.94629110000096,w,0,857.2945999912918,None,4.491549965504623,5.921,1.3182531743994035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,123.20515069994144,123.22795800003223,123.22808951965999,126.21851580007933,126.21851580007933,126.42702020006254,126.42697586014401,130.26770250010304,130.26770250010304,130.74458239995874,130.74458239995874,131.24363350006752,132.3446675001178,p,1,1085.52290010266,None,2.468573811605677,3.825,1.5494776708791378,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,132.59786240011454,132.61510960012674,132.61116815987043,134.51626659999602,134.51626659999602,134.7438964000903,134.74406465992797,135.6477797999978,135.6477797999978,136.12803660007194,136.12803660007194,136.6270616000984,138.14654040010646,w,1,1516.006600111723,None,1.38368356009507,0.893,1.5494776708791378,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,138.349768999964,138.36610570014454,138.36189967987593,142.40258530015126,142.40258530015126,142.67757329996675,142.67727495997678,147.50695489998907,147.50695489998907,147.97884690016508,147.97884690016508,148.47746250010096,149.8950180001557,p,1,1413.5999998543411,None,3.524868092071722,4.806,1.363455276754853,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,150.12947200005874,150.14581520017236,150.14458279975224,157.1175919000525,157.1175919000525,157.3608971000649,157.36074186011683,166.1681623000186,166.1681623000186,166.6624887001235,166.6624887001235,167.1612428999506,168.46295369998552,w,0,1293.1194000411779,None,6.452723569298171,8.798,1.363455276754853,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,168.7159492999781,168.7349988000933,168.72869985969737,175.56720499997027,175.56720499997027,175.79461019998416,175.79482865997124,179.87725230003707,179.87725230003707,180.37861949997023,180.37861949997023,180.87775830016471,184.26330200000666,p,0,3375.106899999082,None,6.326,4.082666126069937,1.549477670879138,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,184.4843689999543,184.50146790011786,184.49558903975412,187.83657269994728,187.83657269994728,188.09505150001496,188.09412895992864,193.34894230007194,193.34894230007194,193.82962090009823,193.82962090009823,194.32856829999946,195.6470210000407,p,1,1309.8200000822544,None,2.8228472554197404,5.24,1.8562818055208035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,196.08020070008934,196.1075206999667,196.11307207960635,197.02788099995814,197.02788099995814,197.03197450004518,197.044595359941,197.76175220008008,197.78643129998818,198.2630266000051,198.2630266000051,198.76215980015695,200.01286890008487,w,0,1248.4941000584513,None,0.39,0.7239499041531133,1.8562818055208035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,200.29356630006805,200.3207046999596,200.32951673970092,202.78691080003045,202.78691080003045,202.96237750002183,202.96188626007643,207.638723900076,207.638723900076,208.1299008000642,208.1299008000642,208.62934360001236,208.79740680009127,p,1,163.33790007047355,None,1.945,4.660035356157898,2.395905067433367,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,209.0521625999827,209.06875249999575,209.06286975974217,217.74945929995738,217.7617969000712,217.99534999998286,217.9948625600664,221.41692310012877,221.41692310012877,221.89642030000687,221.89642030000687,222.39556530001573,222.9314117000904,w,1,529.3215001001954,None,8.183,3.415410782016546,2.395905067433367,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,223.1530136000365,223.16964159999043,223.16301683988422,230.057788599981,230.06211689999327,230.32906830008142,230.32914926006924,233.78684610011987,233.78684610011987,234.26377930003218,234.26377930003218,234.76307500014082,235.3649557000026,w,1,588.1582000292838,None,6.382,3.4380555694825916,1.8562818055208035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,235.69358099997044,235.72289730003104,235.73071701964363,240.34818159998395,240.34818159998395,240.49595230002888,240.49576926010195,248.149178000167,248.149178000167,248.63035690016113,248.63035690016113,249.12918819999322,250.2146288000513,w,0,1079.4285000301898,None,4.11629310661493,7.641,1.8562818055208035,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,250.53098949999548,250.55923500005156,250.56393115979154,257.9072700000834,257.87920660013333,258.0457077999599,258.04620276007336,260.90770630002953,260.90770630002953,261.3807161001023,261.3807161001023,261.87939850008115,267.31447970005684,p,0,5429.255899973214,None,6.818745821915362,2.846,2.395905067433367,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,267.6415332001634,267.6654749000445,267.6642011596123,270.3378053000197,270.3464838000946,270.49676760006696,270.49623545992654,277.0164437999483,277.0164437999483,277.4974389001727,277.4974389001727,277.99665380013175,280.65010850015096,w,0,2650.4528999794275,None,2.1663250127071016,6.508,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,280.96625890000723,280.9866132000461,280.98079139972106,289.41773530002683,289.41773530002683,289.58027960010804,289.5795881600352,292.2367748999968,292.2367748999968,292.7145297001116,292.7145297001116,293.2134686000645,295.58310719998553,p,0,2366.3136998657137,None,7.923,2.637337596139884,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,295.9402811001055,295.96783300000243,295.9646715797717,299.10705620003864,299.10705620003864,299.21374070015736,299.2138495600084,307.08800390013494,307.08800390013494,307.56461530015804,307.56461530015804,308.06428789999336,315.2829087001737,p,1,7207.972100004554,None,2.616699588950603,7.861,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,315.6371524001006,315.663146100007,315.66516997956205,318.1184889001306,318.1184889001306,318.23080030013807,318.2304041601019,324.0667189001106,324.0667189001106,324.5488448999822,324.5488448999822,325.04754450009204,326.65130949998274,w,0,1599.51790003106,None,1.9393069336250113,5.826,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,326.981317400001,327.0077325999737,327.0153976196889,336.28652630001307,336.28652630001307,336.43133669998497,336.4312619600678,339.3690194999799,339.3690194999799,339.84880429995246,339.84880429995246,340.3479490999598,340.86760030011646,p,0,516.1121001001447,None,8.766,2.9179479196973652,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,341.1416253000498,341.16793600004166,341.16552477981895,350.6483291001059,350.6483291001059,350.83128170017153,350.83081416005734,353.8176293000579,353.8176293000579,354.3158849000465,354.3158849000465,354.8147154999897,363.98365360009484,w,1,9161.405300023034,None,8.953,2.980194812348906,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,364.38492490001954,364.41525620012544,364.41631605965085,368.967220999999,368.967220999999,369.03130890009925,369.03126806009095,370.38650800008327,370.38650800008327,370.8832757000346,370.8832757000346,371.36563779995777,373.0009745999705,p,0,1622.3971999716014,None,4.038,1.3441334359728452,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,373.34554490004666,373.37293810001574,373.3663479196839,375.4167698000092,375.4167698000092,375.5477930000052,375.54780086001847,380.1859624001663,380.1859624001663,380.66641189996153,380.66641189996153,381.1650578000117,385.76860830001533,w,0,4600.922899786383,None,1.5395287621036178,4.625,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
,,,,,,,,,386.0661526999902,386.0879981999751,386.0827779396204,390.70686989999376,390.70686989999376,390.8821926000528,390.88167835993227,392.257569400128,392.257569400128,392.750635500066,392.750635500066,393.249159200117,394.63455850002356,p,0,1373.2952000573277,None,4.105,1.3664357985806166,3.0041660239464334,,,,,MPI0416,001,2025-02-11_12h12.51.329,Time estimation,2023.2.3,60.05746302664529,2025-02-11 12h13.08.769879 +0100,
