thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06778640000266023,0.100283199979458,0.100283199979458,5.900931999989552,space,5.790539599984186,None,,,,,,,,,,,,,,,,,,,,,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,8.655114699999103,8.764855499990517,8.697733999724733,11.814294099982362,11.797533799981466,13.447109899978386,13.463871899992228,13.91375059998245,13.91375059998245,14.096935699984897,14.14716920000501,14.413626299996395,18.133109499991406,w,1,3705.2269000269007,None,4.881,1.627,3,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,19.054187000001548,19.16290319999098,19.09607919989503,22.0453273000021,22.0455083999841,30.777120899991132,30.777120899991132,31.243734099989524,31.243734099989524,22.528888999979245,22.5787135999999,31.74358700000448,46.426599800004624,p,1,14677.891899977112,None,2.902,8.706,3,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,47.347423899977,47.45725750000565,47.39032009989023,50.85644219999085,50.85648229997605,52.022842899983516,52.022842899983516,52.489437299984274,52.489437299984274,51.33988079999108,51.38977499998873,52.98931159998756,59.20654449998983,w,1,6206.242800020846,None,3.422,1.1406666666666667,3,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,59.22554659997695,59.23805580000044,59.23805580000044,69.55512589999125,space,10.314458699984243,None,,,,,,,,,,,,,,,,,,,,,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,70.4710290999792,70.56921829999192,70.51899749989389,76.70125479999115,76.70129050000105,78.76755799999228,78.76755799999228,79.25090539999655,79.25090539999655,77.18453899997985,77.2178679999779,79.75070750000305,84.01829149998957,w,1,4249.984299996868,None,6.143519518970456,2.045,3.0041660239464334,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,85.01956779998727,85.116320000001,85.06611429990153,91.71512589999475,91.71506629997748,95.0809908999945,95.0809908999945,95.56419989999267,95.56419989999267,92.29830699999002,92.31493369999225,96.06410940000205,97.79988779997802,p,0,1727.7235999936238,None,6.697,3.3454679728754226,2.0018126176362534,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,98.76951199999894,98.86443829999189,98.8135723999003,102.61268739998923,102.61283749999711,103.9125553999911,103.9125553999911,104.37928429999738,104.37928429999738,103.14599399999133,103.1795345999999,104.8790469999949,109.51380549999885,w,1,4622.772000002442,None,3.808,1.2675730867222867,3.0041660239464334,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,110.5300916999986,110.6446864999889,110.57786859988119,112.17753630000516,112.17764359997818,117.17667859999347,117.17667859999347,117.64312890000292,117.64312890000292,112.76084149998496,112.81074849999277,118.14321859998745,119.79538759999559,p,1,1634.4676000007894,None,1.655,4.971894769631347,3.0041660239464334,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
,,,,,,,,,120.79828819999238,120.90930959998514,120.84259289989132,122.65905029998976,122.65881480000098,126.72485090000555,126.72485090000555,127.19129149999935,127.19129149999935,123.22545139997965,123.27539809999871,127.6911390000023,129.11014259999502,p,1,1414.3846999795642,None,1.854,4.03935824846867,2.178726131860124,,,,,GMA917,001,2024-12-19_10h31.45.182,Time estimation,2023.2.3,60.00877328309166,2024-12-19 10h32.09.927633 +0100,
