thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.002444899990223348,0.006627399940043688,0.006627399940043688,36.434351600008085,space,36.414020400028676,None,,,,,,,,,,,,,,,,,,,,,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,36.940734199946746,36.967423400026746,36.966685240180226,38.61774250003509,38.61691661995137,38.66276670002844,38.66276670002844,42.14160390000325,42.14160390000325,42.61805449996609,42.61805449996609,43.11770579998847,45.16890109993983,p,1,2042.858999921009,None,1.1703333333333334,3.511,3,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,45.38861140003428,45.407153100008145,45.400511280097994,48.56691079994198,48.56663081994047,48.31665339996107,48.31140929996036,55.771154599962756,55.771154599962756,56.26897430000827,56.26897430000827,56.76812230003998,57.318965499987826,p,1,535.3196000214666,None,2.398,7.194000000000001,3,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,57.56125529995188,57.58360559993889,57.58468352009076,59.66785269998945,59.667636220005804,59.44168010004796,59.44168010004796,63.6922809999669,63.6922809999669,64.16845650004689,64.16845650004689,64.66811850003432,65.63523669994902,p,1,962.4278999399394,None,1.3363333333333334,4.009,3,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,65.64549769996665,65.65083269996103,65.65083269996103,75.75182390003465,space,10.08944660006091,None,,,,,,,,,,,,,,,,,,,,,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,75.96506479999516,75.98320819996297,75.98438248008024,80.83421070000622,80.83396202001022,80.57151329994667,80.57151329994667,82.2014504999388,82.2014504999388,82.68550170003437,82.68550170003437,83.18457389995456,84.13569329993334,w,1,947.6250000298023,None,4.071,1.3551181817348816,3.0041660239464334,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,84.36398200003896,84.38195139996242,84.38477440009592,89.95121259998996,89.95104961994802,89.70123949996196,89.70123949996196,92.36114629998337,92.36114629998337,92.85244649997912,92.85244649997912,93.35140549996868,93.98626389994752,w,1,622.0434000715613,None,4.805,2.4003245646806635,2.0018126176362534,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,94.19857669994235,94.218414700008,94.2185588800814,99.05120470002294,99.05222302001202,98.79207419999875,98.79207419999875,101.68616709997877,101.68616709997877,102.16983759996947,102.16983759996947,102.66854410001542,103.48584350000601,w,1,813.1702999817207,None,4.054,2.61636555091488,1.5494776708791378,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,103.68694509996567,103.7038584999973,103.70171146005158,109.83602149994113,109.83536351997172,109.55171479994897,109.55171479994897,113.89180340000894,113.89180340000894,114.38647459994536,114.38647459994536,114.8850729999831,116.96976220002398,w,1,2068.6490000225604,None,5.338,4.049298043550697,1.3182531743994035,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,117.17651959997602,117.1933823999716,117.2017936801305,123.38486520003062,123.38480581996264,123.11128349998035,123.11128349998035,127.94141950004268,127.94141950004268,128.4198633999331,128.4198633999331,128.91869209997822,132.46961609995924,w,1,3542.258400004357,None,5.4,4.536068657297911,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,132.75839380000252,132.77545850002207,132.76862006015145,137.96865809999872,137.96838072001702,137.77151640004013,137.77151640004013,142.98535490001086,142.98535490001086,143.48681619996205,143.48681619996205,143.9854003000073,147.11981709999964,w,0,3120.614199899137,None,4.4917123543767925,5.014,1.1162780704588713,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,147.3517977000447,147.3687668000348,147.368937600113,152.4189742000308,152.41853061994772,152.17105669993907,152.17105669993907,157.54141549998894,157.54141549998894,158.03677619993687,158.03677619993687,158.53582160000224,159.75345730001573,p,1,1209.123299922794,None,4.291624957432413,5.109,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,159.96984299994074,159.98632899997756,159.98590048011394,163.58585429994855,163.58545891999967,163.3203614000231,163.3203614000231,166.96125409996603,166.96125409996603,167.4373220000416,167.4373220000416,167.93611949996557,168.30360670003574,p,1,365.5360999982804,None,2.821602707382164,3.359,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,168.51386139995884,168.53138619998936,168.53600308012685,173.03637300000992,173.0364542199648,172.77093979995698,172.77093979995698,177.26190799998585,177.26190799998585,177.7540685000131,177.7540685000131,178.25320839998312,178.93803149997257,p,1,669.8983999667689,None,3.7255986915492887,4.215,1.1313617887940566,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,179.14013740001246,179.16323019994888,179.1700668801088,184.55384419998154,184.5533767199493,184.2916706999531,184.2916706999531,189.79218009999022,189.79218009999022,190.271392500028,190.271392500028,190.77053129998967,191.05461999995168,p,1,278.29869999550283,None,4.61214091874358,5.218,1.1313617887940566,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,191.3006603999529,191.31871779996436,191.3202385201119,198.42039450001903,198.41964621994413,198.19136469997466,198.19136469997466,204.2616349000018,204.2616349000018,204.73771420004778,204.73771420004778,205.23686850001104,206.33737510000356,p,0,1096.5307999867946,None,6.353,5.821459691897688,1.091307049474569,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,206.61418359994423,206.6368410999421,206.63658766015433,214.78672500001267,214.78641602002318,214.59211319999304,214.59211319999304,221.3708246999886,221.3708246999886,221.8549478999339,221.8549478999339,222.35399960004725,222.53825390001293,p,0,176.4271000865847,None,7.439,6.575261842570619,1.1313617887940566,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,222.77156489994377,222.78964550001547,222.7870287000551,228.18713690002915,228.18720381999157,227.94214079994708,227.94214079994708,233.72124780004378,233.72124780004378,234.2216942999512,234.2216942999512,234.72082189994399,237.45523479999974,p,1,2717.750300071202,None,4.646950335587416,5.532,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,237.65568550000899,237.67249919997994,237.67060976001667,238.87044650001917,238.87024622004247,238.5915071000345,238.5915071000345,239.23115549993236,239.23115549993236,239.7049754000036,239.7049754000036,240.20414599997457,244.7385919999797,w,1,4533.454400021583,None,0.4071366946857721,0.342,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,244.95761709997896,244.97447340004146,244.97086298004726,248.48746720002964,248.48720811995446,248.23728480003774,248.22232339996845,251.6110861999914,251.6110861999914,252.1051781999413,252.1051781999413,252.6044174999697,252.93922790000215,p,1,333.390099927783,None,2.7488996276911712,3.11,1.1313617887940566,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,253.13131850003265,253.14892529998906,253.15415416009492,260.0376674999716,260.037376820005,259.7373278000159,259.7613440999994,265.42083449999336,265.42083449999336,265.92193930002395,265.92193930002395,266.4213917000452,267.0053354999982,p,0,571.6405999846756,None,6.088,5.381125702052686,1.1313617887940566,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,267.2148807999911,267.2323456000304,267.2377161800861,276.3379180999473,276.33772562002997,276.0709298000438,276.0709298000438,283.3423082999652,283.3423082999652,283.82262700004503,283.82262700004503,284.3216908000177,285.87226750003174,p,0,1533.9703999925405,None,8.324,6.992265833953299,1.190458171595825,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
,,,,,,,,,286.0982875999762,286.1154430999886,286.1214689000626,290.4889694999438,290.4888142199605,290.2526039000368,290.2526039000368,293.32169170002453,293.32169170002453,293.8229911000235,293.8229911000235,294.32254209998064,296.52311269997153,p,0,2193.546799942851,None,3.613,2.824352477788022,1.2792312674902502,,,,,CPA1016,001,2025-05-07_10h17.40.688,Time estimation,2023.2.3,59.99188910467238,2025-05-07 10h18.00.236559 +0200,
