thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1.3751270999200642,1.4001111999386922,1.4001111999386922,8.768890299950726,space,7.350726600037888,None,,,,,,,,,,,,,,,,,,,,,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,9.988474699901417,10.108068299945444,10.01626010023756,13.770222699968144,13.764504219929222,14.526578399934806,14.5978000999894,15.11562729999423,15.120695899939165,15.606839999905787,15.606839999905787,16.09856369998306,16.985723199904896,w,1,878.2687999773771,None,3.991,1.3303333333333334,3,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,17.59570119995624,17.649945699959062,17.632171280158218,19.013582399929874,19.013201619905885,19.156556400004774,19.16406559990719,22.073127000010572,22.073127000010572,22.559514999971725,22.559514999971725,23.04609909991268,25.79895139997825,p,1,2735.7818000018597,None,1.014,3.042,3,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,26.353425799985416,26.40620059997309,26.395386720076203,33.74418749997858,33.74093201995129,33.8552663999144,33.8552663999144,36.07256180001423,36.07256180001423,36.59329779993277,36.59329779993277,37.058123799972236,37.92842169990763,w,1,861.41959996894,None,6.936,2.312,3,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,37.97447799996007,37.9843340999214,37.9843340999214,40.407919699908234,space,2.408126600086689,None,,,,,,,,,,,,,,,,,,,,,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,41.17436910001561,41.22088449995499,41.20478966017254,47.021051899995655,47.0203841199982,47.31756809994113,47.32478269992862,48.902540499926545,48.902540499926545,49.39811899990309,49.39811899990309,49.88700969994534,50.058218299993314,w,1,165.4732000315562,None,5.6,1.8640780687092453,3.0041660239464334,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,50.74729500000831,50.794702199986205,50.78743068012409,54.68442339997273,54.684452219924424,54.90671689994633,54.916867599938996,56.5130177999381,56.5130177999381,56.99673479993362,56.99673479993362,57.48508239991497,58.78823049995117,w,1,1290.5553000746295,None,3.615,1.805863330139563,2.0018126176362534,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,59.35421189991757,59.40229679993354,59.38472482014913,63.182346699992195,63.18136341992067,63.29720179992728,63.30444480001461,65.37454769993201,65.38001239998266,65.8678575999802,65.8678575999802,66.36500479991082,66.41939830000047,w,1,45.33850005827844,None,3.383,2.1833163933756876,1.5494776708791378,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,67.0723258999642,67.12025989999529,67.09850602009101,74.09542739996687,74.09426351991715,74.28607889998239,74.29378969990648,82.91230209998321,82.91230209998321,83.42129359999672,83.42129359999672,83.90887299994938,84.99539199995343,p,1,1072.6402000291273,None,6.675500708738504,8.8,1.3182531743994035,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
,,,,,,,,,85.73091209994163,85.77907479996793,85.75902192015201,88.72347799991257,88.722747420019,88.98713779996615,88.99441729998216,91.96236439992208,91.96236439992208,92.45367419999093,92.45367419999093,92.93911529995967,94.32691349997185,w,0,1382.7301999554038,None,2.712401054521288,3.229,1.190458171595825,,,,MME715,001,2025-01-22_16h07.00.420,Time estimation,2023.2.3,60.02192003235613,2025-01-22 16h07.27.855716 +0100,
