thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.009285291999731271,0.015621999999893887,0.015621999999893887,7.0113484589996915,space,6.977452125000127,None,,,,,,,,,,,,,,,,,,,,,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,7.281991208999898,7.295079791999797,7.298975583999709,8.844264916999691,8.844264916999691,9.061301791999995,9.067279125666362,12.200669416999972,12.211070874999677,12.694742916999985,12.694742916999985,13.200508375000027,20.434924083999704,p,1,7225.124333000167,None,1.0473333333333332,3.142,3,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,20.609867833999942,20.621867542000018,20.6171647503333,24.294361958999616,24.294361958999616,24.609540416999607,24.617090791666456,25.667173166999874,25.677602792000016,26.166451833999872,26.166451833999872,26.66701837499977,29.374369208999724,w,1,2704.316917000142,None,3.176,1.0586666666666666,3,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,29.54615933399964,29.555127916999936,29.55715266733335,31.53380633400002,31.54459879199976,31.861477458999616,31.867283375666617,36.3336100839997,36.3336100839997,36.81147299999975,36.81147299999975,37.306854208999994,39.02423545900001,p,1,1712.1092919996954,None,1.4856666666666667,4.457,3,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,39.03739579199964,39.04263883399972,39.04263883399972,52.72278645899996,space,13.67878141700021,None,,,,,,,,,,,,,,,,,,,,,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,52.89800699999978,52.90896483400002,52.90556529233293,57.65035874999967,57.63592749999998,57.94879854199962,57.956136083666266,59.36098049999964,59.36098049999964,59.86278020899999,59.86278020899999,60.356206624999686,61.0247178339996,w,1,664.8946249997607,None,4.232869927740524,1.409,3.0041660239464334,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,61.20180516699975,61.210620041999846,61.207007958333115,69.98813112499965,69.9838414169999,70.30973691700001,70.31684187566658,74.43869783399987,74.44876862499996,74.9397625419997,74.9397625419997,75.4409301669998,76.37427929199976,w,1,926.9037919998482,None,8.283,4.137749920759612,2.0018126176362534,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,76.54782395899974,76.55983204199993,76.5566602503331,85.12737337499993,85.12737337499993,85.44313970899975,85.45018025066635,90.64995437499965,90.6601701249997,91.16792333399962,91.16792333399962,91.65810366699998,94.5005918339998,w,1,2833.2825410002442,None,8.073,5.2101428447300995,1.5494776708791378,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,94.67220708399964,94.68136591699977,94.68298062533307,99.64982037499976,99.66020570899991,99.97175691699977,99.9820657506664,103.35431245899963,103.37709487499978,103.86667979200001,103.86667979200001,104.36663183399969,107.69962158399994,w,1,3324.2410000002565,None,4.476,3.3954024059447208,1.3182531743994035,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
,,,,,,,,,107.8682746669997,107.87630212499971,107.88234808333294,113.32219979199999,113.33178633399984,113.64834816699977,113.65625108366636,119.53900154199982,119.54927554200003,120.049720084,120.049720084,120.54829283399977,121.45091066699979,p,1,895.4782079999859,None,4.954394989026496,5.898,1.190458171595825,,,,,ACA216,001,2025-02-11_09h31.51.111,Time estimation,2023.2.3,None,2025-02-11 09h32.04.384713 +0100,
