thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.00831329997163266,0.012377999955788255,0.012377999955788255,61.48093449999578,space,61.46693720004987,None,,,,,,,,,,,,,,,,,,,,,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,62.074276700033806,62.1077237999998,62.09662648980739,63.71429100004025,63.713221870001874,63.82986279996112,63.82986279996112,67.40357700001914,67.40545720001683,67.88133839995135,67.88133839995135,68.38018029998057,69.76471210003365,p,1,1379.8331000143662,None,1.2223333333333333,3.667,3,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,69.97051190002821,69.99297629995272,69.99656517985277,72.29686090000905,72.29609626996098,72.06342589994892,72.06342589994892,76.90483899996616,76.90483899996616,77.3975118000526,77.3975118000526,77.89619090000633,80.78051089996006,p,1,2871.830000076443,None,1.5303333333333333,4.591,3,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,81.04749439994339,81.0759379999945,81.07949755983428,83.04557159997057,83.04542486997089,82.84533309994731,82.84533309994731,86.83476090000477,86.83476090000477,87.33039350004401,87.33039350004401,87.82902369997464,88.59653610002715,p,1,765.8699000021443,None,1.259,3.7769999999999997,3,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,88.60727200005203,88.61291320004966,88.61291320004966,94.0130750000244,space,5.387855200096965,None,,,,,,,,,,,,,,,,,,,,,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,94.2248742999509,94.24496729997918,94.24496947992593,98.7115635999944,98.71142566994531,98.47920129995327,98.47920129995327,99.94435799994972,99.94435799994972,100.42975430004299,100.42975430004299,100.92835940001532,102.69630069995765,w,1,1753.3156999852508,None,3.683107545358327,1.226,3.0041660239464334,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,102.9067152000498,102.927117299987,102.92833857990335,105.26126219995786,105.26088496994926,104.9941665000515,104.9941665000515,108.40996900002938,108.40996900002938,108.87919919996057,108.87919919996057,109.37794649996795,110.02877089998219,p,1,643.8193999929354,None,1.5560897021811173,3.115,2.0018126176362534,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,110.24563170003239,110.26666239998303,110.26114507992752,118.5438892999664,118.54344926994527,118.31700020004064,118.31546379998326,123.39604200003669,123.39604200003669,123.89529599994421,123.89529599994421,124.39382490003482,125.51161689998116,w,1,1108.408399973996,None,7.515,4.850021488684095,1.5494776708791378,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,125.74042569997255,125.76226330001373,125.76043714984553,130.66003919998184,130.65957517001078,130.4127989000408,130.4127989000408,136.13974210002925,136.13974210002925,136.6277194999857,136.6277194999857,137.12640129995998,149.81035889999475,p,1,12678.101900033653,None,4.147154815303795,5.467,1.3182531743994035,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,150.05429340002593,150.0747838000534,150.075737419934,153.42566599999554,153.4251480699633,153.2115993000334,153.2115993000334,156.5944650999736,156.5944650999736,157.02687409997452,157.02687409997452,157.52543289994355,157.9431373999687,p,1,408.8880999479443,None,2.608,3.1047149115219113,1.190458171595825,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
,,,,,,,,,158.18710800004192,158.2099029000383,158.20859011989086,164.3414631000487,164.34116596995153,164.15172439999878,164.15172439999878,170.4081435999833,170.4081435999833,170.85982589994092,170.85982589994092,171.35839009995107,175.2088757000165,w,0,3838.90730002895,None,5.389338157943914,6.016,1.1162780704588713,,,,,CRO1215,001,2024-12-03_11h49.08.216,Time estimation,2023.2.3,59.95473415210273,2024-12-03 11h49.25.595457 +0100,
