thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07571409997763112,0.10675169999012724,0.10675169999012724,21.33824700000696,space,21.225350800028536,None,,,,,,,,,,,,,,,,,,,,,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,23.94643409998389,24.05179539998062,23.998353899631184,26.401275000011083,26.401595459959935,27.767547099967487,27.767547099967487,28.250748499995098,28.250748499995098,28.584241300006397,28.600767500000075,28.750780800008215,35.51849879999645,w,1,6753.572299960069,None,4.048,1.3493333333333333,3,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,36.457040500012226,36.54916489997413,36.498062439844944,38.98218679998536,38.9820876599988,46.36403589998372,46.36403589998372,46.847218699986115,46.847218699986115,39.48195799998939,39.515433399996255,47.3470987000037,47.96651739999652,p,1,617.247199988924,None,2.455,7.365,3,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,48.93520810001064,49.030089500010945,48.97882695985027,53.6624720999971,53.662481759965885,55.245547999977134,55.245547999977134,55.71209169999929,55.71209169999929,54.179379699984565,54.21235389995854,56.21197339997161,57.03082629997516,w,1,816.3031000294723,None,4.681,1.5603333333333333,3,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,57.0515110999695,57.061701599974185,57.061701599974185,63.69562610000139,space,6.6232156999758445,None,,,,,,,,,,,,,,,,,,,,,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,64.62018239998724,64.72733719996177,64.65908337984001,71.77585739997448,71.77544435998425,74.15866640000604,74.15866640000604,74.6248476000037,74.6248476000037,72.25881550001213,72.30882069998188,75.12495069997385,77.64428449998377,w,1,2512.457499979064,None,7.072,2.354064303912818,3.0041660239464334,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,78.5784796999651,78.67413559998386,78.62297813984333,83.13980840001022,83.1398576599895,92.1379538999754,92.1379538999754,92.62141409999458,92.62141409999458,83.64000229997328,83.67367940000258,93.12142829998629,95.10617619997356,p,1,1972.5146999699064,None,4.485934358133686,8.98,2.0018126176362534,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,96.0511004999862,96.15408579999348,96.10263709985884,100.18656920001376,100.18658246000996,102.83604389999527,102.83604389999527,103.31913859996712,103.31913859996712,100.70290859998204,100.73641159996623,103.8189979000017,106.93724810000276,w,1,3101.17330000503,None,4.074,2.6292731264003995,1.5494776708791378,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,107.84247490001144,107.93630709999707,107.88373461982701,110.36784969997825,110.36781845998485,112.23395859997254,112.23395859997254,112.70078329998069,112.70078329998069,110.8177229000139,110.86776019999525,113.20058659999631,121.63422919996083,w,1,8416.396499960683,None,2.4176763218485062,1.834,1.3182531743994035,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
,,,,,,,,,122.55785919999471,122.66557989997091,122.5975145798293,129.61384509998607,129.61400165996747,137.9456569000031,137.9456569000031,138.42898209998384,138.42898209998384,130.11411679995945,130.14731450000545,138.92888859997038,144.67988939996576,p,1,5741.331299999729,None,6.97546557966701,8.304,1.190458171595825,,,,,TFA1118,001,2024-11-21_15h29.29.641,Time estimation,2023.2.3,60.03431561052026,2024-11-21 15h29.50.054250 +0100,
