thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1.2861190000548959,1.3359004999510944,1.3359004999510944,5.119414399960078,space,3.770943899988197,None,,,,,,,,,,,,,,,,,,,,,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,6.550674899946898,6.675818199990317,6.5840214199386535,12.200935299973935,12.197578740038443,13.173367999959737,13.246690000058152,14.238602500059642,14.238602500059642,14.740704099996947,14.740704099996947,15.231279500061646,18.15016329998616,w,1,2904.0767999831587,None,6.072,2.024,3,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,18.9393485999899,18.992703399970196,18.96412475992693,23.85171660000924,23.843466539948714,24.174498999956995,24.182575299986638,25.425814399961382,25.420277300057933,25.926437300047837,25.926437300047837,26.410668800002895,31.16385370003991,w,1,4748.095600050874,None,4.686,1.562,3,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,31.901815599994734,31.94879990001209,31.926574239996263,33.60852370003704,33.60684373994591,33.892995700007305,33.90073959995061,37.93852019996848,37.93852019996848,38.41941960004624,38.41941960004624,38.906759200035594,40.37659060000442,p,1,1458.2420999649912,None,1.434,4.302,3,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,40.41919939999934,40.42954759998247,40.42954759998247,43.25626779999584,space,2.8182319999905303,None,,,,,,,,,,,,,,,,,,,,,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,44.03110430005472,44.07940110005438,44.07009385995334,45.50411630002782,45.503126339952,45.83246219996363,45.839302800013684,49.25836680002976,49.25836680002976,49.75588880002033,49.75588880002033,50.25257050001528,51.154874600004405,w,0,892.546399962157,None,1.2452707241145156,3.741,3.0041660239464334,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,51.91945749998558,51.973858000012115,51.9525684199296,55.00134790001903,54.99966324000852,55.312079500057735,55.31864279997535,63.53777890000492,63.53777890000492,64.03137840004638,64.03137840004638,64.51451010000892,65.41765600000508,p,1,886.5176000399515,None,2.8353958909402417,8.518,3.0041660239464334,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,66.15571249998175,66.21467460005078,66.19836167989996,74.61104930005968,74.6097523399745,74.88362970005255,74.89250690001063,78.7088509000605,78.7088509000605,79.19593339995481,79.19593339995481,79.6926946999738,81.5289295000257,w,1,1827.9386999784037,None,8.177,4.084797911632422,2.0018126176362534,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,82.28945230005775,82.34874889999628,82.32610051992815,84.30777600000147,84.30658374001504,84.6238364999881,84.63146459998097,87.8785831000423,87.8785831000423,88.38361330004409,88.38361330004409,88.87319429998752,89.37693729996681,w,0,498.45700000878423,None,1.776,3.555219208921986,2.0018126176362534,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,90.0125860000262,90.06260569998994,90.03989509993698,92.73775480000768,92.73664963998598,92.91371460002847,92.92193279997446,93.63630779995583,93.6307118999539,94.13122960005421,94.13122960005421,94.62133440002799,97.6393006000435,p,0,3002.6863999664783,None,2.3562651822829306,0.884,2.66545835099879,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,98.26371610001661,98.31248079997022,98.30378359998576,99.702583199949,99.70098844004096,99.88172199996188,99.88172199996188,102.88895990001038,102.88895990001038,103.3867801000597,103.3867801000597,103.86808489996474,104.92341799999122,p,1,1050.2151000546291,None,1.0552013353229122,3.17,3.0041660239464334,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,105.53873100003693,105.58702099998482,105.5680339599843,112.18167610000819,112.18053943997947,112.3230550000444,112.33092500001658,114.27856330003124,114.27856330003124,114.75344810006209,114.75344810006209,115.24808239995036,115.76865460001864,w,1,516.4993000216782,None,6.242,2.0777813044434126,3.0041660239464334,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,116.56778319994919,116.61548469995614,116.59786109998822,119.27927970001474,119.27781264003133,119.63228969997726,119.63916410005186,124.74798460002057,124.74798460002057,125.25160780001897,125.25160780001897,125.74368349998258,126.2808310999535,p,1,532.4660999467596,None,2.506051550103929,5.46,2.178726131860124,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
,,,,,,,,,126.98738559999038,127.04125859995838,127.02741189993685,131.45847940002568,131.45719514003721,131.72111020004377,131.72111020004377,133.37901579996105,133.37901579996105,133.8904325000476,133.8904325000476,134.3745802999474,135.4265869000228,w,1,1036.9722000323236,None,4.166,1.9121265124053055,2.178726131860124,,,,EBO1116,001,2025-03-18_11h28.27.451,Time estimation,2023.2.3,60.00142803089072,2025-03-18 11h28.51.002059 +0100,
