thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.008687399997143075,0.013839299994288012,0.013839299994288012,6.1222774000052596,space,6.100379099996644,None,,,,,,,,,,,,,,,,,,,,,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,6.658602399998927,6.683827300003031,6.670930639964354,8.78755860000092,8.787519479992625,8.843109399997047,8.843109399997047,13.763636799994856,13.763636799994856,14.238179000007221,14.238179000007221,14.753865799997584,17.140023400002974,p,1,2377.3100999969756,None,1.654,4.962,3,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,17.456574399999226,17.47920260000683,17.48833397997805,21.57198760000756,21.570937579999736,21.403821900006733,21.433813700001338,22.732752299998538,22.732752299998538,23.2054960999958,23.2054960999958,23.705114299998968,26.439999700000044,w,1,2727.6683999953093,None,3.423,1.141,3,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,26.6462479000038,26.66252510000777,26.67154371998913,29.788005700000213,29.787804080006026,29.504499600006966,29.53202830000373,36.82220999999845,36.82220999999845,37.32252800000424,37.32252800000424,37.82167439999466,38.70749919999798,p,1,875.1372000115225,None,2.342,7.026,3,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,38.72259459999623,38.726060200002394,38.726060200002394,40.63971630000742,space,1.9084136000019498,None,,,,,,,,,,,,,,,,,,,,,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,40.88065619999543,40.89755609999702,40.90454327999032,46.35516209999332,46.354349680004816,46.13278590000118,46.13278590000118,47.94337199999427,47.94337199999427,48.42267400000128,48.42267400000128,48.921978400001535,50.47379990000627,w,1,1548.8149000011617,None,4.713,1.568821417469049,3.0041660239464334,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,50.7498013000004,50.77189279999584,50.77214393997565,55.05480310000712,55.05456958000286,54.843416899995646,54.843416899995646,62.213860500007286,62.213860500007286,62.689496499995585,62.689496499995585,63.188471400004346,63.990600899996934,p,1,789.730700009386,None,3.5667674072466053,7.14,2.0018126176362534,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,64.31520230000024,64.33206879999489,64.33857407997857,70.60560920000717,70.60503257999517,70.43861300000572,70.46250280000095,79.29267300000356,79.29267300000356,79.77331230000709,79.77331230000709,80.27259199999389,81.72442650000448,p,1,1435.4280000115978,None,5.601887760715628,8.68,1.5494776708791378,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,81.97460879999562,81.99961020000046,82.00618805998965,85.5384647000028,85.53878697999608,85.30514979999862,85.32339459999639,89.24400530000275,89.24400530000275,89.74002399999881,89.74002399999881,90.23875800000678,92.19017230000463,w,0,1946.807300002547,None,2.804,3.6963819010159273,1.3182531743994035,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,92.47443980000389,92.49059770000167,92.48892943997635,96.42198539999663,96.42197367999324,96.23425949999364,96.23425949999364,101.43259719999332,101.43259719999332,101.90707990000374,101.90707990000374,102.40567629999714,104.65780640000594,p,1,2237.0987000031164,None,3.218503947314382,4.987,1.5494776708791378,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,104.91346480000357,104.93188530000043,104.93931175997568,111.30596490000607,111.30598137999914,111.10330909999902,111.10330909999902,120.06139729999995,120.06139729999995,120.55730929999845,120.55730929999845,121.05645400000503,122.50815189999412,p,1,1442.4813999939943,None,5.644482759817844,8.746,1.5494776708791378,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,122.73765490000369,122.75488209999457,122.75660499998048,126.02323320000141,126.0229018799946,125.78328649999457,125.78328649999457,129.46262380000553,129.46262380000553,129.95727579999948,129.95727579999948,130.45674110000255,133.4094955000037,p,1,2947.4164999992354,None,2.514,3.4277265657617,1.363455276754853,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,133.63143399999535,133.64814160000242,133.65733019998152,141.1899443000002,141.18963358000474,140.92259200000262,140.95311570000194,146.1639925000054,146.1639925000054,146.65761490000295,146.65761490000295,147.15708770000492,148.82676660000288,w,1,1658.8183000130812,None,6.77,4.9653260473003655,1.363455276754853,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,149.10366039999644,149.1245484999963,149.12440673998208,155.8900549999962,155.89024267999775,155.68168189999415,155.68168189999415,163.43416720000096,163.43416720000096,163.92623179999646,163.92623179999646,164.40740070000174,165.02685490000295,p,1,617.2790999989957,None,6.048525444757603,7.533,1.2454275126723697,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
,,,,,,,,,165.31050760000653,165.33430030000454,165.34124771998177,169.9733949000074,169.97373567999603,169.7744767999975,169.7744767999975,173.14451860000554,173.14451860000554,173.62521270000434,173.62521270000434,174.12359790000482,175.36017050000373,p,0,1229.9045999970986,None,3.933,3.1579517555066574,1.2454275126723697,,,,,IMA616 ,001,2025-01-14_09h43.39.244,Time estimation,2023.2.3,60.01421136517172,2025-01-14 09h44.05.638445 +0100,
