thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.00923312500162865,0.015236250001180451,0.015236250001180451,49.577122083001086,space,49.54650600000059,None,,,,,,,,,,,,,,,,,,,,,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,49.849057500001436,49.86506975000157,49.8659138330011,51.870074500000555,51.870074500000555,52.08797112499997,52.09341058366796,56.598364750001565,56.60932929200135,57.10399262500141,57.10399262500141,57.5979493750001,62.24433166700146,p,1,4638.371875000303,None,1.5066666666666666,4.52,3,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,62.417265125000995,62.42824208300044,62.426647666333274,65.15990079200128,65.13868591700157,65.45930100000078,65.46516104166791,72.09842449999996,72.12092500000108,72.60853145800138,72.60853145800138,73.10974583300049,75.82819212499999,p,1,2716.9248329992115,None,2.217,6.651,3,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,76.00579645800099,76.01767529200151,76.02655737500136,78.5097957500002,78.52025558300011,78.82074937500147,78.82645624966814,84.80974225000136,84.8201170830016,85.32268195800134,85.32268195800134,85.81664904200079,86.89350279200153,p,1,1066.979708000872,None,1.998,5.994,3,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,86.9040041670014,86.90941170800033,86.90941170800033,102.34989541700088,space,15.438973457999964,None,,,,,,,,,,,,,,,,,,,,,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,102.52517858300052,102.53402695800105,102.53214595833464,104.99661608300084,104.99238454199985,105.30836129199997,105.31494199966825,111.209585083001,111.21998258300118,111.72049658300057,111.72049658300057,112.21603275000052,113.26672670800144,p,1,1048.8892909997958,None,1.9659366203208575,5.906,3.0041660239464334,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,113.44247583300057,113.45429095800137,113.4487168753339,116.88025691700022,116.8757540000006,117.1927486250006,117.19809620866751,123.05290291700112,123.05290291700112,123.55499108300137,123.55499108300137,124.04946737499995,125.20084608300022,p,1,1148.8965419994202,None,2.928346014184818,5.862,2.0018126176362534,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,125.37767712500136,125.38885041700087,125.38313170833402,129.32597887500015,129.32597887500015,129.64150662500106,129.6457720416677,134.97597191700152,134.98634033300004,135.48704829200142,135.48704829200142,135.98296041700087,136.71737345800102,p,1,726.0313339993445,None,3.445031897085256,5.338,1.5494776708791378,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,136.88743633300146,136.89468887500152,136.90014829133446,142.99747220800054,143.0079263330008,143.3249463330012,143.33080504166745,150.71521875000144,150.7252644580003,151.22500816700085,151.22500816700085,151.7258345420014,152.36896912500015,p,1,633.9216249998572,None,5.613489232348288,7.4,1.3182531743994035,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
,,,,,,,,,152.54241787499996,152.5498400000015,152.55175316633444,160.0367823330016,160.0367823330016,160.35781508299988,160.3645899996666,168.67577904200152,168.6862169169999,169.1880667080004,169.1880667080004,169.68132200000036,170.7663325829999,w,0,1082.0534580016101,None,6.991425821238985,8.323,1.190458171595825,,,,,AGO0916,001,2025-02-11_14h14.31.272,Time estimation,2023.2.3,None,2025-02-11 14h14.48.887252 +0100,
