thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0034760000016831327,0.00904390000141575,0.00904390000141575,59.70761180000045,space,59.69409239999732,None,,,,,,,,,,,,,,,,,,,,,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,60.16500449999876,60.191438599998946,60.18924109000073,66.21201669999937,66.21201669999937,66.22151070000109,66.2286947099994,68.08011840000108,68.08011840000108,68.55557540000154,68.55557540000154,69.05474469999899,74.77459069999895,w,1,5703.259199999593,None,5.505,1.835,3,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,74.99227750000136,75.00918670000101,75.00542904000103,77.8114381000014,77.8114381000014,78.07324789999984,78.07341510999977,84.96076520000133,84.96076520000133,85.44066749999911,85.44066749999911,85.9396751000022,88.3591376000004,p,1,2408.8448000002245,None,2.291,6.872999999999999,3,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,88.58159190000151,88.59909719999996,88.60690785000043,96.26990490000026,96.26990490000026,96.50642209999933,96.50640870999923,98.88939039999968,98.88939039999968,99.39100980000148,99.39100980000148,99.89055200000075,102.12513540000145,w,1,2226.2542999997095,None,7.142999999999999,2.381,3,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,102.13929619999908,102.14307840000038,102.14307840000038,108.20945360000042,space,6.049457999997685,None,,,,,,,,,,,,,,,,,,,,,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,108.41569340000206,108.43283440000232,108.44060394000262,109.83941450000202,109.83941450000202,110.09633690000192,110.09630951000072,112.75030820000029,112.75030820000029,113.24768330000006,113.24768330000006,113.74696939999922,115.04940669999996,p,1,1290.8452000010584,None,0.882,2.6496744331207545,3.0041660239464334,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,115.2705586000011,115.2894066000008,115.28051194000072,118.70253489999959,118.69103130000076,118.952208900002,118.95270851000096,124.77038739999989,124.77038739999989,125.27061780000076,125.27061780000076,125.76982829999906,126.35571210000126,p,1,568.361300000106,None,2.901870009621223,5.809,2.0018126176362534,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,126.57445120000193,126.5909087,126.58683494000142,129.66136670000196,129.66136670000196,129.92003549999936,129.91966240999972,133.88939500000197,133.88939500000197,134.3876096999993,134.3876096999993,134.88666600000215,136.2395476999991,p,1,1336.9247000009636,None,2.558,3.963563882108834,1.5494776708791378,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,136.4493465000014,136.46727230000033,136.47062114000144,141.25076280000212,141.25076280000212,141.51506840000002,141.5146428100008,147.15946529999928,147.15946529999928,147.64907830000084,147.64907830000084,148.14808540000013,149.75256380000064,p,1,1600.2472000000125,None,4.26928613508867,5.628,1.3182531743994035,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,149.98231569999916,149.99957089999953,149.99861195000267,153.26926860000094,153.26926860000094,153.51314210000055,153.51232730999908,156.80884259999948,156.80884259999948,157.29748649999965,157.29748649999965,157.7974768000022,159.59923630000048,w,0,1791.6030999986106,None,2.753,3.2773313464033063,1.190458171595825,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,159.81728400000065,159.83516320000126,159.83062074000262,162.61143150000134,162.61143150000134,162.86363989999882,162.86382501000043,165.85014890000093,165.85014890000093,166.3309233,166.3309233,166.83045380000112,167.96592840000085,p,1,1123.3641999970132,None,2.255,2.9726609082706545,1.3182531743994035,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,168.18406719999984,168.20094800000152,168.19733304000036,172.50934509999934,172.50934509999934,172.76537780000217,172.76543021000106,175.65155589999995,175.65155589999995,176.14949890000207,176.14949890000207,176.64849049999975,196.08350319999954,p,0,19418.18509999939,None,3.792,2.8765339417655005,1.3182531743994035,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,196.30249670000194,196.3197865000002,196.31550384000073,199.5495888000005,199.5495888000005,199.80143400000088,199.80112800999922,201.55110830000194,201.55110830000194,202.05298129999937,202.05298129999937,202.5519862000001,205.3710968000014,w,1,2809.5732999972824,None,2.7069374910258537,1.747,1.5494776708791378,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,205.57985140000164,205.59703100000115,205.60218034000061,211.42132060000222,211.42132060000222,211.6777985000008,211.67727811000003,219.90181250000023,219.90181250000023,220.3954178999993,220.3954178999993,220.8942616000022,222.02955500000098,p,1,1119.3578000020352,None,5.300495873128738,8.213,1.5494776708791378,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,222.2428129,222.26023310000164,222.26124944000256,226.57982560000164,226.57982560000164,226.84088410000186,226.84059111000096,229.64959879999878,229.64959879999878,230.14185580000049,230.14185580000049,230.640476200002,232.2426486000004,p,0,1593.3180000029097,None,3.809494043253059,2.794,1.363455276754853,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,232.45769510000173,232.47484059999988,232.4743281400013,233.95042119999925,233.95042119999925,234.22168640000018,234.22169521000177,234.8608095999989,234.8608095999989,235.33915640000123,235.33915640000123,235.83840780000173,242.77443420000054,w,1,6929.512999999133,None,0.9637751112868238,0.622,1.549477670879138,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,242.9872194999989,243.00428789999933,243.00563193999986,244.5401536999998,244.5401536999998,244.80257999999958,244.8020941099996,246.38909319999948,246.38909319999948,246.8868743000021,246.8868743000021,247.38581410000188,253.50719820000086,w,0,6116.500899999664,None,1.02,1.5804672242967208,1.549477670879138,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,253.73888979999901,253.75771390000227,253.75281734999953,258.21233829999983,258.21233829999983,258.4550371000005,258.4547522099994,265.8010099000021,265.8010099000021,266.2899266000022,266.2899266000022,266.7885969000017,267.674249300002,p,1,868.9357000002929,None,3.9455216218882017,7.324,1.8562818055208035,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,267.88587050000206,267.9035255000017,267.9052294399997,270.67173550000007,270.67173550000007,270.92206480000095,270.9219410100006,275.08792639999956,275.08792639999956,275.5732801000013,275.5732801000013,276.07204990000173,276.8254425000014,p,1,749.6033000024909,None,2.237,4.152502398950038,1.8562818055208035,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,277.03416450000077,277.05091019999963,277.0563417400015,285.1099811999993,285.1099811999993,285.3724008999998,285.3718711100002,290.27078679999977,290.27078679999977,290.7398092000003,290.7398092000003,291.2386665000013,292.6244752999992,w,1,1377.3976000011317,None,7.544,4.868737473138098,1.549477670879138,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,292.8364098999991,292.8540549999998,292.85559884000105,296.4602279999999,296.4602279999999,296.71855180000057,296.71812160999906,301.5109650000013,301.5109650000013,301.98595000000205,301.98595000000205,302.5010621000001,303.23745110000164,p,1,732.3510000023816,None,3.0836197834906987,4.778,1.549477670879138,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
,,,,,,,,,303.44913129999986,303.46587100000033,303.4685937399998,307.6351519999989,307.65246630000183,307.9183383999989,307.91854801000153,312.93963520000034,312.93963520000034,313.4192471999995,313.4192471999995,313.9184253000021,314.1051116999988,p,1,183.00169999929494,None,3.670087376763815,5.004,1.363455276754853,,,,,GTR616,001,2025-03-18_11h55.22.176,Time estimation,2023.2.3,59.97015884862865,2025-03-18 11h55.40.631989 +0100,
