thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,1.3554640000220388,1.3765096999704838,1.3765096999704838,17.02226050000172,space,15.633324299938977,None,,,,,,,,,,,,,,,,,,,,,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,18.43625999998767,18.54754389997106,18.466180960508062,19.756745500024408,19.752153880009427,20.69484100001864,20.76812829996925,24.914014899986796,24.919654999976046,25.417645500041544,25.417645500041544,25.901562200044282,26.988268099958077,p,1,1072.1568999579176,None,1.716,5.148,3,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,27.5512524000369,27.59794939996209,27.583467380190267,36.851649299962446,36.846165780024606,36.96531840006355,36.97312470001634,39.821469599963166,39.821469599963166,40.3043953999877,40.3043953999877,40.79640140000265,41.884648100007325,w,1,1081.8794000661,None,8.853,2.951,3,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,42.65593680005986,42.70324000006076,42.69467872027308,44.561159900040366,44.55992008005269,44.89355839998461,44.89355839998461,49.601454099989496,49.601454099989496,50.10865900001954,50.10865900001954,50.576338900020346,52.06276100000832,p,1,1477.8228000504896,None,1.673,5.019,3,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,52.109769199974835,52.119407600024715,52.119407600024715,58.62505719996989,space,6.500760000082664,None,,,,,,,,,,,,,,,,,,,,,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,59.30367960000876,59.35000229999423,59.33613114026375,68.01988499995787,68.01915107998066,68.25380710000172,68.25380710000172,70.82032289996278,70.82032289996278,71.3279038000619,71.3279038000619,71.81895280000754,72.79054229997564,w,1,964.5162000088021,None,8.388,2.792122650059491,3.0041660239464334,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,73.6095336000435,73.6597955999896,73.65129986030516,77.6887882000301,77.68230448004324,78.0634313999908,78.0634313999908,85.47277260001283,85.4783647999866,85.97418779996224,85.97418779996224,86.46405049995519,87.85055299999658,p,1,1376.1138999834657,None,3.885978103777499,7.779,2.0018126176362534,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,88.66018660005648,88.7110014000209,88.69513328028843,96.49457199999597,96.49271998000332,96.84447899996303,96.85112510004546,101.43101279996336,101.43101279996336,101.91980270005297,101.91980270005297,102.4088770999806,106.07786530000158,w,1,3659.8316999152303,None,7.628,4.922949290177282,1.5494776708791378,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,106.86911329999566,106.9260329999961,106.90624580031727,110.38869269995485,110.38791588000022,110.73516689997632,110.74159560003318,112.91053780005313,112.91053780005313,113.42374580004252,113.42374580004252,113.90499870001804,114.99166910001077,w,1,1071.055999957025,None,3.307,2.50862282315889,1.3182531743994035,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,115.59805500006769,115.64463100000285,115.63674702025018,119.98557939997409,119.98473298007157,120.13624340004753,120.14382450003177,124.74111910001375,124.74111910001375,125.23530090006534,125.23530090006534,125.71795059996657,126.50571509997826,p,1,778.9669000776485,None,3.981660265850389,4.74,1.190458171595825,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,127.28469969995786,127.33291530003771,127.31616352028213,133.33135460002813,133.33020117999985,133.66614660003688,133.67337800003588,139.85046640003566,139.85046640003566,140.35596820001956,140.35596820001956,140.8461593000684,141.3325772000244,p,1,472.66580001451075,None,5.8247135476980265,6.502,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,142.09667170001194,142.14764280000236,142.12782874030526,143.0781039999565,143.07699798005632,143.3846368000377,143.39298840006813,143.8804056000663,143.8804056000663,144.36484559997916,144.36484559997916,144.86098190001212,149.01354399998672,w,0,4137.106399983168,None,0.735,0.7878248606571984,1.0718705587172768,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,149.63671260001138,149.68330420006532,149.67531130020507,157.2397806000663,157.23914037998765,157.42333999997936,157.42333999997936,165.31204200000502,165.31204200000502,165.81496029999107,165.81496029999107,166.30369380000047,167.07505220000166,p,1,761.2610999494791,None,7.224006467031204,8.064,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,167.81275320006534,167.8594260000391,167.85230966026427,175.5338009999832,175.53303307997993,175.82368470006622,175.82368470006622,183.8715791000286,183.8715791000286,184.35718000005,184.35718000005,184.8477495999541,189.96612800005823,p,1,5109.545100014657,None,7.450652503261225,8.317,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,190.71844510000665,190.7650567999808,190.74469566028563,196.92669540003408,196.92544427996035,197.22585990000516,197.2331688000122,202.45103570003994,202.45103570003994,202.9514103999827,202.9514103999827,203.44149690004997,205.14477480005007,w,1,1694.3867000518367,None,5.958,5.51163227531434,1.0809864850173088,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,205.88651209999807,205.93354790005833,205.92306596026754,212.2550172000192,212.25402438004966,212.54273960005958,212.54273960005958,218.86162199999671,218.86162199999671,219.36243269999977,219.36243269999977,219.85271650005598,222.03844460006803,p,1,2168.2315999642015,None,6.101833918760219,6.596,1.0809864850173088,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,222.81784899998456,222.86854639998637,222.85023092031477,225.850246099988,225.84904967998153,226.16602460003924,226.17330919997767,228.8322548000142,228.8322548000142,229.31349199998658,229.31349199998658,229.79916719999164,233.41724390001036,w,0,3599.764599930495,None,2.799,2.9576434107647733,1.056678603345757,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,234.12020110001322,234.1680994000053,234.14704532020258,234.79747650003992,234.79643987996968,235.02623840002343,235.0334885000484,235.20162289997097,235.20162289997097,235.69615990004968,235.69615990004968,236.1801540000597,240.44941740005743,w,0,4254.915300058201,None,0.363,0.39239809406128306,1.0809864850173088,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,241.07868290005717,241.12680790002923,241.11114950024057,246.59336299996357,246.59209437998942,246.77392010006588,246.77392010006588,251.20106440002564,251.20106440002564,251.70260640000924,251.70260640000924,252.19167500000913,253.14480250002816,w,1,936.2276999745518,None,5.132,4.597420782341783,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,253.84383909997996,253.89190120005514,253.8731289202813,257.6396993000526,257.63830178002826,257.8864711000351,257.8936249000253,261.5406294000568,261.5406294000568,262.04081110004336,262.04081110004336,262.53838609997183,267.0740666000638,p,1,4523.61130004283,None,3.4919614593858674,3.898,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,267.8344610000495,267.8813544999575,267.86869334024374,269.78509430005215,269.7835917800432,270.10508130001836,270.11158829997294,271.6407305999892,271.6407305999892,272.15088860003743,272.15088860003743,272.63481329998467,273.5568341000471,p,1,917.407099972479,None,1.708,1.8463249164095634,1.0809864850173088,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,274.2267242000671,274.2745334999636,274.2665474402252,279.68198430002667,279.6812432799954,279.89553520001937,279.90255680005066,285.22125359997153,285.22125359997153,285.70706419995986,285.70706419995986,286.1967457999708,290.50006820005365,w,0,4290.265000076033,None,5.109222063873967,5.523,1.0809864850173088,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,291.2390017999569,291.2870288999984,291.27712126027325,292.01153030002024,292.0101245800499,292.2856169999577,292.29300589999184,292.580957600032,292.580957600032,293.08292970003095,293.08292970003095,293.56119479995687,295.04801789997146,p,1,1469.3053000373766,None,0.497,0.554790201018059,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
,,,,,,,,,295.59837669995613,295.6462028999813,295.6263261002023,298.2092773000477,298.2081101800315,298.2888684000354,298.2977780000074,300.1514075000305,300.1514075000305,300.6291169000324,300.6291169000324,301.12548960000277,302.8958272000309,w,1,1761.6139999590814,None,2.1454864514219505,1.922,1.1162780704588713,,,,IGA216,001,2025-01-24_14h37.42.713,Time estimation,2023.2.3,60.03089190856979,2025-01-24 14h38.20.533554 +0100,
