thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06938139989506453,0.08544969989452511,0.08544969989452511,1.9708222999470308,space,1.8785436999751255,None,,,,,,,,,,,,,,,,,,,,,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,4.071721299900673,4.184607299976051,4.117899410857353,4.184607299976051,4.117899410857353,5.750963700003922,5.800867399899289,7.4838895999128,7.5338255999377,7.933833799907006,7.933833799907006,8.433708500000648,13.735016599996015,p,1,5298.80420002155,None,1.1136666666666668,3.341,3,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,14.58446779998485,14.682418399956077,14.632357260352,19.364907199982554,19.364810189965645,19.78130529995542,19.814730099984445,20.93104689999018,20.93104689999018,21.414274899987504,21.414274899987504,21.914161899941973,23.4159164999146,w,1,1484.545199899003,None,4.629,1.543,3,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,24.31343689991627,24.41395439999178,24.36379153038142,27.996377700008452,27.996430189965757,28.462953399983235,28.496299999998882,29.21271719993092,29.21271719993092,29.679232199909166,29.679232199909166,30.179374899948016,31.048345299903303,w,1,864.3027000362054,None,3.571,1.1903333333333335,3,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,31.071039799950086,31.095896299928427,31.095896299928427,32.58080599992536,space,1.472110699978657,None,,,,,,,,,,,,,,,,,,,,,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,33.44751649990212,33.54521819995716,33.49534475029213,41.31035269994754,41.310466389905194,41.74366149993148,41.76033419999294,43.9098850999726,43.9098850999726,44.37628719990607,44.37628719990607,44.876398899941705,45.86125640000682,w,1,967.3285000026226,None,7.714,2.5677675396469857,3.0041660239464334,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,46.76756509998813,46.87619379989337,46.809283430350476,47.27600839990191,47.27587688997155,47.74257259990554,47.79246379993856,48.109132799902,48.109132799902,48.59220849990379,48.59220849990379,49.09210739994887,51.37701949989423,w,0,2269.1780000459403,None,0.405,0.8107341101426827,2.0018126176362534,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,52.1020731999306,52.20830439997371,52.14158814025577,53.82444849994499,53.82462708993116,54.12452199996915,54.15783639997244,58.190411799936555,58.190411799936555,58.64010709989816,58.64010709989816,59.14020799996797,59.94277520000469,p,1,795.4321000725031,None,1.4380030815757037,4.32,3.0041660239464334,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,60.90393789997324,61.006618799990974,60.9399593003327,64.33913269999903,64.33914559000405,64.8724496999057,64.90569179994054,65.4889435999794,65.4889435999794,65.97203409997746,65.97203409997746,66.47215359995607,67.17479089996777,w,1,694.4821000797674,None,3.387,1.1274343604853954,3.0041660239464334,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
,,,,,,,,,67.90167449996807,68.0051255999133,67.95508093027166,71.05439780000597,71.05454118995695,71.35427679994609,71.3877516000066,77.3364939999301,77.3364939999301,77.8030732999323,77.8030732999323,78.30315299995709,79.7216220999835,p,1,1402.2161000175402,None,2.869,6.250765272306696,2.178726131860124,,,,,MCO215,001,2024-11-25_16h10.19.892,Time estimation,2023.2.3,59.99336475317558,2024-11-25 16h10.46.490208 +0100,
