thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07513380004093051,0.10330860014073551,0.10330860014073551,6.63671820005402,space,6.525554900057614,None,,,,,,,,,,,,,,,,,,,,,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,9.121465700212866,9.234369800193235,9.167238760041073,11.250704100122675,11.250678630080074,12.483593699987978,12.483593699987978,12.950358200119808,12.950358200119808,13.300102600129321,13.350245299981907,13.450121100060642,15.784797500120476,w,1,2320.4814998898655,None,3.609,1.203,3,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,16.65364220016636,16.74932140018791,16.69928375002928,17.83249290008098,17.83261913014576,20.94868400017731,20.94868400017731,21.415437899995595,21.415437899995595,18.24896310013719,18.282441599993035,21.915375800104812,22.4341190000996,p,1,501.1471000034362,None,1.0323333333333333,3.097,3,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,23.17868460016325,23.281852500047535,23.23170394008048,27.614063100190833,27.613874630071223,29.030208399984986,29.030208399984986,29.496961300028488,29.496961300028488,27.930420000106096,27.963784100022167,29.996675100177526,30.61514090001583,w,1,609.4547000247985,None,4.17,1.39,3,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,30.642547100083902,30.66319700004533,30.66319700004533,33.61463379999623,space,2.9462466000113636,None,,,,,,,,,,,,,,,,,,,,,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,34.56516770017333,34.67909700004384,34.61229110020213,38.37820730009116,38.378367230063304,39.6613506001886,39.6613506001886,40.12798270001076,40.12798270001076,38.89467960014008,38.945056800032035,40.62786050001159,41.679789500078186,w,1,1040.33110011369,None,3.758211695956988,1.251,3.0041660239464334,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,42.6790279999841,42.777427799999714,42.72727469005622,50.70913320011459,50.70910383015871,54.742139000212774,54.742139000212774,55.224720700178295,55.224720700178295,51.27571410010569,51.31066540000029,55.72487849998288,56.71003319998272,w,1,971.1251999251544,None,8.03,4.0113644650126385,2.0018126176362534,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,57.730714600067586,57.84102960000746,57.7911121500656,61.37549970019609,61.34717843006365,66.98927410016768,66.972699200036,67.43887140019797,67.43887140019797,61.9400746000465,61.97346670017578,67.93886590003967,68.2239199001342,p,1,269.52849980443716,None,3.6192841661397743,5.608,1.5494776708791378,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,69.23703530011699,69.33890600013547,69.2883684199769,74.27079790015705,74.27092392998748,80.93626170000061,80.93626170000061,81.40295790019445,81.40295790019445,74.85407180013135,74.88741480000317,81.90273540001363,82.13813680014573,p,1,220.2967000193894,None,5.036210136967605,6.639,1.3182531743994035,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
,,,,,,,,,83.1472073001787,83.25258920015767,83.18582319002599,85.05195660004392,85.05205893004313,87.33484430005774,87.33484430005774,87.80135760013945,87.80135760013945,85.61861520004459,85.65189460013062,88.30129860015586,89.18720630020835,p,1,878.9824000559747,None,1.9,2.2618705260320673,1.190458171595825,,,,,GDA816,001,2025-03-10_09h02.40.179,Time estimation,2023.2.3,60.017236941961855,2025-03-10 09h03.05.430070 +0100,
