thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,image_L.started,image_R.started,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06618920000255457,0.09872530000211555,0.09872530000211555,159.285067300003,space,159.1727060000012,None,,,,,,,,,,,,,,,,,,,,,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,161.70606140000018,161.81595460000244,161.75071024002682,164.7320587000031,164.73205383000095,166.2317271000029,166.2317271000029,166.71530180000263,166.71530180000263,166.71530180000263,166.74826770000072,167.19825800000035,170.01650940000036,w,1,2802.9696000012336,None,4.433,1.4776666666666667,3,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,170.9667386000001,171.06417610000062,171.01485910001065,172.39705660000254,172.397118830002,176.54635100000087,176.54635100000087,172.91365230000156,177.02966809999998,177.02966809999998,172.9471564000014,177.52969860000303,180.33137970000098,p,1,2799.5028000004822,None,1.376,4.128,3,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,181.256737300002,181.36218780000127,181.29586604001088,184.84468860000197,184.84467793000294,186.02795020000121,186.02795020000121,185.31126980000045,186.51090780000231,186.51090780000231,185.36133280000286,187.01088309999977,188.8292947000009,w,1,1806.2076999995043,None,3.4979999999999998,1.166,3,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,188.85212429999956,188.86058100000082,188.86058100000082,192.31172210000295,space,3.4356508999990183,None,,,,,,,,,,,,,,,,,,,,,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,193.24983390000125,193.35970330000055,193.2935825700115,194.50931870000204,194.50932192999971,198.1085114000016,198.1085114000016,195.00936569999976,198.5917823000018,198.5917823000018,195.05928400000266,199.09184970000206,200.26088810000147,p,1,1151.7099000011513,None,1.1923442218065208,3.582,3.0041660239464334,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,201.292832500003,201.39138470000034,201.3420184500137,202.4076492000022,202.40778463000242,204.70733200000177,204.70733200000177,203.02442599999995,205.19056640000053,205.19056640000053,203.04124610000144,205.6903521000022,206.62612730000183,p,1,933.633299999201,None,1.139,2.2800645714876926,2.0018126176362534,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,207.38271050000185,207.49010930000077,207.42384334000963,209.88965110000208,209.88976883000214,211.37255670000013,211.37255670000013,210.22288250000202,211.8391343000003,211.8391343000003,210.25614610000048,212.33907270000054,213.6079976000001,w,1,1263.7128999995184,None,2.2513910557873875,1.453,1.5494776708791378,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,214.34911199999988,214.43933749999997,214.3890979100106,218.88774639999974,218.88792733000082,224.55327340000076,224.55327340000076,219.20441570000185,225.0199579,225.0199579,219.2211059000001,225.51976060000015,226.3546993000018,p,1,828.118400000676,None,4.2745961924706215,5.635,1.3182531743994035,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,227.30722109999988,227.40271639999992,227.3532275000107,231.70182170000044,231.7019072300027,236.88414110000303,236.88414110000303,232.2352960999997,237.36727800000153,237.36727800000153,232.2517853999998,237.86726550000094,238.98577660000228,p,1,1116.8610000022454,None,4.339505682148335,5.166,1.190458171595825,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,239.9083649000022,240.00236070000028,239.95069844001046,246.9488326000028,246.94883283000308,253.19820700000128,253.19820700000128,247.43195070000002,253.68068620000122,253.68068620000122,247.46538320000036,254.18071840000266,254.9997168000009,w,1,811.9970000007015,None,6.952,6.2278389085814645,1.1162780704588713,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,255.94132150000223,256.03082610000274,255.98119307001252,262.9788659000005,262.97893083000235,269.51084860000265,269.51084860000265,263.49554400000125,269.97746440000265,269.97746440000265,263.512068,270.4773754000016,273.09544350000215,w,1,2601.18539999894,None,6.967,6.499852004833038,1.0718705587172768,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,274.0208259000028,274.1269289000011,274.06057414001043,282.40827960000024,282.40832263000266,291.1066236000006,291.1066236000006,282.89155590000155,291.57313369999974,291.57313369999974,282.94150609999997,292.0730517000011,294.5581144000025,p,1,2473.831200000859,None,8.303304242374137,8.675,1.0447648004669026,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,295.4679337000016,295.572436800001,295.50653111001157,303.53745320000235,303.53742543000044,311.3191246999995,311.3191246999995,304.00390230000266,311.78585960000055,311.78585960000055,304.05391260000033,312.28566350000256,313.3206812999997,p,0,1018.9819000006537,None,7.967,7.749879227160398,1.0280160201824404,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,314.2500559,314.3521118999997,314.3024563700128,322.0003663999996,322.0003451299999,330.0319794999996,330.0319794999996,322.50021000000197,330.51527820000047,330.51527820000047,322.53375589999996,331.0153410000021,331.9835853000004,p,1,954.4068999966839,None,7.669668806241378,8.013,1.0447648004669026,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
,,,,,,,,,332.9492035000003,333.0481946,332.9987437300115,334.9311340000022,334.93107043000055,336.9807639999999,336.9807639999999,335.46420880000005,337.4472747,337.4472747,335.49778490000244,337.94715220000217,339.7489674000026,p,1,1791.6663000032713,None,1.934,2.0205751241029897,1.0447648004669026,,,,,CPR517,001,2025-02-21_14h20.28.357,Time estimation,2023.2.3,60.00085201116462,2025-02-21 14h21.56.430005 +0100,
