thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,key_resp.started,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.2593498999485746,0.5313039999455214,0.5313039999455214,1.3983940000180155,space,0.8499779999256134,None,,,,,,,,,,,,,,,,,,,,,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,3.865967100020498,4.393722899956629,3.9491270613390954,6.187331699999049,6.178234189935028,7.453062599990517,7.453062599990517,7.938687699963339,7.938687699963339,8.237279499997385,8.429331099963747,8.678290999960154,14.31566920003388,w,1,5875.185100012459,None,3.772,1.2573333333333332,3,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,15.12724049994722,15.179755399934947,15.161094790394419,22.656972700031474,22.655835290043616,25.12343419995159,25.12343419995159,25.619892499991693,25.619892499991693,23.014132399926893,26.10557150002569,23.021332600037567,26.375775299966335,w,1,261.594400042668,None,7.332,2.444,3,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,27.384732399950735,27.431466599926353,27.42403707057238,29.046810299973004,29.03702808993403,34.01834670000244,34.01270820002537,34.499198899953626,34.499198899953626,29.602612599963322,34.98644609993789,29.602612599963322,35.523108599940315,p,1,521.267700009048,None,1.652,4.9559999999999995,3,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,35.6138912999304,35.630496299942024,35.630496299942024,43.8173704999499,space,8.1727777000051,None,,,,,,,,,,,,,,,,,,,,,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,44.67339569993783,44.72103649994824,44.69847787041217,50.88084170001093,50.8796922899317,52.92149320000317,52.92149320000317,53.4284305999754,53.4284305999754,51.27510149998125,53.91315559996292,51.28268589999061,54.317533800029196,p,0,397.42380008101463,None,6.0624070363239015,2.018,3.0041660239464334,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,55.02103689999785,55.0710826999275,55.047706060390915,56.928769499994814,56.927391090034504,61.75106279994361,61.75106279994361,62.257333699963056,62.257333699963056,57.17596559994854,62.743678199942224,57.18282190000173,63.33096649998333,w,0,581.575799966231,None,1.601,4.80966980433824,3.0041660239464334,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,63.98860419995617,64.03726829995867,64.02785668035503,70.90738859993871,70.90606898996047,73.11005599994678,73.11005599994678,73.60985629993957,73.60985629993957,71.11583130003419,74.10641559993383,71.12332949996926,75.02757379994728,w,1,916.8205000460148,None,6.573115260394797,2.188,3.0041660239464334,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,75.8539124999661,75.901592399925,75.89071518045384,78.73857499996666,78.7369524900103,84.18055849999655,84.18055849999655,84.69090909999795,84.69090909999795,79.11416310002096,85.16906330001075,79.12078639992978,85.52235350001138,w,0,339.0223999740556,None,2.708045674325469,5.421,2.0018126176362534,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
,,,,,,,,,86.2302614999935,86.28534239996225,86.27012105041649,93.71618430002127,93.71549198993016,96.42152640002314,96.42152640002314,96.91042999993078,96.91042999993078,93.96536899998318,97.39842079998925,93.97273119993042,98.46816569997463,p,0,1053.4708999330178,None,7.177,2.692595064301291,2.66545835099879,,,,ACO716,001,2025-03-18_12h12.59.216,Time estimation,2023.2.3,60.05666947134847,2025-03-18 12h13.25.925079 +0100,
