thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item2.started,sound_2.started,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0022812999959569424,0.004867399999056943,0.004867399999056943,0.6344111999933375,space,0.6168073000008008,None,,,,,,,,,,,,,,,,,,,,,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,1.1194779999932507,1.1567954000056488,1.1341779000067618,2.8122707000002265,2.8122707000002265,2.7671703300016817,2.814354699992691,6.150357799997437,6.200145499999053,6.63496949999535,6.63496949999535,7.1336625999974785,8.46817039999587,p,1,1331.5823000011733,None,1.1243333333333334,3.373,3,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,8.684142600002815,8.704221399995731,8.700722120009596,16.234644299998763,16.500318299993523,16.499316429997272,16.234644299998763,18.856411300002947,18.856411300002947,19.350938100003987,19.350938100003987,19.849770000000717,32.58332320000045,w,1,12728.693099998054,None,7.029,2.343,3,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,32.82256000000052,32.84364789999381,32.84944998000865,36.86729369999375,37.099260599992704,37.09848313000257,36.86729369999375,38.29510550000123,38.29510550000123,38.76692019999609,38.76692019999609,39.265549000003375,41.333352500005276,w,1,2065.784899998107,None,3.507,1.169,3,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,41.34039080000366,41.348046500002965,41.348046500002965,43.798850000006496,space,2.4416907999984687,None,,,,,,,,,,,,,,,,,,,,,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,44.014047399992705,44.03496400000586,44.03176712000859,49.725645200000145,49.98135839999304,49.98132772999961,49.725645200000145,51.72683549999783,51.72683549999783,52.19920820000698,52.19920820000698,52.69807739999669,55.44934710000234,w,1,2744.789899996249,None,5.172,1.7216092448864673,3.0041660239464334,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,55.68335140000272,55.70483940000122,55.698226850006904,60.32566240000597,60.56402320000052,60.56396183000616,60.330641099993954,68.81589240000176,68.81589240000176,69.31506300000183,69.31506300000183,69.81378840000252,70.63128970000253,p,1,807.4952000024496,None,4.1147707469874355,8.237,2.0018126176362534,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,70.8570572000026,70.87739429999783,70.88078025000141,73.06522420000692,73.31339959999605,73.31323612999549,73.06522420000692,74.39655400000629,74.39655400000629,74.90004989999579,74.90004989999579,75.39723400000366,77.1980179999955,w,1,1791.9681999919703,None,1.6765348398912272,1.082,1.5494776708791378,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,77.416865399995,77.43829089999781,77.43057332000753,80.46590520000609,80.7298826000042,80.72940173000242,80.46590520000609,82.64594319999742,82.64594319999742,83.1311163000064,83.1311163000064,83.62976179999532,84.89710699999705,w,1,1255.9516000037547,None,2.51918181627726,1.911,1.3182531743994035,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,85.11387349999859,85.13459180000063,85.12983902000123,86.37950850000198,86.64599380000436,86.64594343000644,86.37950850000198,87.27907560000313,87.27907560000313,87.7646562000009,87.7646562000009,88.26297470000281,90.21357229999558,w,1,1949.4269999995595,None,0.7368936082178156,0.619,1.190458171595825,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,90.43171469999652,90.45261920000485,90.44631521999544,94.0955338000058,94.36218260000169,94.36226823000615,94.0955338000058,97.86549830000149,97.86549830000149,98.36363269999856,98.36363269999856,98.86231149999367,99.87977580000006,p,1,1003.4262000117451,None,3.1345236394025524,3.499,1.1162780704588713,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,100.09291150000354,100.11478089999582,100.1125709200045,107.35699980000209,107.61199069999566,107.6117638300071,107.35699980000209,114.83500979999371,114.83500979999371,115.31272079999326,115.31272079999326,115.81145799999649,116.97886920000019,p,1,1156.9466999935685,None,6.720027844238894,7.203,1.0718705587172768,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,117.20675169999595,117.23102819999622,117.22819684999558,120.13559710000118,120.37782999999763,120.37744832999451,120.13559710000118,122.87718199999654,122.87718199999654,123.3789742999943,123.3789742999943,123.8774376999936,126.2660606999998,w,0,2377.863600006094,None,2.393,2.5001221675172975,1.0447648004669026,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,126.48519609999494,126.50712680000288,126.51311105000059,133.4666525999928,133.71029020000424,133.71022662999312,133.4666525999928,139.72631860000547,139.72631860000547,140.2282445000019,140.2282445000019,140.72690009999496,142.2443787999946,p,0,1503.2669000065653,None,6.445,6.012852902418391,1.0718705587172768,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,142.46531980000145,142.48697369999718,142.47711202000792,144.4651864000043,144.72643660000176,144.72677423000422,144.4651864000043,146.37585650000256,146.37585650000256,146.8776945999998,146.8776945999998,147.37655640000594,148.72737130000314,w,0,1341.4680999994744,None,1.474,1.6453938758563762,1.1162780704588713,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,148.93503009999404,148.95557120000012,148.95992441999843,155.97549729999446,156.2425865999976,156.24247353000246,155.97549729999446,161.7086496999982,161.7086496999982,162.21025410000584,162.21025410000584,162.70890650000365,163.87692389999575,w,1,1165.6254999979865,None,6.508,5.466802744758297,1.190458171595825,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,164.10060099999828,164.126394299994,164.12595925000642,168.62580559999333,168.8754717999982,168.87507492999575,168.62580559999333,173.64458189999277,173.64458189999277,174.1430623000051,174.1430623000051,174.64190050000616,175.29239919999964,p,1,644.2073000071105,None,3.9984605201366774,4.76,1.190458171595825,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,175.5191863999935,175.5443024999986,175.54190124999877,179.04486789999646,179.2912845999963,179.29105812999623,179.04486789999646,182.68638820000342,182.68638820000342,183.17593359999591,183.17593359999591,183.67465299999458,185.19201909999538,p,1,1510.765300001367,None,2.98843396823918,3.381,1.1313617887940566,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,185.40763079999306,185.42834749999747,185.424833219999,189.7417104000051,189.95749739999883,189.957253629998,189.7417104000051,193.29508349999378,193.29508349999378,193.7752935000026,193.7752935000026,194.2740466999967,197.84195889999683,w,1,3558.5685999976704,None,3.754,3.3181251454510154,1.1313617887940566,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,198.0581705999939,198.0793738999928,198.07438972000674,203.86515680000593,204.12374710000586,204.12303653000126,203.86515680000593,208.97484579999582,208.97484579999582,209.45839960000012,209.45839960000012,209.9564507000032,212.62391619999835,p,0,2658.720399995218,None,5.276,4.834569704777618,1.091307049474569,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,212.8575961000024,212.88248719999683,212.87332535000314,217.10637360000692,217.35605309999664,217.35584053000056,217.12239380000392,220.66539910000574,220.66539910000574,221.1572526999953,221.1572526999953,221.65586420000182,222.77348220000567,w,1,1107.7310999971814,None,3.731,3.2977956626738782,1.1313617887940566,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,222.97922330000438,223.00090590000036,223.00628452000674,230.22599390000687,230.48876039999595,230.48853632999962,230.22599390000687,238.08799379999982,238.08799379999982,238.58971759999986,238.58971759999986,239.08859790000133,239.5892976000032,p,1,492.91760000051,None,6.715800440899525,7.598,1.1313617887940566,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,239.81698909999977,239.8389967999974,239.83875855000952,240.6953596999956,240.93802079999296,240.938015430003,240.6953596999956,241.32675649999874,241.32675649999874,241.82289340000716,241.82289340000716,242.32155999999668,243.40605669999786,w,0,1069.717500009574,None,0.348,0.37977485321714993,1.091307049474569,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,243.61413070000708,243.63597709999885,243.63848152000574,251.22543180000503,251.4874545000057,251.48730852999287,251.204101299998,257.7370557999966,257.7370557999966,258.2220094999939,258.2220094999939,258.7206756999949,259.72420100000454,p,0,984.5322999899508,None,7.068,6.247338446469839,1.1313617887940566,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,259.9658288000064,259.9931995999941,259.98850277999884,265.4867507000017,265.7201423999941,265.7200192299948,265.4867507000017,269.92605029999686,269.92605029999686,270.404778600001,270.404778600001,270.90383389999624,271.58796509999956,w,1,676.9544999988284,None,4.987,4.189143406286052,1.190458171595825,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
,,,,,,,,,271.8033441000007,271.8283539999975,271.8205068199954,273.62550359999295,273.8863934999972,273.88622982999516,273.63622650000616,274.98615789999894,274.98615789999894,275.4711406999995,275.4711406999995,275.9698212999938,276.9873000999942,w,1,1001.6897000023164,None,1.292837574353066,1.086,1.190458171595825,,,,,RSH0515,001,2025-04-03_10h27.52.416,Time estimation,2023.2.3,59.93913780355433,2025-04-03 10h28.07.168046 +0200,
