thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.004969900008291006,0.02014110004529357,0.02014110004529357,32.79702850012109,space,32.77154149999842,None,,,,,,,,,,,,,,,,,,,,,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,33.829608800122514,33.90838130004704,33.85855409963988,37.948580200085416,37.944946850114505,38.52762660011649,38.56165720010176,39.33498809998855,39.344042900018394,39.831060600001365,39.831060600001365,40.32878229999915,44.13004770013504,w,1,3784.961299970746,None,4.144,1.3813333333333333,3,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,44.52176000014879,44.570890200091526,44.54416674992535,53.094422900117934,53.09210095012095,53.016654200153425,53.025585000170395,55.7440447001718,55.75873270002194,56.24649560009129,56.24649560009129,56.743444100022316,57.87993330019526,w,1,1132.88539997302,None,7.952999999999999,2.651,3,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,58.245831600157544,58.28585400013253,58.27554429993034,60.12536650011316,60.12462605016772,60.035465999972075,60.04126700013876,63.86664840020239,63.86664840020239,64.36670950008556,64.36670950008556,64.85923409997486,65.67713710013777,p,1,804.8143999185413,None,1.2443333333333333,3.733,3,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,65.70121500012465,65.7048929000739,65.7048929000739,75.8076176000759,space,10.094925800105557,None,,,,,,,,,,,,,,,,,,,,,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,76.15214370004833,76.19123640004545,76.17170429984108,84.22228450002149,84.22140125015285,84.09659150009975,84.10480820015073,86.69409310002811,86.69409310002811,87.19237240008079,87.19237240008079,87.68954130006023,88.62552920007147,w,1,928.3599001355469,None,7.404,2.4645775037005806,3.0041660239464334,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,89.00602239998989,89.04477789998055,89.03815954981837,92.35462940018624,92.35397285006475,92.2650121001061,92.27078030002303,97.78643220011145,97.78643220011145,98.31664650002494,98.31664650002494,98.77202460006811,99.3898367001675,p,1,604.9472999293357,None,2.713540694140555,5.432,2.0018126176362534,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,99.76952220010571,99.80488000018522,99.78719529993832,104.51979749999009,104.51903094996233,104.42504590004683,104.43553510005586,110.92387540009804,110.92387540009804,111.42270680004731,111.42270680004731,111.91959940013476,113.18742890004069,p,1,1258.6797999683768,None,4.127197261494981,6.395,1.5494776708791378,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,113.5706238001585,113.61349860019982,113.6015854497673,120.96743259998038,120.96672675006558,120.89176820009016,120.89176820009016,126.11611649999395,126.11611649999395,126.60409100004472,126.60409100004472,127.10068500018679,128.95214559999295,w,1,1840.5909000430256,None,6.769,5.134825488346697,1.3182531743994035,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
,,,,,,,,,129.4012308001984,129.44380930019543,129.43284224981906,132.63269100012258,132.6399597501615,132.6233406001702,132.6233406001702,135.83507789997384,135.81524140015244,136.3282014001161,136.3282014001161,136.81665450008586,138.18412330001593,p,1,1359.7687999717891,None,2.6720804442341954,3.181,1.190458171595825,,,,,CB115,001,2024-04-29_08h48.08.831,Time estimation,2023.2.3,60.132254950549836,2024-04-29 08h48.30.752031 +0200,
