thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.03966962799313478,0.07181936599954497,0.07181936599954497,1.9844149159980589,space,1.8640033730043797,None,,,,,,,,,,,,,,,,,,,,,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,3.030672835993755,3.0835391199943842,3.050553060963284,6.332829977000074,6.333494003993837,6.899752621997322,6.933850137000263,7.449650142996688,7.449650142996688,7.949496465000266,7.949496465000266,8.449628956994275,9.404703435997362,w,1,951.5156159977778,None,3.342,1.114,3,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,10.216272038996976,10.250301279993437,10.23299008297181,16.085073185997317,16.068406272993162,16.41855514899362,16.41855514899362,17.97061434299394,17.95675387999654,18.467900427996938,18.467900427996938,18.951340016996255,19.504629307994037,w,1,545.8309509995161,None,5.655,1.885,3,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,20.243995151999115,20.28268826400017,20.26687935697264,25.40174697299517,25.38590218299287,25.652438752993476,25.66940290999628,27.03451464799582,27.020321869000327,27.534019838996755,27.534019838996755,28.0187807159964,28.421761802994297,w,1,395.6230219991994,None,4.874,1.6246666666666665,3,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,28.45101464599429,28.469536741999036,28.469536741999036,30.606244801994762,space,2.1239486949998536,None,,,,,,,,,,,,,,,,,,,,,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,31.579718828994373,31.618925907998346,31.618507619962475,32.80232988399803,32.787939930997524,33.32055250699341,33.32055250699341,36.36922769199737,36.35286161499971,36.85556622599688,36.85556622599688,37.35381045599934,38.19688292599312,p,1,836.5306810010225,None,1.1816923471281822,3.55,3.0041660239464334,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,39.16742530999909,39.202286271996854,39.187965216966404,42.15221370699874,42.13931578099509,42.63484978599445,42.651046094993944,48.051254305995826,48.03538688399567,48.51868128499336,48.51868128499336,49.004281225999875,49.8913170819942,p,1,877.9479430013453,None,2.932,5.869314594909495,2.0018126176362534,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,50.80890130599437,50.84891908499412,50.83595407996981,51.233400720993814,51.23309649599905,51.70131028099422,51.70131028099422,51.76863199999934,51.76863199999934,52.269845224000164,52.269845224000164,52.77013825699396,54.44425540599332,p,1,1639.0987760023563,None,0.34,0.5268224080989069,1.5494776708791378,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,55.42919887699827,55.46575715099607,55.45337891596937,56.08460054999887,56.067759635997206,56.601983995999035,56.61816624999483,56.601983995999035,56.56992090399581,57.068788757998846,57.068788757998846,57.56853767299617,61.549963991994446,p,0,3966.1795400024857,None,0.6222154983165185,0.472,1.3182531743994035,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
,,,,,,,,,62.49839631799841,62.53523797599337,62.526766752968975,67.5519819169931,67.53568578599588,68.03515192199848,68.03515192199848,75.2868093750003,75.26999809900008,75.7682724329934,75.7682724329934,76.25226198899327,76.58727317299781,p,1,308.34553400200093,None,4.975870349667914,7.71,1.5494776708791378,,,,ADR816,001,2025-05-06_10h44.45.129,Time estimation,2023.2.3,60.21661167772393,2025-05-06 10h45.09.502054 +0200,
