thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0025809999788179994,0.005859399912878871,0.005859399912878871,50.067487499909475,space,50.06033989996649,None,,,,,,,,,,,,,,,,,,,,,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,50.75586169993039,50.81837779993657,50.782919119950385,52.417813399923034,52.41622633992229,52.63911589991767,52.64968179992866,56.437739499961026,56.437739499961026,56.936328399926424,56.936328399926424,57.41721829993185,58.06781849998515,p,1,633.7203000439331,None,1.3376666666666666,4.013,3,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,58.340297899907455,58.373201499925926,58.36714271993842,60.29954939999152,60.29883033996448,60.10733289993368,60.10733289993368,63.98772959993221,63.98772959993221,64.48627979995217,64.48627979995217,64.98368710000068,65.33524779998697,p,1,337.96770009212196,None,1.2253333333333334,3.676,3,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,65.60076699999627,65.63340039993636,65.6177964799339,70.88275729992893,70.88206503998954,70.66815609997138,70.68215929996222,72.39871099998709,72.39871099998709,72.9028034999501,72.9028034999501,73.40017149993218,74.28454779996537,w,1,882.0320999948308,None,4.544,1.5146666666666666,3,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,74.29274949990213,74.29868689994328,74.29868689994328,77.84947579994332,space,3.535647699958645,None,,,,,,,,,,,,,,,,,,,,,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,78.15279739990365,78.18491409998387,78.16547325993888,84.04990919993725,84.04855303994846,83.86877549998462,83.88178369996604,85.7875755999703,85.7875755999703,86.28579049999826,86.28579049999826,86.78326049994212,87.20103849994484,w,1,410.69699998479337,None,5.2,1.7309296352300136,3.0041660239464334,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,87.4546211999841,87.48699309991207,87.46686483994127,92.5822746999329,92.58181294000242,92.3387588999467,92.34835759992711,94.77768659999128,94.77768659999128,95.25243569992017,95.25243569992017,95.7499758999329,96.90069839998614,w,1,1140.6799999531358,None,4.366,2.181023319333148,2.0018126176362534,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,97.16723319992889,97.20182249997742,97.18330317989458,100.04876769997645,100.04824283991475,99.83811119990423,99.84814889996778,103.36788549995981,103.36788549995981,103.86911699990742,103.86911699990742,104.36613439989742,104.55058299994562,p,1,175.53540004882962,None,2.1400760154991962,3.316,1.5494776708791378,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,104.80048199999146,104.83324479998555,104.8164891399676,113.74852799996734,113.74795133997686,113.52810899994802,113.53130309993867,119.96726819989271,119.96726819989271,120.46854759997223,120.46854759997223,120.9492999999784,121.56705969991162,p,0,602.2578000556678,None,8.188,6.21124997763078,1.3182531743994035,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,121.8740678000031,121.9062690999126,121.89970469998661,125.8484988999553,125.84761873998214,125.68848429992795,125.69773109990638,127.97742459992878,127.97742459992878,128.46857009991072,128.46857009991072,128.96582729998045,129.63348949991632,w,1,654.0649000089616,None,3.277,2.1149062433024324,1.5494776708791378,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,129.89605300000403,129.9283829999622,129.9160811799578,135.08140829997137,135.0809671399649,134.8679180999752,134.88072109990753,137.95751310000196,137.95751310000196,138.45196529990062,138.45196529990062,138.94890319998376,141.73316419997718,w,1,2767.598500009626,None,4.438,2.864191000236861,1.5494776708791378,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
,,,,,,,,,142.04233629989903,142.07473189989105,142.06585239991546,149.34784780000336,149.34734333998057,149.18825739994645,149.19719869992696,154.21751969994511,154.21751969994511,154.71806729992386,154.71806729992386,155.21546509990003,157.58376229996793,p,0,2350.9285000618547,None,6.615,4.851644284031303,1.363455276754853,,,,VBI113,001,2024-04-30_12h49.03.014,Time estimation,2023.2.3,60.0137071372718,2024-04-30 12h49.17.462592 +0200,
