thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.08285340014845133,0.11573740001767874,0.11573740001767874,2.0505814999341965,space,1.923836600035429,None,,,,,,,,,,,,,,,,,,,,,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,4.273527499753982,4.398293999955058,4.315355979837477,4.398293999955058,4.315355979837477,5.964638699777424,6.031098499894142,7.731244599912316,7.797610700130463,8.080899599939585,8.080899599939585,8.580844900105149,11.848601500038058,p,1,3251.72290019691,None,1.1296666666666666,3.389,3,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,12.682548199780285,12.779973200056702,12.713507859967649,17.262331599835306,17.262151579838246,17.64544459991157,17.69560159975663,18.761876000091434,18.761876000091434,19.24534779973328,19.24534779973328,19.74519139993936,21.296536299865693,w,1,1534.4467996619642,None,4.414,1.4713333333333332,3,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,22.157205400057137,22.26144320005551,22.195003820117563,23.694253799971193,23.694291879888624,24.094372800085694,24.14447160018608,27.87677920004353,27.87677920004353,28.326900700107217,28.326900700107217,28.826443700119853,29.478702399879694,p,1,645.4594996757805,None,1.3826666666666665,4.148,3,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,29.504471799824387,29.526608900167048,29.526608900167048,32.11114879976958,space,2.5714756003580987,None,,,,,,,,,,,,,,,,,,,,,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,32.98845080006868,33.09258039994165,33.02616250002757,41.407555600162596,41.40760587994009,41.840779199730605,41.89074190007523,44.206826199777424,44.206826199777424,44.67360469978303,44.67360469978303,45.17326339986175,46.14182709995657,w,1,952.143999747932,None,8.29,2.759501283857079,3.0041660239464334,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,47.04317960003391,47.13961319997907,47.089980859775096,49.78926920006052,49.789308779872954,50.25570120010525,50.28895930014551,55.104842599947006,55.104842599947006,55.571295000147074,55.571295000147074,56.071280899923295,56.806267300155014,p,1,725.9782999753952,None,2.641,5.286787123177345,2.0018126176362534,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,57.674567400012165,57.770856000017375,57.721207099966705,59.73727380018681,59.737259480170906,60.170321700163186,60.20382949989289,62.73670220002532,62.73670220002532,63.20305040013045,63.20305040013045,63.70308090001345,63.98779200017452,p,1,267.9456998594105,None,1.919,2.9734476504170653,1.5494776708791378,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,64.68231779988855,64.78629879979417,64.7194874198176,72.86789770005271,72.86795827979222,73.11782700009644,73.16790500003844,78.86674960004166,78.86674960004166,79.34977529989555,79.34977529989555,79.84985879994929,80.75119420001283,w,1,887.612400110811,None,7.874,5.9730559750689745,1.3182531743994035,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,81.62899459991604,81.73339439975098,81.66647539986297,82.78242139983922,82.7825227798894,83.21584199974313,83.26587119977921,83.66579130012542,83.66579130012542,84.13207749975845,84.13207749975845,84.63218430010602,86.85070650000125,w,1,2215.7328999601305,None,1.0226035694008135,0.859,1.190458171595825,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,87.49050719989464,87.61497869994491,87.5318146799691,94.78023599972948,94.77995098009706,94.9801896000281,95.04678319999948,102.5284882998094,102.5284882998094,103.01188169978559,103.01188169978559,103.51152870012447,104.21411240007728,p,1,699.0022002719343,None,6.926589534112757,7.732,1.1162780704588713,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,105.0417228997685,105.16142420005053,105.07832845998928,108.59400929976255,108.59408318018541,108.97729269973934,109.04409640002996,111.76020300015807,111.76020300015807,112.22652309993282,112.22652309993282,112.72659760015085,115.27752539981157,p,0,2534.937699791044,None,3.367,3.141237505421679,1.0718705587172768,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
,,,,,,,,,116.08927410002798,116.19258120004088,116.1259620799683,123.62429659999907,123.62438928009942,123.9746777000837,124.02402530005202,131.83950569992885,131.83950569992885,132.30605340003967,132.30605340003967,132.8059279001318,133.32399359997362,p,1,505.14250015839934,None,7.332402397402085,8.185,1.1162780704588713,,,,,ROR115,001,2025-01-17_08h30.10.402,Time estimation,2023.2.3,60.02047900362708,2025-01-17 08h30.33.391333 +0100,
