thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010836900037247688,0.014572400017641485,0.014572400017641485,20.06951780000236,space,20.043651600019075,None,,,,,,,,,,,,,,,,,,,,,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,20.58715990005294,20.625359300000127,20.618725390016333,22.686061800050084,22.685198930039768,22.745899500034284,22.745899500034284,27.524574000039138,27.524574000039138,28.002998300013132,28.002998300013132,28.50154740002472,30.871052500035148,p,1,2355.0283999647945,None,1.6076666666666668,4.823,3,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,31.18780740001239,31.21694460004801,31.218626630032666,33.70196170004783,33.70104023005697,33.55533840000862,33.55533840000862,39.17421380005544,39.17421380005544,39.652284700016025,39.652284700016025,40.15129310003249,41.102187900047284,p,1,947.0904999761842,None,1.819,5.457,3,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,41.32733500003815,41.35093210003106,41.3509379500465,45.317176400043536,45.3171288300131,45.06707000004826,45.06707000004826,46.44540510000661,46.44540510000661,46.885492000030354,46.885492000030354,47.38391110004159,48.88596540002618,w,1,1491.5642000269145,None,3.211,1.0703333333333334,3,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,48.89268440002343,48.90015920001315,48.90015920001315,59.23427970003104,space,10.323745300003793,None,,,,,,,,,,,,,,,,,,,,,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,59.459356800012756,59.48011600004975,59.4831010500493,61.483147000020836,61.482908230047904,61.23453540005721,61.23453540005721,65.21601970004849,65.21601970004849,65.71773920004489,65.71773920004489,66.21661610004958,66.8342853000504,p,1,601.6042000264861,None,1.241,3.728170035717524,3.0041660239464334,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,67.05927690002136,67.08055890002288,67.08308305006358,74.26593020005384,74.26570003002999,74.01568830001634,74.01568830001634,77.48559690004913,77.48559690004913,77.98352490004618,77.98352490004618,78.48268170002848,79.23333810002077,w,1,747.7607000037096,None,6.425,3.209591119266028,2.0018126176362534,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,79.4661449000123,79.49078330001794,79.48223835005774,84.71523490000982,84.71496123000398,84.46507110004313,84.46507110004313,87.61486770003103,87.60604280000553,88.1001897000242,88.1001897000242,88.5988808000111,89.29977640003199,w,1,690.7441999646835,None,4.469,2.8841977422394174,1.5494776708791378,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,89.52432760002557,89.5454233000055,89.5487034500402,98.13126330001978,98.13090713002603,97.88593540003058,97.88593540003058,104.1034018000355,104.1034018000355,104.56603040004848,104.56603040004848,105.06447230000049,106.63240200001746,p,0,1555.1652000285685,None,7.825,5.935885573395317,1.3182531743994035,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,106.87442860001465,106.89558620000025,106.89793768004748,109.44751690002158,109.4469872300455,109.22540120000485,109.22540120000485,110.6152794000227,110.6152794000227,111.11541120003676,111.11541120003676,111.6140564000234,120.86504130001413,w,1,9235.802999988664,None,1.8035920089033162,1.164,1.5494776708791378,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,121.09218720003264,121.11397940001916,121.1139257500472,127.11294360004831,127.11292763002567,126.87052710005082,126.87052710005082,135.2465900000534,135.2465900000534,135.74755190004362,135.74755190004362,136.24606910004513,137.49723280000035,p,1,1240.6865999801084,None,5.244347919766727,8.126,1.5494776708791378,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,137.73264900001232,137.7540964000509,137.746313450014,142.56228340003872,142.5621067300148,142.31200000003446,142.31200000003446,145.54582990001654,145.54582990001654,146.03032650001114,146.03032650001114,146.52890810003737,150.3633666000096,w,1,3826.756199996453,None,4.056,2.9747950439956106,1.363455276754853,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,150.61332700005732,150.63452200003667,150.6290415800526,155.46151560003636,155.46120703005582,155.23535910004284,155.23535910004284,158.46474920003675,158.46474920003675,158.96286610001698,158.96286610001698,159.46166230004746,160.81302660005167,w,1,1335.6306999921799,None,4.089002374987804,2.999,1.363455276754853,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
,,,,,,,,,161.04697000002488,161.06899460003478,161.06194665006478,164.61111540003913,164.6110688300163,164.36099950002972,164.3556349000428,168.09902100003092,168.09902100003092,168.57918230001815,168.57918230001815,169.06123030005256,172.2794516000431,p,1,3210.0888999993913,None,2.783,3.466024767767205,1.2454275126723697,,,,BFE1216,001,2025-01-14_11h42.35.049,Time estimation,2023.2.3,60.37210954952135,2025-01-14 11h42.51.703873 +0100,
