thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0760377999395132,0.10841819969937205,0.10841819969937205,6.908329300116748,space,6.786967500112951,None,,,,,,,,,,,,,,,,,,,,,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,9.278993600048125,9.38943549990654,9.323826702777296,10.93922429997474,10.939677000138909,11.972560300026089,11.972560300026089,12.438842799980193,12.438842799980193,12.872527699917555,12.922334199771285,12.93888399982825,16.940365999937057,w,1,3994.217500090599,None,3.019,1.0063333333333333,3,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,17.899300799705088,18.00546779995784,17.93829550081864,20.07116589974612,20.071122400090097,26.43592209974304,26.43592209974304,26.903016599826515,26.903016599826515,20.57053399970755,20.62103829998523,27.402690699789673,28.08779149968177,p,1,672.62850003317,None,2.115,6.345000000000001,3,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,28.91094599990174,29.003359300084412,28.952974400669333,30.752263200003654,30.753001699782907,35.71784539986402,35.71784539986402,36.20117359980941,36.20117359980941,31.11866129981354,31.152783199679106,36.70073329983279,37.20257510012016,p,1,484.4685001298785,None,1.6496666666666666,4.949,3,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,37.22753559984267,37.250749399885535,37.250749399885535,41.034906799905,space,3.7668560999445617,None,,,,,,,,,,,,,,,,,,,,,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,41.84453839994967,41.93322130013257,41.883545100782065,43.932749199680984,43.93278800006956,49.632377800066024,49.632377800066024,50.098407099954784,50.098407099954784,44.299304800108075,44.332570699974895,50.59792710002512,50.716865699738264,p,1,113.440599758178,None,1.888377657819205,5.673,3.0041660239464334,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,51.54015340004116,51.6320755998604,51.5816722006537,57.89687609998509,57.89690270004794,60.99540730006993,60.99540730006993,61.47950279992074,61.47950279992074,58.28014379972592,58.313428999856114,61.97906959988177,62.89736189972609,w,1,903.526599984616,None,6.17,3.0822065690072207,2.0018126176362534,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,63.710245199967176,63.79631289979443,63.745855901017784,70.86086459970102,70.86089270012454,75.37651509977877,75.37651509977877,75.85968209989369,75.85968209989369,71.22659489978105,71.26073919981718,76.3597487998195,77.9939854000695,p,0,1620.7405999302864,None,6.96,4.491836268960919,1.5494776708791378,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,78.80575429974124,78.90978709980845,78.8425361007452,81.87532599968836,81.87545629972593,87.64134369976819,87.64134369976819,88.12418180005625,88.12418180005625,82.24201019993052,82.29175650002435,88.62358290003613,89.05917309969664,p,1,424.75830018520355,None,2.87,5.745202212616047,2.0018126176362534,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,89.89106159983203,89.99110030010343,89.92420270079748,93.10708179976791,93.10643669972197,99.23822719976306,99.22166389971972,99.70521629974246,99.70521629974246,93.48947459971532,93.53939149994403,100.20506560010836,100.32396129984409,w,0,116.45619990304112,None,3.0467387138371214,6.099,2.0018126176362534,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,101.15725929988548,101.25539280008525,101.18842120068149,107.00348960002884,107.00345209995285,108.91968079982325,108.91968079982325,109.38663659989834,109.38663659989834,107.37007279973477,107.41985759977251,109.88608539989218,110.88835479971021,w,1,998.6222996376455,None,5.665,1.8857146891496206,3.0041660239464334,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,111.71644019987434,111.81987340003252,111.75318940095605,113.60230509983376,113.60239340001718,118.76780360005796,118.76780360005796,119.25123339984566,119.25123339984566,114.00214509991929,114.0361457997933,119.75081209978089,120.2363464999944,p,1,480.7309000752866,None,1.7119559834592228,5.143,3.0041660239464334,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,121.05966809997335,121.15164679987356,121.10121680069716,128.1158603001386,128.11588389994577,131.29863390000537,131.29863390000537,131.76501169987023,131.76501169987023,128.48241439973935,128.51561030000448,132.2651007999666,133.24985829973593,w,1,973.2063002884388,None,6.865,3.1509237896453244,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,134.0711296000518,134.1654837001115,134.11503960071133,136.8973779999651,136.89724379973487,142.6797831999138,142.6797831999138,143.16268429998308,143.16268429998308,137.28082769969478,137.31442379998043,143.6627457998693,144.14857929991558,p,1,478.84640004485846,None,2.646041609221456,5.765,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,145.17392530012876,145.3300022999756,145.22988410107791,150.17891759984195,150.17807299979032,153.09448819980025,153.09448819980025,153.5774175999686,153.5774175999686,150.777441999875,150.86149560008198,154.07759140012786,163.6109499000013,p,0,9526.670900173485,None,5.022,2.8936604829186976,1.7355180504571663,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,164.43743530008942,164.52561029978096,164.4756551009603,169.7407714999281,169.7408050998114,172.12401379970834,172.12401379970834,172.5901391999796,172.5901391999796,170.14156999997795,170.1578663997352,173.09030599985272,184.1741423998028,w,1,11065.956399776042,None,5.123,2.351374009374071,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,184.91294110007584,185.00553379999474,184.9547535005957,188.153857300058,188.1539074998349,189.53726110002026,189.53726110002026,190.02026619995013,190.02026619995013,188.45397459995002,188.48739299969748,190.52041519992054,191.92155939992517,w,1,1386.5911001339555,None,2.9783186222527895,1.367,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,192.80060900002718,192.88706440012902,192.8367702011019,195.41889189975336,195.41899580005557,199.75143649987876,199.75143649987876,200.21841689990833,200.21841689990833,195.83605729974806,195.86925229988992,200.71785750007257,201.23686200007796,p,1,510.87250001728535,None,2.483,4.309291319285144,1.7355180504571663,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,202.05798129970208,202.15113430004567,202.1015352007933,210.18282420001924,210.18285269998015,214.78177100000903,214.78177100000903,215.2487189997919,215.2487189997919,210.56604149984196,210.59927719971165,215.7482501999475,219.39966200012714,p,0,3638.959900010377,None,7.937,4.573274243911928,1.7355180504571663,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,220.21534110000357,220.31433530012146,220.26482840087266,226.04667659988627,226.04670549985022,228.66221919981763,228.66221919981763,229.1291690999642,229.1291690999642,226.42981359967962,226.46311020012945,229.62931620003656,230.13088269997388,w,1,498.8966998644173,None,5.638,2.5877506665725183,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,230.85367459990084,230.94601040007547,230.89563350062818,234.39488429995254,234.39447609996424,241.50984290009364,241.50984290009364,241.97629689984024,241.97629689984024,234.67862559994683,234.71117029991,242.47639680001885,242.8953998000361,p,1,408.90570031479,None,3.253277177131254,7.088,2.178726131860124,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
,,,,,,,,,243.69133780011907,243.77691169967875,243.72632990079,245.27601070003584,245.2761100997217,247.67514279996976,247.67514279996976,248.15861029969528,248.15861029969528,245.62595329992473,245.65927379997447,248.65872019995004,250.4100009999238,w,0,1740.3995003551245,None,1.371,2.379395247176775,1.7355180504571663,,,,VZO617,001,2025-01-16_11h17.49.100,Time estimation,2023.2.3,59.97051846411794,2025-01-16 11h18.07.571703 +0100,
