thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06032299999787938,0.07643069999903673,0.07643069999903673,12.074057600002561,space,11.988340299998526,None,,,,,,,,,,,,,,,,,,,,,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,13.435461000000942,13.505906899998081,13.457102510034746,14.989055500001996,14.989058169996133,15.888828600000124,15.922230500000296,20.72128689999954,20.72128689999954,21.187798799997836,21.187798799997836,21.687708099998417,24.071659100001852,p,1,2369.398100003309,None,1.901,5.703,3,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,24.607735999998113,24.687213299999712,24.637546980017216,28.65294559999893,28.65305576999672,28.719652899999346,28.752986999999848,29.869443700001284,29.869443700001284,30.336650099998224,30.336650099998224,30.835859799997706,32.6367465000003,w,1,1787.0129000002635,None,3.566,1.1886666666666665,3,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,33.19029829999636,33.26884599999903,33.21924975001457,35.00178629999573,35.00173436999612,35.08499589999701,35.11833050000132,39.067567099998996,39.067567099998996,39.55080079999607,39.55080079999607,40.050690199997916,41.23501569999644,p,1,1168.5331999979098,None,1.3496666666666668,4.049,3,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,41.24911869999778,41.267077799995604,41.267077799995604,42.7346813999975,space,1.459244999998191,None,,,,,,,,,,,,,,,,,,,,,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,43.281822299999476,43.3500864000016,43.31713985001261,44.399807599998894,44.39984536999837,44.49984679999761,44.51647689999663,46.39951019999717,46.39951019999717,46.84935309999855,46.84935309999855,47.34919300000183,51.44958939999924,w,0,4083.8739999962854,None,0.652,1.9587162476130746,3.0041660239464334,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,51.99666350000189,52.06506739999895,52.03205115001765,60.413275999999314,60.41456906999665,60.51326230000268,60.52991859999747,63.062757100000454,63.096011399997224,63.56263310000213,63.56263310000213,64.06254420000187,64.91384280000057,w,1,847.4820000046748,None,7.959,2.649320955153015,3.0041660239464334,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,65.44207900000038,65.51219110000238,65.46274111001257,70.41126249999797,70.41130686999676,70.4778903999977,70.51122939999914,79.42603729999973,79.42603729999973,79.89269590000185,79.89269590000185,80.39256749999913,81.37710540000262,p,1,969.5337999946787,None,4.489431188925105,8.987,2.0018126176362534,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,81.93775430000096,82.00890939999954,81.97637332001759,83.92523570000048,83.92521847000316,84.04185560000042,84.05856169999606,87.04136879999714,87.04136879999714,87.52443230000063,87.52443230000063,88.02436609999859,88.85867409999628,p,1,832.4782000054256,None,1.547097851574613,3.097,2.0018126176362534,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,89.34389029999875,89.40737210000225,89.37462627000932,98.20563650000258,98.20562126999866,98.23886299999867,98.25562389999686,103.6045862999963,103.6045862999963,104.0878292999987,104.0878292999987,104.58771639999759,106.471795999998,p,0,1875.8736999952816,None,8.341,5.383104356236066,1.5494776708791378,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,107.03965800000151,107.12181810000038,107.0709750200127,109.7033231999958,109.70338066999975,109.82013020000159,109.85331880000012,110.91972849999729,110.91972849999729,111.38641529999586,111.38641529999586,111.88630259999627,113.63704439999856,w,1,1741.529899998568,None,2.21825675759736,1.195,1.8562818055208032,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,114.04718560000038,114.11915959999897,114.06948672000871,117.31847320000088,117.3185510700001,117.26853110000229,117.30187529999967,122.30081490000157,122.30081490000157,122.76741529999708,122.76741529999708,123.26728220000223,123.75164049999876,p,1,468.3678000001237,None,2.669,4.954416138935024,1.8562818055208032,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,124.27535299999727,124.35051029999886,124.30086351001664,125.2502084000007,125.25027677000034,125.31687570000213,125.35026549999748,125.60008999999991,125.60008999999991,126.06674689999636,126.06674689999636,126.56665249999787,128.4672967000006,w,1,1889.608199999202,None,0.49428337701044495,0.319,1.5494776708791378,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,128.8640419000003,128.93281489999936,128.89985882001346,131.7822470999963,131.7822614699995,131.73229770000034,131.74893300000258,135.38152560000162,135.38152560000162,135.84806129999924,135.84806129999924,136.34799550000025,136.89921709999908,p,1,549.8076000003493,None,2.303,3.568447076034654,1.5494776708791378,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,137.4311794000023,137.49775090000185,137.4649332800167,142.11354299999948,142.1135428700014,142.19682540000213,142.2135083999965,147.87911399999575,147.87911399999575,148.34561640000175,148.34561640000175,148.84552789999725,151.41282160000264,p,1,2565.9108000036213,None,4.2076921024168685,5.737,1.363455276754853,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,151.96316439999646,152.044871099999,151.9952674500164,155.42745070000092,155.4274898699965,155.52744689999963,155.56080500000098,157.66035169999668,157.66035169999668,158.12699830000201,158.12699830000201,158.62679639999988,161.16131470000255,p,0,2530.7847000003676,None,3.002,2.201759053765982,1.363455276754853,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,161.7072668999972,161.77620079999906,161.74348035001458,167.50839270000142,167.50839116999995,167.60828210000182,167.62510569999722,170.97432870000193,170.97432870000193,171.45761230000062,171.45761230000062,171.95749229999637,174.12490270000126,p,0,2153.337999996438,None,5.342,3.4476134121823594,1.549477670879138,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,174.6678041999985,174.74028829999588,174.69084048001096,179.40609229999973,179.4060348700019,179.48934890000237,179.5226715999961,187.37135609999677,187.37135609999677,187.85432839999703,187.85432839999703,188.3542529999977,189.5055613000004,p,1,1150.0376000039978,None,4.280600055642224,7.946,1.8562818055208035,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
,,,,,,,,,190.07442679999804,190.13799370000197,190.10433502001396,194.25303559999884,194.25306607000093,194.36969490000047,194.38637459999882,196.2860948000016,196.2860948000016,196.7525328999982,196.7525328999982,197.2524792999975,198.9368730999995,w,1,1681.4551999996183,None,3.735,2.0120867364489943,1.8562818055208035,,,,MDM615,001,2024-11-29_08h43.57.115,Time estimation,2023.2.3,60.197121496224234,2024-11-29 08h44.22.011683 +0100,
