thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,2.6950333999993745,2.7184249000056298,2.7184249000056298,8.382378100002825,space,5.6501841000063,None,,,,,,,,,,,,,,,,,,,,,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,9.596937900001649,9.743721700004244,9.644345719965349,11.718876500002807,11.712226520002877,12.486951300001238,12.578625500005728,18.684366300003603,18.691876700002467,19.18770930000028,19.18770930000028,19.677576200003386,20.363927700003842,p,1,675.026800003252,None,2.321,6.963000000000001,3,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,21.103913800005103,21.15059750000364,21.143478839981256,22.560285600004136,22.558803720001016,22.83618380000553,22.843295800004853,26.11201790000632,26.11201790000632,26.60658610000246,26.60658610000246,27.09158550000575,27.528569699999935,p,1,432.1688999989419,None,1.18,3.54,3,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,28.097296200001438,28.16151770000579,28.1413429399865,29.6572199000002,29.656042119998894,29.787446599999384,29.795128199999453,33.032400700001745,33.032400700001745,33.537292500004696,33.537292500004696,34.02279690000432,35.2094550000038,p,1,1171.0662999976194,None,1.1196666666666666,3.359,3,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,35.25252000000182,35.26189030000387,35.26189030000387,41.23709290000261,space,5.959461600003124,None,,,,,,,,,,,,,,,,,,,,,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,42.027949700001045,42.07422580000275,42.06666899997799,44.45220800000243,44.45131471999921,44.79620850000356,44.80338219999976,51.122341100002814,51.122341100002814,51.627914100005,51.627914100005,52.116831600003934,52.703354400000535,p,1,572.6918000000296,None,2.215,6.65422774304135,3.0041660239464334,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,53.4005610000022,53.449233600003936,53.43257597998163,58.41428830000223,58.41238912000117,58.66679710000608,58.674143200005346,60.77296690000367,60.77296690000367,61.27909030000592,61.27909030000592,61.76342149999982,62.31728020000446,w,1,547.06100000476,None,4.700256026209923,2.348,2.0018126176362534,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,62.893963400005305,62.93993800000317,62.929513739985126,71.59322100000281,71.59217222000152,71.70677740000247,71.7144230000049,76.93173620000016,76.93173620000016,77.41069830000197,77.41069830000197,77.9078565000018,78.29553070000111,w,1,379.6462000027532,None,8.259,5.330183296745434,1.5494776708791378,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,79.06225970000378,79.10809680000239,79.09088815997966,84.24015400000644,84.2378052200016,84.5469957000023,84.55432280000241,87.99247160000232,87.99247160000232,88.49911790000624,88.49911790000624,88.9711301999996,89.22537190000003,w,1,238.2041000018944,None,4.933,3.742073295023527,1.3182531743994035,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
,,,,,,,,,89.99416100000235,90.04066530000273,90.0200374599779,94.81839279999986,94.8177091199992,95.13720840000315,95.14462370000547,100.29452149999997,100.29994219999935,100.79624590000458,100.79624590000458,101.28341390000423,103.6362969000038,p,1,2335.2897000004305,None,4.590669483728349,5.465,1.190458171595825,,,,GRO1215,001,2024-12-03_11h36.44.281,Time estimation,2023.2.3,60.27938288398718,2024-12-03 11h37.18.418155 +0100,
