thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0019495999440550804,0.004765399964526296,0.004765399964526296,1.2678549999836832,space,1.2533402000553906,None,,,,,,,,,,,,,,,,,,,,,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,1.7420010999776423,1.769007100025192,1.7671180999604985,7.079570799949579,7.079570799949579,7.079570799949579,7.066528379928786,8.666467700037174,8.682951899943873,9.150943599990569,9.150943599990569,9.650231500039808,12.46785210003145,w,1,2816.4345999248326,None,4.786,1.5953333333333333,3,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,12.681123099988326,12.699074000003748,12.699990019947291,14.456080300034955,14.456080300034955,14.716499399975874,14.715955480013509,18.45602159993723,18.45602159993723,18.950935199973173,18.950935199973173,19.449916600016877,20.4510953000281,p,1,992.0220000203699,None,1.243,3.729,3,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,20.668336399947293,20.68807499995455,20.683597619924694,22.235600500018336,22.235600500018336,22.49976100004278,22.49954007997876,25.62553179997485,25.62553179997485,26.101141499937512,26.101141499937512,26.59981990000233,28.300975500023924,p,1,1685.2252000244334,None,1.0370000000000001,3.111,3,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,28.312935899943113,28.316601300030015,28.316601300030015,33.78421269997489,space,5.454149700002745,None,,,,,,,,,,,,,,,,,,,,,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,34.01006130001042,34.02785710000899,34.033429600007366,36.682915700017475,36.705961199942976,36.949906099936925,36.94968357997713,43.43536080000922,43.43536080000922,43.93445669999346,43.93445669999346,44.43357630004175,45.4514706999762,p,1,1015.5341000063345,None,2.156671751279857,6.479,3.0041660239464334,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,45.66977899998892,45.68829269998241,45.683814319944936,51.25585429999046,51.25585429999046,51.51697520003654,51.51660387999145,54.05594210000709,54.05594210000709,54.53478740004357,54.53478740004357,55.03378649998922,56.534970800043084,w,1,1490.5645999824628,None,5.056,2.5257109259158037,2.0018126176362534,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,56.756726899999194,56.77550959994551,56.78414589999011,64.9003834000323,64.9255400999682,65.16745599999558,65.16705267993966,70.0860507999314,70.10014200001024,70.58558529999573,70.58558529999573,71.08479500003159,72.10254190000705,w,1,1013.4519999846816,None,7.62,4.917786259983075,1.5494776708791378,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,72.31221350003034,72.32959680003114,72.3350190199446,76.39589149993844,76.39589149993844,76.6678367999848,76.66767927993787,81.35647420003079,81.35647420003079,81.85291529993992,81.85291529993992,82.35158300003968,82.71939750004094,p,1,366.347000002861,None,3.552428388525274,4.683,1.3182531743994035,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,82.9434815000277,82.96133570000529,82.96870529995067,90.61797779996414,90.61797779996414,90.88479010004085,90.88461297996109,99.40550570003688,99.40550570003688,99.88613400002941,99.88613400002941,100.3851576000452,101.26964870002121,p,1,867.9488999769092,None,7.1501882242444115,8.512,1.190458171595825,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,101.48338140000124,101.49995199998375,101.50203992000316,110.92542520002462,110.92542520002462,111.18522380001377,111.18507428002776,119.17587429995183,119.17587429995183,119.66913139994722,119.66913139994722,120.16847979999147,121.43630689999554,w,1,1259.364900062792,None,8.907,7.979194643086177,1.1162780704588713,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,121.65326259995345,121.6741241000127,121.66889631997329,126.30585819995031,126.30585819995031,126.56841379997786,126.56815357996383,131.00619089999236,131.00619089999236,131.48631449998356,131.48631449998356,131.98520719993394,133.65304629993625,w,0,1653.7288000108674,None,4.123632246499501,4.42,1.0718705587172768,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,133.86315330001526,133.8799444999313,133.88555672001095,137.21837320004124,137.23663769999985,137.5015803000424,137.50152687997326,140.67500539997127,140.67500539997127,141.16961340000853,141.16961340000853,141.66881569998804,142.98670130001847,w,0,1311.4767000079155,None,2.8380025406194016,3.168,1.1162780704588713,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,143.2079201999586,143.22544209996704,143.21906011998655,151.33543989993632,151.33543989993632,151.60224659997039,151.602137379942,158.00633999996353,158.00633999996353,158.48665269999765,158.48665269999765,158.98585249995813,160.42022630001884,w,1,1417.980800033547,None,7.603,6.386616666932596,1.190458171595825,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,160.63823179993778,160.65638339996804,160.65271132001655,163.56949429993983,163.56728740001563,163.81881269998848,163.81872488000664,165.8469436999876,165.8469436999876,166.33680229994934,166.33680229994934,166.83598079998046,167.40420849993825,w,1,567.0051999622956,None,2.3987732157655874,2.015,1.190458171595825,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,167.60369759995956,167.62081039999612,167.61943593997276,169.48552819993347,169.48552819993347,169.7692150999792,169.76895677997965,171.32572760002222,171.32572760002222,171.82040870003402,171.82040870003402,172.3194160000421,173.18727320001926,w,0,852.6068999199197,None,1.363,1.542046118126299,1.1313617887940566,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,173.38466480001807,173.4009600999998,173.40296844000696,179.15622040000744,179.15622040000744,179.43600260000676,179.43591308001197,183.85609160002787,183.85609160002787,184.35383789998014,184.35383789998014,184.85281139996368,185.82071959995665,p,0,953.7074000108987,None,5.247,4.407546712007804,1.190458171595825,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,186.03454649995547,186.05171879997943,186.0532099199947,189.4360130999703,189.4655299000442,189.71962879993953,189.7192087799893,193.42556320002768,193.42556320002768,193.90465149993543,193.90465149993543,194.40366369998083,196.0714896999998,w,0,1652.9586999677122,None,2.8853265971534983,3.691,1.2792312674902502,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
,,,,,,,,,196.30142150004394,196.31938889995217,196.32063040003413,205.47529019997455,205.47529019997455,205.73693050001748,205.73679578002776,211.85626130003948,211.85626130003948,212.33807940001134,212.33807940001134,212.83732990000863,213.20497730001807,w,1,357.34600003343076,None,8.65,6.10866819658459,1.4160205991931745,,,,,BTU916,001,2025-05-07_11h25.12.857,Time estimation,2023.2.3,59.91848688360035,2025-05-07 11h25.40.064491 +0200,
