thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.05923580005764961,0.09196279989555478,0.09196279989555478,2.8768732000607997,space,2.7799740999471396,None,,,,,,,,,,,,,,,,,,,,,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,4.989744700025767,5.074234900064766,5.024516220646911,5.924216500017792,5.924132280074991,7.590294900117442,7.623761099996045,12.072844800073653,12.072844800073653,12.53925839997828,12.53925839997828,13.039336000103503,15.607184000080451,p,1,2551.3815998565406,None,2.039,6.117000000000001,3,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,16.43056229990907,16.50467070005834,16.47218156028539,25.570262900087982,25.570145080122167,25.953404600033537,25.97003829991445,28.58630060008727,28.58630060008727,29.052644399926066,29.052644399926066,29.55273319990374,39.802521700039506,w,1,10239.04259991832,None,8.955,2.985,3,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,40.621447999961674,40.700531400041655,40.66734996023588,48.74890900007449,48.748864680086264,49.148781599942595,49.16530460002832,51.41491609998047,51.41491609998047,51.89803380006924,51.89803380006924,52.39804039988667,55.78266980010085,w,1,3379.3969999533147,None,7.947,2.649,3,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,55.80539350002073,55.813593100057915,55.813593100057915,61.24832669994794,space,5.426479199901223,None,,,,,,,,,,,,,,,,,,,,,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,62.05870190006681,62.14593699993566,62.096317380224356,64.79539189999923,64.79551768002565,65.16201089997776,65.19554600003175,72.46078619989567,72.46078619989567,72.9438785999082,72.9438785999082,73.4439675998874,76.7616175999865,p,1,3311.2381000537425,None,2.545798048122912,7.648,3.0041660239464334,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,77.60689079994336,77.69291010010056,77.64302384022157,86.22455810010433,86.22468347989488,86.62445049989037,86.6577836999204,90.47382749989629,90.47382749989629,90.95710740005597,90.95710740005597,91.45699799992144,92.6249929999467,w,1,1153.8569999393076,None,8.456,4.224171596033234,2.0018126176362534,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,93.4405235000886,93.52330360002816,93.47337218027096,98.32230859994888,98.32231787990312,98.68894540006295,98.72223929991014,105.60412860009819,105.60412860009819,106.07080570003018,106.07080570003018,106.57054920005612,107.43885329994373,p,1,861.4594000391662,None,4.685449901243716,7.26,1.5494776708791378,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,108.27173650008626,108.35365179996006,108.32040894015226,114.18561360007152,114.18577748003881,114.58543700003065,114.60235200007446,121.76744080008939,121.76744080008939,122.23417650000192,122.23417650000192,122.73390519991517,127.45152039988898,p,1,4712.283900007606,None,5.733344813255183,7.558,1.3182531743994035,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,128.27719160006382,128.3664897000417,128.31633316031656,137.11486220010556,137.11448327989783,137.49769459990785,137.53102630004287,144.41286320006475,144.41286320006475,144.87969899992459,144.87969899992459,145.37932629999705,147.61388810002245,p,0,2217.7996998652816,None,8.651,7.2669499915341165,1.190458171595825,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,148.44244770007208,148.52891899994574,148.4788628602866,151.61147879995406,151.6115269800881,151.97809170000255,152.01128500001505,155.56089109997265,155.56089109997265,156.0440883000847,156.0440883000847,156.54390519997105,157.92901990003884,p,1,1382.6532999519259,None,2.983,3.9323492192334206,1.3182531743994035,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
,,,,,,,,,158.75879679992795,158.84341560001485,158.79367746021597,167.441754499916,167.4417861800408,167.82499370002188,167.85848070005886,173.92317129997537,173.92317129997537,174.406943900045,174.406943900045,174.90694690006785,176.50829600007273,p,0,1593.8072002027184,None,8.509,6.454754037574538,1.3182531743994035,,,,CSA318,001,2025-01-07_10h26.38.246,Time estimation,2023.2.3,59.98217327408714,2025-01-07 10h27.06.426948 +0100,
