thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_2.stopped,item2.stopped,image_L.started,image_R.started,key_resp.started,sound_1.stopped,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.079112000297755,0.1059489999897778,0.1059489999897778,120.36665080022067,space,120.25399060035124,None,,,,,,,,,,,,,,,,,,,,,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,123.28813210036606,123.41385410027578,123.32976119657978,124.54690100019798,124.53020029994659,125.61323360027745,125.62991550005972,126.0964703001082,126.0964703001082,126.59642700012773,127.02961620036513,127.07966390019283,130.18117720028386,w,1,3578.3524001017213,None,3.164,1.0546666666666666,3,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,131.22343040024862,131.362138800323,131.27851769877597,135.32798780035228,135.32795390035025,136.7276435000822,136.7276435000822,137.21090289996937,137.21090289996937,137.71079450007528,135.9444724000059,136.0111414003186,138.76275050034747,w,1,1049.5434002950788,None,4.136,1.3786666666666667,3,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,139.84896130021662,140.01030450034887,139.89330619871615,141.0935141001828,141.09338450026698,145.10927220014855,145.10927220014855,145.59254370024428,145.59254370024428,146.09233700018376,141.74338040035218,141.84324280032888,146.91189430002123,p,1,806.6392000764608,None,1.3306666666666667,3.992,3,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,146.93956900015473,146.9588629002683,146.9588629002683,149.12724020006135,space,2.1641603000462055,None,,,,,,,,,,,,,,,,,,,,,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,150.10733629995957,150.24161310028285,150.15793129876255,152.14118720032275,152.14124060017056,158.22324099997059,158.22324099997059,158.70644650002941,158.70644650002941,159.20638660015538,152.70768079999834,152.75767480023205,159.72453840030357,p,1,500.84499968215823,None,2.0148686696244753,6.053,3.0041660239464334,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,160.73973349994048,160.87272839993238,160.78911529863254,162.67228709999472,162.6723361999262,163.65543480031192,163.65543480031192,164.13862060010433,164.13862060010433,164.63860780000687,163.23886620020494,163.3055098000914,165.37447550008073,w,1,733.7162001058459,None,1.9337509886366206,0.966,2.0018126176362534,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,166.18923310004175,166.32157019991428,166.2379893989302,168.8543005003594,168.854411800066,172.70350400032476,172.70350400032476,173.18683080002666,173.18683080002666,173.68670989992097,169.25423080008477,169.30426880018786,174.57251780014485,p,1,872.2491003572941,None,2.470509947928505,3.828,1.5494776708791378,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,175.62737370003015,175.75290720025077,175.68607799899763,182.4349004002288,182.4348369000014,187.66710030008107,187.66710030008107,188.15036770002916,188.15036770002916,188.65028670011088,183.0847527999431,183.11802100017667,189.5023183003068,w,1,835.871699731797,None,6.863,5.20613197319004,1.3182531743994035,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,190.5025436002761,190.63321120012552,190.54965729867106,193.24933400005102,193.2493705001194,195.58211140008643,195.58211140008643,196.0486559001729,196.0486559001729,196.54861119994894,193.8158527999185,193.88248720020056,197.88360260007903,p,0,1320.894000120461,None,2.7392442528419934,2.301,1.190458171595825,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,198.90824649995193,199.03144900035113,198.96463869861327,201.26433259993792,201.26429810016415,204.4304785002023,204.4304785002023,204.89682950032875,204.89682950032875,205.39680040022358,201.86418640008196,201.91427360009402,206.2322269002907,p,1,818.476099986583,None,2.378,3.1348060487217815,1.3182531743994035,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,207.32310899998993,207.4465151000768,207.36274309894068,212.34537910018116,212.34533640011213,216.24454470025375,216.24454470025375,216.7278428003192,216.7278428003192,217.22774640005082,212.99520400026813,213.0618779999204,217.96285200025886,w,1,718.5188001021743,None,5.11,3.87634188882429,1.3182531743994035,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,218.89999020006508,219.02733770012856,218.9604530991055,221.3934349999763,221.39347630008123,224.35948790004477,224.35948790004477,224.82614349992946,224.82614349992946,225.32601720001549,221.8933414001949,221.94338670000434,226.16146069997922,p,1,818.4756003320217,None,2.416,2.937985126192783,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,227.26094760000706,227.39234760031104,227.30877589886077,232.42456800024956,232.424570100056,238.83985180035233,238.83985180035233,239.32314749993384,239.32314749993384,239.82299310015514,233.10778350010514,233.15783999999985,240.24242880009115,p,1,416.00369988009334,None,5.257992582153851,6.394,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,241.25673530017957,241.38940160023049,241.3058177988045,245.17193110007793,245.17186849997378,249.70434579998255,249.70434579998255,250.18757530022413,250.18757530022413,250.6874726000242,245.75518560037017,245.82177660008892,251.42340560024604,w,0,733.5744998417795,None,3.9276334272227844,4.511,1.1485287727550766,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,252.45782990008593,252.58713580016047,252.50339629896916,255.88631480000913,255.88635550034232,258.75245660031214,258.75245660031214,259.2190827000886,259.2190827000886,259.7190173002891,256.48625540034845,256.55287889996544,260.5881874002516,w,1,859.3653999269009,None,3.451,2.8378686895547296,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
,,,,,,,,,261.51971210027114,261.63514759996906,261.5683610987384,264.95135450037196,264.95145590011964,267.7338760001585,267.7338760001585,268.2338812001981,268.2338812001981,268.7337158001028,265.45108720008284,265.5010365000926,269.3028939003125,w,1,561.4339001476765,None,3.364,2.7663257814146944,1.2160534462718473,,,,,MZA516,001,2025-03-20_14h55.19.339,Time estimation,2023.2.3,59.99563239645442,2025-03-20 14h56.35.318916 +0100,
