thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,sound_1.stopped,item1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0021204000804573298,0.00511610007379204,0.00511610007379204,4.270070499973372,space,4.252994899987243,None,,,,,,,,,,,,,,,,,,,,,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,4.737795300083235,4.764038700028323,4.751714289921801,7.389086700044572,7.402066600043327,7.402066600043327,7.405738610040862,13.797831400064752,13.797831400064752,14.285962300025858,14.285962300025858,14.785154100041837,20.719610000029206,p,1,5930.051699979231,None,2.126,6.378,3,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,20.92048930004239,20.937660700059496,20.93502432993846,22.45790769997984,22.45790769997984,22.73518249997869,22.73511961005861,25.758036000072025,25.758036000072025,26.25280510005541,26.25280510005541,26.752218100009486,30.453435400035232,p,1,3694.832400069572,None,1.0050000000000001,3.015,3,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,30.66081310005393,30.67964370001573,30.68552363999188,32.37774859997444,32.37774859997444,32.63581800006796,32.63509050997673,36.178095899987966,36.178095899987966,36.67016700003296,36.67016700003296,37.16881349997129,39.0535874000052,p,1,1870.1448000501841,None,1.177,3.531,3,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,39.065538899973035,39.068862200016156,39.068862200016156,46.70347850001417,space,7.623637399985455,None,,,,,,,,,,,,,,,,,,,,,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,46.908147500013,46.92513520002831,46.91892452993198,49.62919960008003,49.63562339998316,49.90220880007837,49.90202081002062,56.52748689998407,56.52748689998407,57.020303900004365,57.020303900004365,57.51932940003462,58.65373720007483,p,1,1128.2704999903217,None,2.1982806367421173,6.604,3.0041660239464334,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,58.85309730004519,58.870007000048645,58.86906032998814,60.93791280000005,60.93791280000005,61.21981510007754,61.218787310027984,64.33720399998128,64.33720399998128,64.82024719996843,64.82024719996843,65.31963879999239,67.90464880003128,p,1,2568.9814999932423,None,1.552,3.1068131825714653,2.0018126176362534,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,68.10971970006358,68.12699400004931,68.13650543997063,70.9697584999958,70.9697584999958,71.23669230006635,71.23628161005908,72.75864260003436,72.75864260003436,73.25437310000416,73.25437310000416,73.75362590001896,76.78796600003261,w,1,3018.8131999457255,None,2.330414417002223,1.504,1.5494776708791378,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,76.98494380002376,77.00260270002764,77.00338272996014,81.79757910000626,81.79757910000626,82.07043309998699,82.06989281004061,87.7075901000062,87.7075901000062,88.18822969996836,88.18822969996836,88.68692860007286,90.18791009997949,p,1,1491.1100000608712,None,4.270044714714663,5.629,1.3182531743994035,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
,,,,,,,,,90.39382090000436,90.41073050000705,90.41998353993985,99.22890990006272,99.20357940008398,99.48645119997673,99.4865074100322,106.46813539997675,106.46813539997675,106.95451599999797,106.95451599999797,107.45419209997635,108.6050672000274,p,0,1140.3319999808446,None,8.291,6.964545414380923,1.190458171595825,,,,ANG116,001,2025-05-06_10h49.23.151,Time estimation,2023.2.3,60.20458721614905,2025-05-06 10h49.44.670908 +0200,
