thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_2.stopped,item2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.08631379995495081,0.1344014999922365,0.1344014999922365,5.386019499972463,space,5.239735500188544,None,,,,,,,,,,,,,,,,,,,,,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,7.9090569000691175,8.015612999908626,7.967001198674552,11.38181470008567,11.364989659865387,13.064669399987906,13.081384799908847,13.464565299917012,13.497943599941209,13.531207399908453,13.531207399908453,14.031192800030112,14.968068799935281,w,1,927.0617999136448,None,4.973,1.6576666666666666,3,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,15.950695999898016,16.047282499959692,15.998056919546798,19.24663470010273,19.24666356004309,20.36318129999563,20.36318129999563,19.81335599999875,19.83005420002155,20.84627899993211,20.84627899993211,21.34624659991823,22.081228700000793,w,1,718.9960000105202,None,3.2760000000000002,1.092,3,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,22.890846600057557,22.996083399979398,22.92953495949041,28.078205100027844,28.07811945991125,29.761306900065392,29.761306900065392,28.444751600036398,28.494817399885505,30.24444709997624,30.24444709997624,30.744133800035343,32.913121100049466,w,1,2153.3623998984694,None,4.994,1.6646666666666665,3,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,32.93877250002697,32.961081200046465,32.961081200046465,41.0614404999651,space,8.095353499986231,None,,,,,,,,,,,,,,,,,,,,,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,42.039261600002646,42.142272599972785,42.07583265949506,43.92503809998743,43.925017859903164,49.52401540009305,49.52401540009305,44.458041599951684,44.508030500030145,49.99039059993811,49.99039059993811,50.490356700029224,51.06004590005614,p,1,563.0100998096168,None,1.8530933229472089,5.567,3.0041660239464334,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,52.02551140007563,52.14001900004223,52.073616559500806,58.82185519998893,58.822037859936245,62.2210528999567,62.2210528999567,59.35507640009746,59.40520859998651,62.70439220010303,62.70439220010303,63.204337999923155,63.791170000098646,w,1,575.7101001217961,None,6.758,3.3759403554863527,2.0018126176362534,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,64.76526469993405,64.87079919991083,64.82122481940314,65.1208331999369,65.12059956009034,65.6371810999699,65.6371810999699,65.67036859993823,65.68704920005985,66.10376590001397,66.10376590001397,66.60352759994566,70.22167659993283,w,0,3610.138300107792,None,0.314,0.48653598865604925,1.5494776708791378,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,71.02144420007244,71.11964259995148,71.06977275956888,74.01875629997812,74.0186989599606,75.43504190002568,75.43504190002568,74.38532350002788,74.40206120000221,75.90149679989554,75.90149679989554,76.40166249987669,77.20346560003236,w,1,798.933100188151,None,2.782519538514392,1.39,2.0018126176362534,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
,,,,,,,,,77.98966749990359,78.10133489989676,78.03493459965102,82.31726739997976,82.31715926004108,84.38344629993662,84.38344629993662,82.6836786000058,82.717419099994,84.86653569992632,84.86653569992632,85.36650000000373,85.88614020007662,w,1,510.7772999908775,None,4.104,2.050141938282923,2.0018126176362534,,,,,MME216,001,2025-03-17_09h04.54.565,Time estimation,2023.2.3,59.87098995640255,2025-03-17 09h05.16.803004 +0100,
