thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.003642700001364574,0.006553899991558865,0.006553899991558865,18.603058699998655,space,18.581945099998848,None,,,,,,,,,,,,,,,,,,,,,CRO515,001,2024-04-30_10h20.02.201,Time estimation,2023.2.3,60.01835361254706,2024-04-30 10h20.18.176295 +0200,
,,,,,,,,,19.27232579998963,19.327929699997185,19.285477769956923,25.120332299993606,25.11847136999422,25.304178099991987,25.35183989998768,26.967669899997418,26.967669899997418,27.45455339999171,27.45455339999171,27.952708199998597,35.48613019999175,p,0,7517.0245000044815,None,5.511,1.837,3,CRO515,001,2024-04-30_10h20.02.201,Time estimation,2023.2.3,60.01835361254706,2024-04-30 10h20.18.176295 +0200,
,,,,,,,,,35.734287999992375,35.77174399999785,35.7517808199802,41.34994249998999,41.3490819699975,41.10407329999725,41.11567259998992,42.97182919998886,42.97182919998886,43.46897180000087,43.46897180000087,43.950593399989884,49.16764390000026,,,,,,,,,,,,,,,
