thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06481679994612932,0.0976911997422576,0.0976911997422576,35.15947609953582,space,35.05499569978565,None,,,,,,,,,,,,,,,,,,,,,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,37.70770609937608,37.82329739909619,37.761023732833564,39.75608899910003,39.75621088966727,40.972667899914086,40.972667899914086,41.45576789975166,41.45576789975166,41.8891461994499,41.92246749997139,41.955835999920964,45.62394709978253,w,1,3664.610099978745,None,3.596,1.1986666666666668,3,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,46.60518059972674,46.704832499846816,46.65650267712772,54.10329739935696,54.103345789946616,56.61934969946742,56.61934969946742,57.08575639966875,57.08575639966875,54.65310619957745,54.68649459909648,57.58595249988139,58.35420549940318,w,1,760.5604007840157,None,7.470000000000001,2.49,3,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,59.24805789999664,59.33556739985943,59.287094936706126,64.35114249959588,64.35117628984153,66.0340743996203,66.0340743996203,66.51740549970418,66.51740549970418,64.80102749913931,64.8343813996762,67.01734099909663,69.70182389952242,w,1,2675.752400420606,None,4.992,1.664,3,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,69.73748879972845,69.75009499955922,69.75009499955922,77.58380139991641,space,7.831088200211525,None,,,,,,,,,,,,,,,,,,,,,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,78.45702369976789,78.53232159931213,78.49982794746757,81.2811129996553,81.28127598948777,89.37914349976927,89.37914349976927,89.8297057999298,89.8297057999298,81.71423229947686,81.73100499995053,90.3289519995451,92.89708369970322,p,1,2563.5500997304916,None,2.683,8.06017744224828,3.0041660239464334,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,93.76814059913158,93.84498919919133,93.81331684719771,96.14460909925401,96.14466708991677,100.64377099927515,100.64377099927515,101.11031969916075,101.11031969916075,96.57718169968575,96.59436009917408,101.61017479933798,105.12978129927069,w,0,3504.3160999193788,None,2.233975328460339,4.472,2.0018126176362534,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,106.02768609952182,106.10897609964013,106.0622184369713,109.80849149916321,109.80851118918508,111.0579464994371,111.0579464994371,111.52479549963027,111.52479549963027,110.25809039920568,110.29192769993097,112.02471849974245,117.45850189961493,p,0,5420.6649996340275,None,3.6710908812625416,1.222,3.0041660239464334,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,118.36257939971983,118.52368589956313,118.40827162750065,121.3560675997287,121.35593018960208,130.03732869960368,130.03732869960368,130.52096009999514,130.52096009999514,121.82259369920939,121.92263439949602,131.02042809966952,134.22165159974247,p,1,3183.838499709964,None,2.884,8.664014813061513,3.0041660239464334,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
,,,,,,,,,135.10508989915252,135.25336409918964,135.1546575371176,137.68598239962012,137.68580748979002,145.11774279922247,145.11774279922247,145.60108629986644,145.60108629986644,138.13602669909596,138.21924419980496,146.100979199633,148.63550009950995,w,0,2527.9780998826027,None,2.4645775037005806,7.404,3.0041660239464334,,,,,CST817,001,2025-05-20_09h49.39.397,Time estimation,2023.2.3,60.0825775638269,2025-05-20 09h50.08.074977 +0200,
