thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item1.stopped,sound_1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.010520300013013184,0.014559500035829842,0.014559500035829842,52.45728309999686,space,52.44097410002723,None,,,,,,,,,,,,,,,,,,,,,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,53.017346899956465,53.04807709995657,53.039107800170314,56.64055579993874,56.64013124002376,56.728839199990034,56.728839199990034,57.7072451999411,57.7072451999411,58.19099030003417,58.19099030003417,58.68948169995565,59.79036540002562,w,1,1093.3639000868425,None,3.172,1.0573333333333335,3,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,60.00213000003714,60.02400770003442,60.02250786002259,62.7227098000003,62.72250133998459,62.457338199950755,62.457338199950755,68.50744800001848,68.50744800001848,69.007141900016,69.007141900016,69.50565089995507,69.90625969995745,p,1,387.77259993366897,None,1.927,5.781000000000001,3,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,70.1130603000056,70.13325109996367,70.13876666005235,75.45506149996072,75.45494254004443,75.17758509994019,75.17758509994019,76.97775169997476,76.97775169997476,77.456727999961,77.456727999961,77.95528170000762,78.25820479996037,w,1,288.1004000082612,None,4.534,1.5113333333333332,3,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,78.26588019996416,78.27140430000145,78.27140430000145,84.98830700002145,space,6.699991900008172,None,,,,,,,,,,,,,,,,,,,,,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,85.20189969998319,85.22189369995613,85.2209403600311,87.75470839999616,87.75454083994263,87.49202320002951,87.49202320002951,93.07295709999744,93.07295709999744,93.52338359993882,93.52338359993882,94.02097449998837,95.08877939998638,p,1,1058.9274000376463,None,1.7525662556703885,5.265,3.0041660239464334,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,95.3019291999517,95.32210410002153,95.32099196005147,101.45363949995954,101.45376324002864,101.18755579995923,101.18755579995923,104.13771579996683,104.13771579996683,104.6217873999849,104.6217873999849,105.12062039994635,106.85510849999264,w,1,1733.2691999617964,None,5.350845126941706,2.673,2.0018126176362534,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,107.07681180001236,107.09756220004056,107.10353000013856,111.0374570999993,111.0363221400301,110.7697411000263,110.78723479993641,113.0975437000161,113.0975437000161,113.58800089999568,113.58800089999568,114.08660130004864,118.67277269996703,p,0,4584.497699979693,None,3.173,2.047786850777729,1.5494776708791378,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,118.91435560001992,118.93393880000804,118.93732824008912,121.00272500002757,121.00267923997016,120.77742339996621,120.77742339996621,123.69976290001068,123.69976290001068,124.170754199964,124.170754199964,124.66966400004458,124.75455269997474,p,1,83.54140003211796,None,1.328,2.6584071562209446,2.0018126176362534,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
,,,,,,,,,124.96831519994885,124.9886369999731,124.98600906010252,127.55237379996106,127.55226804002886,127.28729889995884,127.28729889995884,128.45742720004637,128.45742720004637,128.93742380000185,128.93742380000185,129.43602839997038,130.27018019999377,w,1,818.0965000065044,None,1.785616854931538,0.892,2.0018126176362534,,,,,FGR715,001,2024-12-03_11h31.18.359,Time estimation,2023.2.3,60.02116348364571,2024-12-03 11h31.39.862264 +0100,
