thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item1.stopped,sound_1.stopped,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.008474000031128526,0.015208099968731403,0.015208099968731403,45.8138327000197,space,45.79225329996552,None,,,,,,,,,,,,,,,,,,,,,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,46.25981389998924,46.28603199997451,46.2777593601495,55.213004900026135,55.213004900026135,55.246227300027385,55.245509820000734,58.0643133999547,58.0643133999547,58.56426489993464,58.56426489993464,59.06343300000299,60.065213099936955,w,1,990.3082000091672,None,8.427,2.809,3,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,60.29161479999311,60.31153069995344,60.312632800021674,64.26318400003947,64.26318400003947,64.51291649998166,64.51245462003862,65.67488079995383,65.67488079995383,66.16473870002665,66.16473870002665,66.66335659998003,67.53172249998897,w,1,856.6650000866503,None,3.437,1.1456666666666666,3,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,67.74193609994836,67.75880309997592,67.76265828008763,70.47495309996884,70.47495309996884,70.72951969993301,70.72937161993468,77.3345189000247,77.3345189000247,77.83146779995877,77.83146779995877,78.33067699999083,78.73294110002462,p,1,395.08399995975196,None,2.196,6.588000000000001,3,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,78.74531879997812,78.74795069999527,78.74795069999527,82.61636909993831,space,3.8659826000221074,None,,,,,,,,,,,,,,,,,,,,,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,82.82570349995513,82.84368279995397,82.8461635800777,85.79330969997682,85.79330969997682,86.0640807999298,86.06320611998672,93.39386589999776,93.39386589999776,93.88173829996958,93.88173829996958,94.38048319995869,95.13228050002363,p,1,739.9776999372989,None,2.434619106167754,7.314,3.0041660239464334,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,95.3619857999729,95.37897109996993,95.38008680002531,103.63349379994906,103.63349379994906,103.88048649998382,103.88040422002086,107.75288629997522,107.75288629997522,108.24912829999812,108.24912829999812,108.74750669999048,111.01638369995635,p,0,2255.3328999783844,None,7.736,3.8644975717730725,2.0018126176362534,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,111.21959400002379,111.23791859997436,111.24714778002817,115.21346250001807,115.2347542999778,115.49748020002153,115.49715801997809,116.66406370000914,116.66406370000914,117.1483585999813,117.1483585999813,117.64760249992833,118.53235609992407,w,1,875.9679000359029,None,3.472815923682077,1.156,3.0041660239464334,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,118.75053179997485,118.76753029995598,118.76323208003305,126.92579809995368,126.92579809995368,127.1807123000035,127.18042942002648,129.73465170001145,129.73465170001145,130.23210599995218,130.23210599995218,130.73116129997652,131.13581380003598,w,1,397.19519997015595,None,7.643,2.544133692704422,3.0041660239464334,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
,,,,,,,,,131.34720289998222,131.36432479997166,131.3642531801015,134.6948467999464,134.6948467999464,134.96431660000235,134.96429092000471,141.11380269995425,141.11380269995425,141.5988456000341,141.5988456000341,142.09826120000798,142.4161229999736,p,1,305.7711001019925,None,2.8167835829648005,6.137,2.178726131860124,,,,,VCE815,001,2025-03-25_12h12.40.664,Time estimation,2023.2.3,59.942048033289566,2025-03-25 12h12.57.070016 +0100,
