thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.27543150004930794,0.29474149993620813,0.29474149993620813,4.305710900109261,space,4.00043289992027,None,,,,,,,,,,,,,,,,,,,,,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,6.412721000146121,6.636649199994281,6.466380999656394,6.866746500134468,6.865490970131941,8.51890160003677,8.698514400050044,11.51719109993428,11.51719109993428,12.015109500149265,12.015109500149265,12.513965500053018,14.397804900072515,p,1,1879.4112000614405,None,1.5496666666666667,4.649,3,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,14.841222499962896,14.882101400056854,14.863320659985765,17.663632800104097,17.66348457003478,17.63050530012697,17.64682190003805,24.44839349994436,24.44839349994436,24.929813200142235,24.929813200142235,25.429465299937874,26.66283840010874,p,1,1227.3472000379115,None,2.258,6.774,3,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,27.180465900106356,27.221981900045648,27.211703209928235,33.72720000008121,33.72718086994719,33.7881086000707,33.7939333000686,35.76722160005011,35.76722160005011,36.24424590007402,36.24424590007402,36.743472000118345,37.528060799930245,w,1,772.9297999758273,None,6.057,2.019,3,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,37.54015160002746,37.544843800133094,37.544843800133094,43.243115399964154,space,5.6824906000401825,None,,,,,,,,,,,,,,,,,,,,,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,43.75536489998922,43.806327800033614,43.791895709955135,45.85851870011538,45.85834997000639,45.91858600010164,45.92526530008763,50.71795139997266,50.71795139997266,51.19231249997392,51.19231249997392,51.69162250007503,52.29363410011865,p,1,593.7931998632848,None,1.6094316896802146,4.835,3.0041660239464334,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,52.73080960009247,52.7706596001517,52.7585019598715,54.62372180004604,54.623489770037125,54.59053839999251,54.60682710004039,55.29739760002121,55.29739760002121,55.791005600010976,55.791005600010976,56.29024829994887,56.857925300020725,w,1,556.9790999870747,None,1.3292035781104723,0.664,2.0018126176362534,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,57.20580630004406,57.24596079997718,57.24019410999026,66.55584929999895,66.55588406992611,66.44825610006228,66.45601530000567,72.17676499998197,72.17676499998197,72.67145400005393,72.67145400005393,73.17066930001602,73.80489860009402,w,1,630.713899852708,None,8.695,5.6115684423297685,1.5494776708791378,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,74.3250657999888,74.37441230006516,74.37039447990246,78.28751319996081,78.28731436997187,78.35953010013327,78.35953010013327,82.89723230013624,82.89723230013624,83.36984309996478,83.36984309996478,83.86965740006417,84.57144369999878,p,1,694.094399921596,None,3.478087585177959,4.585,1.3182531743994035,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,85.17080190009438,85.21295840013772,85.20304145980627,88.20169070013799,88.2016241701087,88.33829089999199,88.35162029997446,90.42740099993534,90.42740099993534,90.91841630009003,90.91841630009003,91.41767639992759,91.82054210011847,p,0,390.2867999859154,None,2.6285316428835817,2.208,1.190458171595825,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,92.24326979997568,92.28538130014203,92.26861769005191,98.11667599994689,98.11631026996766,98.07785020000301,98.0833320999518,105.10702829994261,105.10702829994261,105.5992107000202,105.5992107000202,106.09867920004763,106.61611140007153,p,1,511.62100001238286,None,5.296402948683208,6.982,1.3182531743994035,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,107.1277962999884,107.16927830013447,107.16505310989452,109.14808810013346,109.1481311700074,109.2078605000861,109.2078605000861,110.31694889999926,110.31694889999926,110.7984116000589,110.7984116000589,111.29843760002404,112.11557259992696,w,1,813.2472999859601,None,1.5212641632569115,1.154,1.3182531743994035,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,112.53217289992608,112.57312229997478,112.56442038991955,116.31367029994726,116.3133509700885,116.26706310012378,116.26706310012378,118.94718610006385,118.94718610006385,119.4304967999924,119.4304967999924,119.9298620999325,120.46413740003482,p,0,525.1505000051111,None,3.185,2.6191283037472655,1.2160534462718473,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,120.87893659994006,120.9197682000231,120.91296958990861,127.31215859996155,127.31222836992238,127.26807090011425,127.27848180010915,135.0372460000217,135.0372460000217,135.5285563999787,135.5285563999787,136.02714100014418,137.22832490014844,p,1,1191.5154999587685,None,5.847890336780128,7.709,1.3182531743994035,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
,,,,,,,,,137.81110069993883,137.8546275999397,137.84374608981886,141.5932124000974,141.59336927013936,141.71887700003572,141.72658100002445,144.16673550009727,144.16673550009727,144.6429554000497,144.6429554000497,145.14231429994106,145.77621820010245,w,1,630.2175999153405,None,3.3628638478928785,2.551,1.3182531743994035,,,,,IBE0314,001,2025-04-11_12h30.08.116,Time estimation,2023.2.3,59.68937648212405,2025-04-11 12h30.40.590422 +0200,
