thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,End.started,text_2.started,text_2.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.052713199984282255,0.08332690014503896,0.08332690014503896,4.5838434000033885,space,4.487385699991137,None,,,,,,,,,,,,,,,,,,,,,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,6.659117500064895,6.748692200053483,6.699307968001813,8.731463100062683,8.731500410055741,9.797329500084743,9.797329500084743,10.28104509995319,10.28104509995319,10.364487800048664,10.3979088999331,10.781423700042069,15.915180600015447,w,1,5116.6207999922335,None,3.146,1.0486666666666666,3,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,16.76821679994464,16.84656330011785,16.8136842392385,17.929717000108212,17.92941991011612,20.97890720004216,20.97890720004216,21.462196399923414,21.462196399923414,18.34630630002357,18.362959699938074,21.962183099938557,22.881545400014147,p,1,909.0827000327408,None,1.0093333333333334,3.028,3,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,23.578087999951094,23.66196920000948,23.61223763921298,25.261580199934542,25.26153761013411,29.376832500100136,29.376832500100136,29.843776599969715,29.843776599969715,25.494568600086495,25.528201200067997,30.343860800145194,31.412119999993593,p,1,1051.4030999038368,None,1.3653333333333333,4.096,3,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,31.434117699973285,31.44341089995578,31.44341089995578,36.39461940014735,space,4.94571080012247,None,,,,,,,,,,,,,,,,,,,,,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,37.23481940012425,37.32597200013697,37.276259729079904,40.291715200059116,40.29176741004922,48.99013300007209,48.99013300007209,49.45654719998129,49.45654719998129,40.69154669996351,40.72496409993619,49.95661530015059,50.99129949999042,p,1,1020.0230998452753,None,2.885326553494953,8.668,3.0041660239464334,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,51.82430740003474,51.90605520014651,51.85661471923814,60.42115650000051,60.42113320999779,64.65363069996238,64.65363069996238,65.13692319998518,65.13692319998518,60.80426659993827,60.837622000137344,65.63679550006054,66.62192380009219,w,1,978.3153999596834,None,8.43,4.2111833673793955,2.0018126176362534,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,67.44174250005744,67.58692230004817,67.48683011913673,74.95165039994754,74.95164880999364,79.70061519998126,79.70061519998126,80.16725950012915,80.16725950012915,75.31797159998678,75.40151410014369,80.66719430009834,81.80246530007571,w,1,1130.2875999826938,None,7.315,4.720945733828897,1.5494776708791378,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,82.65148090012372,82.73344300012104,82.6837635290809,83.98304630001076,83.98313680994325,85.56618999992497,85.56618999992497,86.03286699997261,86.03286699997261,84.38311900012195,84.41619789996184,86.53265550010838,87.41766880010255,p,1,875.5709999240935,None,1.177,1.551583986268098,1.3182531743994035,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,88.05335820000619,88.1322979000397,88.09916790928692,92.8813893001061,92.88138590990566,96.64662369992584,96.64662369992584,97.13033520011231,97.13033520011231,93.08127640001476,93.09794529993087,97.63035140000284,98.59891850012355,w,1,966.7275999672711,None,4.462,3.7481367312709777,1.190458171595825,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
,,,,,,,,,99.43718100013211,99.54678019997664,99.48041882915423,100.26321560004726,100.26329541001469,100.86308789998293,100.86308789998293,101.34605480008759,101.34605480008759,100.64647889998741,100.69644790003076,101.84618770005181,104.24737540003844,w,1,2389.180999947712,None,0.649673837007063,0.582,1.1162780704588713,,,,,MSI1017,001,2025-01-07_08h29.50.434,Time estimation,2023.2.3,59.96987118655631,2025-01-07 08h30.15.962973 +0100,
