thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.08759959999952116,0.11682039999868721,0.11682039999868721,4.65367889999834,space,4.532241499997326,None,,,,,,,,,,,,,,,,,,,,,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,6.710576299999957,6.8323540999990655,6.767643519998819,7.832042199999705,7.832036259999586,9.464975999999297,9.498340699999972,14.34727120000025,14.34727120000025,14.830538099999103,14.830538099999103,15.330354699999589,16.11558739999964,p,1,776.4258999995945,None,2.166,6.497999999999999,3,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,17.022820999998657,17.113401300000987,17.064174420001656,18.5797378999996,18.5797542599983,19.046286599997984,19.079700199999934,22.97878959999798,22.97878959999798,23.46196190000046,23.46196190000046,23.96195820000139,24.980111799999577,p,1,1000.9247999987565,None,1.46,4.38,3,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,25.91338249999899,26.011614999999438,25.962476939999032,27.144675600000483,27.144765159999952,27.64467180000065,27.67797739999878,30.643924399999378,30.643924399999378,31.12715670000034,31.12715670000034,31.62701290000041,33.628666199998406,p,1,1986.3225000008242,None,1.1586666666666667,3.476,3,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,33.65355339999951,33.67668019999837,33.67668019999837,36.84486399999878,space,3.161830299999565,None,,,,,,,,,,,,,,,,,,,,,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,37.78325209999821,37.89232880000054,37.826639239999345,40.27519480000046,40.27532585999943,40.75837429999956,40.8083149999984,47.556931399998575,47.556931399998575,48.02368790000037,48.02368790000037,48.523453900001186,49.175284900000406,p,1,638.3917000021029,None,2.415,7.2550609478306365,3.0041660239464334,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,49.77724429999944,49.85661540000001,49.80731328000038,52.755938199999946,52.75598615999915,52.905767000000196,52.939368399998784,57.92150720000063,57.92150720000063,58.38806100000147,58.38806100000147,58.88798769999994,60.15604869999879,p,1,1251.1080000003858,None,2.568,5.140654802089899,2.0018126176362534,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,60.720710400000826,60.787531599999056,60.754797359998335,65.56996770000114,65.56992296000026,65.68648269999903,65.70326589999968,68.4360173999994,68.4360173999994,68.91923569999926,68.91923569999926,69.41909540000051,70.33742659999916,w,1,906.6977000002225,None,4.409813451322027,2.846,1.5494776708791378,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,70.90811290000056,70.98547279999912,70.95262231999877,76.01771150000059,76.01773455999937,76.1510718999998,76.16771750000044,82.1998867000002,82.1998867000002,82.68306799999846,82.68306799999846,83.18300420000014,84.10094469999967,p,1,901.1504999980389,None,4.674367655368939,6.162,1.3182531743994035,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
,,,,,,,,,84.74845369999821,84.81589890000032,84.78315106000154,88.8817495000003,88.88177815999806,89.06504459999996,89.08170339999924,92.06499279999844,92.06499279999844,92.53107009999803,92.53107009999803,93.03089959999852,94.04902360000051,w,1,1010.7849999985774,None,3.766,3.163487882108136,1.190458171595825,LRO316,001,2025-01-31_15h21.08.348,Time estimation,2023.2.3,60.06031256540772,2025-01-31 15h21.31.897304 +0100,
