thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,sound_1.stopped,item1.stopped,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.15627049980685115,0.20365479961037636,0.20365479961037636,334.4217328997329,space,334.20653449976817,None,,,,,,,,,,,,,,,,,,,,,SPA1216,001,2025-03-20_14h10.45.780,Time estimation,2023.2.3,59.99829606335595,2025-03-20 14h11.12.043117 +0100,
,,,,,,,,,337.3598569999449,337.6838773000054,337.41795600252226,339.15029909973964,339.150261739688,340.4165339996107,340.4165339996107,340.89991559972987,340.89991559972987,341.39968049991876,341.66635549999774,341.91639010002837,345.63548729987815,p,0,4230.694999918342,None,3.725,1.2416666666666667,3,SPA1216,001,2025-03-20_14h10.45.780,Time estimation,2023.2.3,59.99829606335595,2025-03-20 14h11.12.043117 +0100,
,,,,,,,,,346.67233199998736,346.8488110997714,346.7157276009675,350.0980072999373,350.0979758398142,351.26438369974494,351.26438369974494,351.7476728996262,351.7476728996262,352.2475168998353,350.6978461998515,350.79783719964325,352.49998189974576,,,,,,,,,,,,,,,
