thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,sound_1.stopped,item1.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07687630000009449,0.09307430000012573,0.09307430000012573,3.6944189999999253,space,3.585678200000075,None,,,,,,,,,,,,,,,,,,,,,MZA1215,001,2025-02-03_08h41.47.232,Time estimation,2023.2.3,59.98915396098033,2025-02-03 08h42.12.499485 +0100,
,,,,,,,,,5.984120600000097,6.091713400000117,6.0233094000000165,8.991280899999992,8.991406559999927,10.457685000000083,10.457685000000083,10.840845899999977,10.890806099999963,10.924298399999998,10.924298399999998,11.424030200000061,18.424635900000112,w,1,6984.214099999917,None,4.295999999999999,1.432,3,MZA1215,001,2025-02-03_08h41.47.232,Time estimation,2023.2.3,59.98915396098033,2025-02-03 08h42.12.499485 +0100,
,,,,,,,,,19.3609163000001,19.45570960000009,19.405086240000106,27.620742099999916,27.62079926000008,30.370243999999957,30.370243999999957,28.12079779999999,28.154027600000063,30.853409600000077,30.853409600000077,31.35342710000009,31.721949600000016,,,,,,,,,,,,,,,
