thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,sound_1.stopped,item1.stopped,item2.stopped,sound_2.stopped,image_L.started,image_R.started,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.06774340000993107,0.10000430000945926,0.10000430000945926,4.218192700005602,space,4.110158299998147,None,,,,,,,,,,,,,,,,,,,,,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,6.438755000010133,6.548445600012201,6.483175759922597,6.864919700004975,6.865060460010136,8.648073800010025,8.69799200000125,11.813898200009135,11.813898200009135,12.280536300007952,12.280536300007952,12.780511900011334,16.098422800001572,p,1,3307.6742999983253,None,1.6403333333333334,4.921,3,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,17.006288800010225,17.113061399999424,17.04674961997516,18.379220100003295,18.379281660002015,18.845890000011423,18.895961500005797,22.22858010001073,22.22858010001073,22.711901200003922,22.711901200003922,23.21167950000381,24.83028920000652,p,1,1616.6040999960387,None,1.2763333333333333,3.829,3,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,25.78042950000963,25.877857200001017,25.828193999972427,30.42688640000415,30.426934960005745,30.94325100000424,30.976802800010773,31.97653930001252,31.97653930001252,32.44310410000617,32.44310410000617,32.943055800002185,34.477954800007865,w,1,1520.8437999972375,None,4.584,1.528,3,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,34.50911460000498,34.52605890000996,34.52605890000996,38.61094640000374,space,4.082293599989498,None,,,,,,,,,,,,,,,,,,,,,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,39.5646504000033,39.65831300000718,39.60892539996712,40.54160340000817,40.54171896001062,41.05819619999966,41.09147130000929,43.34098960000847,43.34098960000847,43.80760700000974,43.80760700000974,44.30750230001286,45.75909110000066,p,1,1439.8463999968953,None,0.923,2.772845240102558,3.0041660239464334,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,46.502762300006,46.606983300007414,46.54075071997504,50.23971400001028,50.23946176000609,50.53932340000756,50.58940330000769,51.989105700005894,51.989105700005894,52.472291199999745,52.472291199999745,52.972122100007255,53.55752310001117,w,1,574.9150000046939,None,3.467139453745991,1.732,2.0018126176362534,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,54.58481830000528,54.68861260000267,54.62244053996401,55.971543200008455,55.97172595999873,56.554860600008396,56.604871600007755,56.90478810000059,56.90478810000059,57.371527700001025,57.371527700001025,57.87122540001292,60.989968400012,w,1,3110.628499998711,None,1.4038267698164988,0.906,1.5494776708791378,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,61.79885099999956,61.903889500012156,61.85439261997526,64.88638720000745,64.88648576001142,65.26972280000336,65.30306830001064,68.71924640001089,68.71924640001089,69.20232970001234,69.20232970001234,69.70210040001257,72.10475579999911,p,1,2396.80080000835,None,2.89,3.8097516740142763,1.3182531743994035,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
,,,,,,,,,73.03012310000486,73.13495890000195,73.06869357997785,74.41779540000425,74.41783526001237,74.90103290000116,74.95104230000288,75.53432710000197,75.53432710000197,76.01749009999912,76.01749009999912,76.51737090000825,78.30354850000003,w,1,1779.246800011606,None,1.3047421560690242,1.096,1.190458171595825,MSC1218,001,2025-02-04_10h43.34.011,Time estimation,2023.2.3,60.02973873538669,2025-02-04 10h43.59.222750 +0100,
