thisRow.t,notes,Instruction.started,text.started,key_resp_2.started,Instruction.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,TRIAL.started,item1.started,sound_1.started,item2.started,sound_2.started,item2.stopped,sound_2.stopped,image_L.started,image_R.started,sound_1.stopped,item1.stopped,key_resp.started,TRIAL.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,xLength1,xLength2,ratio,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.0740661000018008,0.15499279997311532,0.15499279997311532,50.62061109999195,space,50.46356120001292,None,,,,,,,,,,,,,,,,,,,,,CDE1218,001,2025-02-21_08h06.48.167,Time estimation,2023.2.3,60.04350752831352,2025-02-21 08h07.10.400811 +0100,
,,,,,,,,,52.90595929999836,52.994538799976,52.945130900188815,54.76084050000645,54.76078496002592,55.82720200001495,55.82720200001495,56.310398200002965,56.310398200002965,56.61025989998598,56.643755199969746,56.810408400022425,59.22816340002464,p,0,2412.6688999822363,None,3.139,1.0463333333333333,3,CDE1218,001,2025-02-21_08h06.48.167,Time estimation,2023.2.3,60.04350752831352,2025-02-21 08h07.10.400811 +0100,
,,,,,,,,,59.875472599989735,59.959682299988344,59.91001906003803,67.90827000001445,67.90821545998332,70.49087480001617,70.49087480001617,70.9574680000078,70.9574680000078,68.10809260001406,68.14145049999934,71.45744359999662,75.25827270001173,,,,,,,,,,,,,,,
