measure,age,raw,p,z_raw,z_aligned,ss_1_19
OTm_total,6,1,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,6.25,1,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,6.5,1,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,6.75,1,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,7,1,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,7.25,2,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,7.5,2,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,7.75,2,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,8,2,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,8.25,2,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,8.5,3,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,8.75,3,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,9,3,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,9.25,3,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,9.5,3,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,9.75,4,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,10,4,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,10.25,4,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,10.5,4,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,10.75,4,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,11,5,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,11.25,5,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,11.5,5,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,11.75,5,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,12,5,0.00135,-2.999976992703393,-2.999976992703393,1
OTm_total,6,1,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,6.25,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,6.5,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,6.75,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,7,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,7.25,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,7.5,2,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,7.75,3,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,8,3,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,8.25,3,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,8.5,3,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,8.75,4,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,9,4,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,9.25,4,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,9.5,4,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,9.75,4,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,10,5,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,10.25,5,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,10.5,5,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,10.75,5,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,11,5,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,11.25,6,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,11.5,6,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,11.75,6,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,12,6,0.00383,-2.6667000630340683,-2.6667000630340683,2
OTm_total,6,2,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,6.25,2,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,6.5,2,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,6.75,3,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,7,3,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,7.25,3,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,7.5,3,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,7.75,3,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,8,4,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,8.25,4,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,8.5,4,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,8.75,4,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,9,5,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,9.25,5,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,9.5,5,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,9.75,5,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,10,6,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,10.25,6,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,10.5,6,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,10.75,6,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,11,6,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,11.25,7,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,11.5,7,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,11.75,7,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,12,7,0.00982,-2.3331552225672434,-2.3331552225672434,3
OTm_total,6,3,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,6.25,3,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,6.5,3,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,6.75,3,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,7,4,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,7.25,4,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,7.5,4,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,7.75,4,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,8,5,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,8.25,5,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,8.5,5,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,8.75,5,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,9,5,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,9.25,6,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,9.5,6,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,9.75,6,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,10,6,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,10.25,7,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,10.5,7,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,10.75,7,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,11,7,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,11.25,8,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,11.5,8,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,11.75,8,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,12,8,0.02275,-2.000002443899604,-2.000002443899604,4
OTm_total,6,4,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,6.25,4,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,6.5,4,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,6.75,4,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,7,4,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,7.25,5,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,7.5,5,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,7.75,5,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,8,5,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,8.25,6,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,8.5,6,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,8.75,6,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,9,6,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,9.25,7,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,9.5,7,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,9.75,7,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,10,7,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,10.25,8,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,10.5,8,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,10.75,8,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,11,8,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,11.25,9,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,11.5,9,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,11.75,9,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,12,9,0.04779,-1.6666702079210545,-1.6666702079210545,5
OTm_total,6,4,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,6.25,5,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,6.5,5,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,6.75,5,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,7,5,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,7.25,6,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,7.5,6,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,7.75,6,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,8,6,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,8.25,7,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,8.5,7,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,8.75,7,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,9,7,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,9.25,8,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,9.5,8,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,9.75,8,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,10,8,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,10.25,9,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,10.5,9,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,10.75,9,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,11,9,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,11.25,9,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,11.5,10,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,11.75,10,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,12,10,0.09121,-1.3333407702662026,-1.3333407702662026,6
OTm_total,6,5,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,6.25,5,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,6.5,6,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,6.75,6,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,7,6,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,7.25,6,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,7.5,7,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,7.75,7,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,8,7,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,8.25,8,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,8.5,8,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,8.75,8,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,9,8,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,9.25,9,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,9.5,9,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,9.75,9,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,10,9,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,10.25,9,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,10.5,10,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,10.75,10,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,11,10,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,11.25,10,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,11.5,11,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,11.75,11,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,12,11,0.15866,-0.9999803859660789,-0.9999803859660789,7
OTm_total,6,6,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,6.25,6,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,6.5,7,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,6.75,7,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,7,7,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,7.25,7,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,7.5,8,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,7.75,8,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,8,8,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,8.25,8,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,8.5,9,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,8.75,9,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,9,9,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,9.25,9,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,9.5,10,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,9.75,10,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,10,10,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,10.25,10,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,10.5,11,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,10.75,11,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,11,11,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,11.25,11,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,11.5,11,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,11.75,12,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,12,12,0.25249,-0.6666746102242979,-0.6666746102242979,8
OTm_total,6,7,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,6.25,7,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,6.5,8,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,6.75,8,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,7,8,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,7.25,8,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,7.5,9,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,7.75,9,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,8,9,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,8.25,9,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,8.5,10,0.36944,-0.33333688458431254,-0.33333688458431254,9
