measure,age,raw,p,z_raw,z_aligned,ss_1_19
OTm_total,8.75,10,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,9,10,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,9.25,10,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,9.5,11,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,9.75,11,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,10,11,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,10.25,11,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,10.5,11,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,10.75,12,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,11,12,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,11.25,12,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,11.5,12,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,11.75,12,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,12,13,0.36944,-0.33333688458431254,-0.33333688458431254,9
OTm_total,6,8,0.5,0,0,10
OTm_total,6.25,8,0.5,0,0,10
OTm_total,6.5,8,0.5,0,0,10
OTm_total,6.75,9,0.5,0,0,10
OTm_total,7,9,0.5,0,0,10
OTm_total,7.25,9,0.5,0,0,10
OTm_total,7.5,10,0.5,0,0,10
OTm_total,7.75,10,0.5,0,0,10
OTm_total,8,10,0.5,0,0,10
OTm_total,8.25,10,0.5,0,0,10
OTm_total,8.5,11,0.5,0,0,10
OTm_total,8.75,11,0.5,0,0,10
OTm_total,9,11,0.5,0,0,10
OTm_total,9.25,11,0.5,0,0,10
OTm_total,9.5,11,0.5,0,0,10
OTm_total,9.75,12,0.5,0,0,10
OTm_total,10,12,0.5,0,0,10
OTm_total,10.25,12,0.5,0,0,10
OTm_total,10.5,12,0.5,0,0,10
OTm_total,10.75,12,0.5,0,0,10
OTm_total,11,13,0.5,0,0,10
OTm_total,11.25,13,0.5,0,0,10
OTm_total,11.5,13,0.5,0,0,10
OTm_total,11.75,13,0.5,0,0,10
OTm_total,12,13,0.5,0,0,10
OTm_total,6,9,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,6.25,9,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,6.5,9,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,6.75,10,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,7,10,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,7.25,10,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,7.5,10,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,7.75,11,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,8,11,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,8.25,11,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,8.5,11,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,8.75,12,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,9,12,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,9.25,12,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,9.5,12,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,9.75,12,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,10,13,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,10.25,13,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,10.5,13,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,10.75,13,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,11,13,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,11.25,14,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,11.5,14,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,11.75,14,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,12,14,0.63056,0.33333688458431254,0.33333688458431254,11
OTm_total,6,10,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,6.25,10,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,6.5,10,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,6.75,11,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,7,11,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,7.25,11,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,7.5,11,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,7.75,12,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,8,12,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,8.25,12,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,8.5,12,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,8.75,12,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,9,13,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,9.25,13,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,9.5,13,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,9.75,13,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,10,13,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,10.25,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,10.5,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,10.75,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,11,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,11.25,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,11.5,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,11.75,14,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,12,15,0.74751,0.6666746102242979,0.6666746102242979,12
OTm_total,6,11,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,6.25,11,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,6.5,11,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,6.75,11,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,7,12,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,7.25,12,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,7.5,12,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,7.75,12,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,8,13,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,8.25,13,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,8.5,13,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,8.75,13,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,9,13,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,9.25,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,9.5,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,9.75,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,10,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,10.25,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,10.5,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,10.75,14,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,11,15,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,11.25,15,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,11.5,15,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,11.75,15,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,12,15,0.84134,0.9999803859660789,0.9999803859660789,13
OTm_total,6,12,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,6.25,12,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,6.5,12,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,6.75,12,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,7,12,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,7.25,13,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,7.5,13,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,7.75,13,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,8,13,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,8.25,13,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,8.5,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,8.75,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,9,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,9.25,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,9.5,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,9.75,14,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,10,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,10.25,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,10.5,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,10.75,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,11,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,11.25,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,11.5,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,11.75,15,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,12,16,0.90879,1.3333407702662026,1.3333407702662026,14
OTm_total,6,12,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,6.25,13,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,6.5,13,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,6.75,13,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,7,13,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,7.25,13,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,7.5,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,7.75,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,8,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,8.25,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,8.5,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,8.75,14,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,9,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,9.25,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,9.5,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,9.75,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,10,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,10.25,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,10.5,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,10.75,15,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,11,16,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,11.25,16,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,11.5,16,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,11.75,16,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,12,16,0.95221,1.6666702079210545,1.6666702079210545,15
OTm_total,6,13,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,6.25,13,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,6.5,14,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,6.75,14,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,7,14,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,7.25,14,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,7.5,14,0.97725,2.0000024438996027,2.0000024438996027,16
OTm_total,7.75,14,0.97725,2.0000024438996027,2.0000024438996027,16
